[23:25:50	]Kranky has connected.
[23:27:35	]Kranky loaded the character 'Kranky'
[23:27:39	]Kranky is fully healed.
[23:27:45	]Kranky entered observer.
[23:28:15	]Kranky exited observer at their location.
[23:28:17	]Kranky has unloaded their "Kranky" character.
[23:28:48	]Kranky created the character 'Kranky'
[23:28:48	]Kranky has gained a 'Suitcase' #2056238.
[23:28:48	]Kranky has gained a 'Flashlight' #2056239.
[23:28:48	]Kranky has gained a 'Light Grey Armband' #2056240.
[23:28:48	]Kranky has gained a '#70816's Identity Card' #2056241.
[23:28:48	]Kranky loaded the character 'Kranky'
[23:28:59	]Kranky entered observer.
[23:29:32	]Kranky used command '/CharGiveFlag Kranky PeT'.
[23:29:43	]Kranky used command '/CharGiveFlag Kranky p'.
[23:29:49	]Kranky used command '/CharGiveFlag Kranky t'.
[23:31:38	]Kranky used command '/PlaySound https://youtu.be/Khm2Hvjib14?si=cn5q3KTm5ScW-c3l 100'.
[23:31:59	]Kranky exited observer at their location.
[23:32:01	]Kranky used command '/PlaySound https://youtu.be/Khm2Hvjib14?si=cn5q3KTm5ScW-c3l 45'.
[23:32:18	]Kranky used command '/PlaySound https://youtu.be/Khm2Hvjib14?si=sgoHLNXmnKzral3b 20'.
[23:32:19	]Kranky entered observer.
[23:32:30	]Kranky used command '/PlaySound https://youtu.be/Khm2Hvjib14?si=sgoHLNXmnKzral3b 10'.
[23:32:39	]Kranky used command '/PlaySound https://youtu.be/Khm2Hvjib14?si=sgoHLNXmnKzral3b 100'.
[23:33:12	]Kranky has spawned 'models/weapons/arccw/fml/c_volked_pkp.mdl'.
[23:33:32	]Kranky exited observer at their location.
[23:33:37	]Kranky entered observer.
[23:33:40	]Kranky has spawned a 'Entity [741][aw2_dropship2]'.
[23:33:42	]Kranky has spawned a 'Entity [750][aw2_dropship]'.
[23:33:47	]Kranky exited observer at their location.
[23:33:48	]Kranky was knocked unconscious and is bleeding out.
[23:33:54	]Kranky used command '/CharStopBleedout kranky'.
[23:34:02	]Kranky ran SAM command 'sethp' with arguments: '^' '100'
[23:34:03	]Kranky entered observer.
[23:34:03	]Kranky is no longer unconscious from critical wounds.
[23:34:03	]Kranky is fully healed.
[23:34:08	]Kranky entered observer.
[23:34:09	]Kranky exited observer at their location.
[23:34:10	]Kranky entered observer.
[23:34:13	]Kranky exited observer at their location.
[23:34:14	]Kranky has fired a toolgun with the name: camera
[23:34:14	]Kranky entered observer.
[23:34:17	]Kranky exited observer at their location.
[23:34:43	]Kranky entered observer.
[23:34:43	]Kranky exited observer at their location.
[23:35:02	]Kranky entered observer.
