[00:44:40	]Nesh has connected.
[00:46:24	]Nesh loaded the character 'S10/ORD.GHOST-82'
[00:46:46	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661029)
[00:46:48	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661036)
[00:46:49	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661035)
[00:46:50	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661035)
[00:46:51	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661032)
[00:46:53	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661032)
[00:46:54	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661028)
[00:46:56	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661030)
[00:46:58	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661030)
[00:46:59	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661031)
[00:47:01	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661031)
[00:47:02	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661027)
[00:47:03	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661027)
[00:47:05	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661029)
[00:47:07	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661026)
[00:47:08	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661026)
[00:47:09	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661034)
[00:47:11	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661034)
[00:47:12	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661033)
[00:47:13	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661038)
[00:47:15	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661037)
[00:47:49	]S10/ORD.GHOST-82 ran 'take' on item 'Heavy Pulse Rounds' (#1660988)
[00:47:49	]S10/ORD.GHOST-82 has gained a 'Heavy Pulse Rounds' #1660988.
[00:47:51	]S10/ORD.GHOST-82 ran 'drop' on item 'Heavy Pulse Rounds' (#1660988)
[00:47:51	]S10/ORD.GHOST-82 has lost a 'Heavy Pulse Rounds' #1660988.
[00:47:58	]S10/ORD.GHOST-82 ran 'take' on item 'Pulse Rifle Bullets' (#1661001)
[00:47:58	]S10/ORD.GHOST-82 has gained a 'Pulse Rifle Bullets' #1661001.
[00:48:02	]S10/ORD.GHOST-82 ran 'combine' on item '30rnd Pulse-magazine' (#1661038)
[00:48:07	]S10/ORD.GHOST-82 used the 'Munition Lady' vendor.
[00:48:09	]S10/ORD.GHOST-82 has gained 0 chips.
[00:48:09	]S10/ORD.GHOST-82 has gained a 'Pulse Rifle Bullets' #1661073.
[00:48:10	]S10/ORD.GHOST-82 has gained 0 chips.
[00:48:10	]S10/ORD.GHOST-82 has gained a 'Pulse Rifle Bullets' #1661074.
[00:48:10	]S10/ORD.GHOST-82 has gained 0 chips.
[00:48:10	]S10/ORD.GHOST-82 has gained a 'Pulse Rifle Bullets' #1661075.
[00:48:10	]S10/ORD.GHOST-82 has gained 0 chips.
[00:48:10	]S10/ORD.GHOST-82 has gained a 'Pulse Rifle Bullets' #1661076.
[00:48:11	]S10/ORD.GHOST-82 has gained 0 chips.
[00:48:11	]S10/ORD.GHOST-82 has gained a 'Pulse Rifle Bullets' #1661077.
[00:48:11	]S10/ORD.GHOST-82 has gained 0 chips.
[00:48:11	]S10/ORD.GHOST-82 has gained a 'Pulse Rifle Bullets' #1661078.
[00:48:12	]S10/ORD.GHOST-82 has gained 0 chips.
