[01:15:29	]Nesh has connected.
[01:17:43	]Nesh loaded the character 'FA. Phelps'
[01:17:48	]FA. Phelps is fully healed.
[01:18:24	]FA. Phelps has lost a '30rnd MP-magazine' #1976157.
[01:19:21	]FA. Phelps used the 'CCG Vendor' vendor.
[01:19:26	]FA. Phelps has gained 0 chips.
[01:19:26	]FA. Phelps has gained a 'CP Uniform' #2046336.
[01:19:28	]FA. Phelps has gained 0 chips.
[01:19:28	]FA. Phelps has gained a 'CP Mask' #2046337.
[01:19:42	]FA. Phelps ran 'Consume' on item 'Soda Bob Brawn' (#2021058)
[01:19:42	]FA. Phelps extended their level 1 long boost in Perception.
[01:19:42	]FA. Phelps extended their level 2 long boost in Agility.
[01:19:43	]FA. Phelps ran 'Consume' on item 'Metropolice Supplements' (#2021057)
[01:19:43	]FA. Phelps extended their level 3 long boost in Strength.
[01:19:49	]FA. Phelps ran 'drop' on item 'M40' (#1953482)
[01:19:49	]FA. Phelps has lost a 'M40' #1953482.
[01:19:50	]FA. Phelps ran 'drop' on item 'Combine Filter' (#1953484)
[01:19:50	]FA. Phelps has lost a 'Combine Filter' #1953484.
[01:19:54	]FA. Phelps has gained a '30rnd MP-magazine' #1976157.
[01:19:54	]FA. Phelps has lost a '30rnd MP-magazine' #1976156.
[01:20:00	]FA. Phelps destroyed a 'M40' #1953482.
[01:20:07	]FA. Phelps destroyed a 'Combine Filter' #1953484.
[01:20:08	]FA. Phelps has gained a '30rnd MP-magazine' #1976156.
[01:20:08	]FA. Phelps has lost a '30rnd MP-magazine' #1976157.
[01:20:18	]FA. Phelps ran 'Consume' on item 'Soda Bob Brawn' (#2034614)
[01:20:18	]FA. Phelps extended their level 1 long boost in Perception.
[01:20:18	]FA. Phelps extended their level 2 long boost in Agility.
[01:20:19	]FA. Phelps ran 'Consume' on item 'Metropolice Supplements' (#2034613)
[01:20:19	]FA. Phelps extended their level 3 long boost in Strength.
[01:20:55	]FA. Phelps used command '/SetOwnName C24:EpU.SHIELD-14'.
[01:21:48	]FA. Phelps has changed FA. Phelps's bodygroups.
[01:23:04	]FA. Phelps ran 'combine' on item '30rnd MP-magazine' (#1976156)
[01:23:17	]FA. Phelps ran 'take' on item 'Loyalist Ration' (#2018119)
[01:23:17	]FA. Phelps has gained a 'Loyalist Ration' #2018119.
[01:23:20	]FA. Phelps ran 'Open' on item 'Loyalist Ration' (#2018119)
[01:23:20	]FA. Phelps has gained a 'Watermelon Slice' #2046338.
[01:23:20	]FA. Phelps has gained a 'Apple' #2046339.
[01:23:20	]FA. Phelps has gained a 'Sparkling Breen's Water' #2046340.
[01:23:20	]FA. Phelps has gained a 'Medium Credits Coupon' #2046341.
[01:23:26	]FA. Phelps ran 'Use' on item 'Medium Credits Coupon' (#2046341)
[01:23:27	]FA. Phelps ran 'Consume' on item 'Watermelon Slice' (#2046338)
[01:23:28	]FA. Phelps ran 'Consume' on item 'Apple' (#2046339)
[01:23:28	]FA. Phelps has used a coupon at a ration dispenser, gaining 20 credits.
[01:23:29	]FA. Phelps ran 'Consume' on item 'Sparkling Breen's Water' (#2046340)
[01:23:29	]FA. Phelps has gained a 'Empty Breen's Water' #2046342.
[01:23:31	]FA. Phelps ran 'drop' on item 'Empty Breen's Water' (#2046342)
[01:23:31	]FA. Phelps has lost a 'Empty Breen's Water' #2046342.
[01:23:50	]FA. Phelps has acquired his ration, gaining 0 credits, 0 wages and a civil_protection_ration ration.
[01:24:03	]FA. Phelps ran 'take' on item 'Civil Protection Ration' (#2046343)
[01:24:03	]FA. Phelps has gained a 'Civil Protection Ration' #2046343.
[01:24:05	]FA. Phelps ran 'Open' on item 'Civil Protection Ration' (#2046343)
[01:24:06	]FA. Phelps has gained a 'Metropolice Supplements' #2046344.
[01:24:06	]FA. Phelps has gained a 'Soda Bob Brawn' #2046345.
[01:24:06	]FA. Phelps has gained a 'Medium Credits Coupon' #2046346.
[01:24:08	]FA. Phelps ran 'Use' on item 'Medium Credits Coupon' (#2046346)
[01:24:09	]FA. Phelps ran 'Consume' on item 'Metropolice Supplements' (#2046344)
[01:24:09	]FA. Phelps extended their level 3 long boost in Strength.
[01:24:10	]FA. Phelps ran 'Consume' on item 'Soda Bob Brawn' (#2046345)
[01:24:10	]FA. Phelps extended their level 1 long boost in Perception.
[01:24:10	]FA. Phelps extended their level 2 long boost in Agility.
[01:24:11	]FA. Phelps ran 'Use' on item 'Medium Credits Coupon' (#2046346)
[01:24:13	]FA. Phelps has used a coupon at a ration dispenser, gaining 20 credits.
[01:26:18	]FA. Phelps ran 'Equip' on item 'Combine Filter' (#1953483)
[01:26:32	]FA. Phelps has gained a '30rnd MP-magazine' #1976157.
[01:26:32	]FA. Phelps has lost a '30rnd MP-magazine' #1976156.
[01:29:29	]FA. Phelps has gained a '30rnd MP-magazine' #1976156.
[01:29:29	]FA. Phelps has lost a '30rnd MP-magazine' #1976157.
[01:29:35	][IC] FA. Phelps: <:: Shit! ::>
[01:29:41	][IC] FA. Phelps: <:: Yello;  infected;  shit! ::>
[01:29:47	][IC] FA. Phelps: <:: Yelllow. ::>
[01:29:50	][IC] FA. Phelps: <:: YELLOW. ::>
[01:29:56	][IC] FA. Phelps: <:: Infected. ::>
[01:29:58	][IC] FA. Phelps: <:: Infect. ::>
[01:30:07	][IC] FA. Phelps: <:: Infection. ::>
[01:30:16	][IC] FA. Phelps: <:: YELLOW. Infection. Shit! ::>
[01:30:28	][IC] FA. Phelps: <:: 4 20. ::>
[01:30:33	][IC] FA. Phelps: <:: 6 9. ::>
[01:30:38	][IC] FA. Phelps: <:: 9 11. ::>
[01:30:40	]FA. Phelps has gained a '30rnd MP-magazine' #1976157.
[01:30:40	]FA. Phelps has lost a '30rnd MP-magazine' #1976155.
[01:31:09	][IC] FA. Phelps: <:: VICE. ::>
[01:31:15	][IC] FA. Phelps: <:: VICE. Vice. 80. ::>
[01:34:00	]FA. Phelps has gained a '30rnd MP-magazine' #1976155.
[01:34:00	]FA. Phelps has lost a '30rnd MP-magazine' #1976157.
[01:34:30	]FA. Phelps has gained a 'EOTech 553 (RDS)' #2007990.
[01:34:31	]FA. Phelps opened the 'CCG Person Lockers' stash.
[01:34:34	]FA. Phelps ran 'EquipUn' on item 'MP5A3' (#1976154)
[01:34:34	]FA. Phelps has gained a '30rnd MP-magazine' #1976157.
[01:34:36	]FA. Phelps has lost a 'MP5A3' #1976154.
[01:34:36	]FA. Phelps has transferred a 'MP5A3' #1976154 to a container with the name 'CCG Person Lockers' #94429.
[01:34:37	]FA. Phelps closed the 'CCG Person Lockers' stash.
[01:34:46	]FA. Phelps ran 'combine' on item '30rnd MP-magazine' (#1976156)
[01:34:46	]FA. Phelps opened the 'CCG Person Lockers' stash.
[01:34:49	]FA. Phelps has lost a '30rnd MP-magazine' #1976157.
[01:34:49	]FA. Phelps has transferred a '30rnd MP-magazine' #1976157 to a container with the name 'CCG Person Lockers' #94429.
[01:34:50	]FA. Phelps has lost a '30rnd MP-magazine' #1976156.
[01:34:50	]FA. Phelps has transferred a '30rnd MP-magazine' #1976156 to a container with the name 'CCG Person Lockers' #94429.
[01:34:52	]FA. Phelps has lost a '30rnd MP-magazine' #1976155.
[01:34:52	]FA. Phelps has transferred a '30rnd MP-magazine' #1976155 to a container with the name 'CCG Person Lockers' #94429.
[01:34:52	]FA. Phelps closed the 'CCG Person Lockers' stash.
[01:34:55	]FA. Phelps opened the 'CCG Person Lockers' stash.
[01:34:58	]FA. Phelps has lost a 'Sub-machinegun Bullets' #2021035.
[01:34:58	]FA. Phelps has transferred a 'Sub-machinegun Bullets' #2021035 to a container with the name 'CCG Person Lockers' #94429.
[01:34:59	]FA. Phelps has lost a 'Sub-machinegun Bullets' #2021034.
[01:34:59	]FA. Phelps has transferred a 'Sub-machinegun Bullets' #2021034 to a container with the name 'CCG Person Lockers' #94429.
[01:34:59	]FA. Phelps closed the 'CCG Person Lockers' stash.
[01:35:05	]FA. Phelps used the 'CCG Vendor' vendor.
[01:35:07	]FA. Phelps has gained 0 chips.
[01:35:07	]FA. Phelps has gained a 'Model 870' #2046347.
[01:35:12	]FA. Phelps has gained 0 chips.
[01:35:13	]FA. Phelps has gained a 'Buckshot Shotgun Shells' #2046348.
[01:35:13	]FA. Phelps has gained 0 chips.
[01:35:13	]FA. Phelps has gained a 'Buckshot Shotgun Shells' #2046349.
[01:35:14	]FA. Phelps has gained 0 chips.
[01:35:14	]FA. Phelps has gained a 'Buckshot Shotgun Shells' #2046350.
[01:35:15	]FA. Phelps has gained 0 chips.
[01:35:15	]FA. Phelps has gained a 'Buckshot Shotgun Shells' #2046351.
[01:35:19	]FA. Phelps has gained 0 chips.
[01:35:19	]FA. Phelps has gained a '8rnd 870-magazine' #2046352.
[01:35:20	]FA. Phelps has gained 0 chips.
[01:35:20	]FA. Phelps has gained a '8rnd 870-magazine' #2046353.
[01:35:21	]FA. Phelps has gained 0 chips.
[01:35:21	]FA. Phelps has gained a '8rnd 870-magazine' #2046354.
[01:35:22	]FA. Phelps has gained 0 chips.
[01:35:22	]FA. Phelps has gained a '8rnd 870-magazine' #2046355.
[01:35:25	]FA. Phelps has gained 0 chips.
[01:35:25	]FA. Phelps has gained a '8-Round 870 Tube' #2046356.
[01:35:28	]FA. Phelps has gained 0 chips.
[01:35:28	]FA. Phelps has gained a 'Flash Grenade' #2046357.
[01:35:28	]FA. Phelps has gained 0 chips.
[01:35:30	]FA. Phelps has gained 0 chips.
[01:35:30	]FA. Phelps has gained 0 chips.
[01:35:32	]FA. Phelps has gained 0 chips.
[01:35:33	]FA. Phelps has gained 0 chips.
[01:35:38	]FA. Phelps ran 'drop' on item 'Padlock' (#1933016)
[01:35:38	]FA. Phelps has lost a 'Padlock' #1933016.
[01:35:41	]Console ran SAM command 'slap' with arguments: 'phelp' '0'
[01:35:47	]Console ran SAM command 'slap' with arguments: 'phelp' '0'
[01:35:49	]Console ran SAM command 'slap' with arguments: 'phelp' '0'
[01:36:03	]Console ran SAM command 'freeze' with arguments: 'phelp'
[01:36:14	]FA. Phelps ran 'drop' on item 'Goodfella Cigars' (#1976829)
[01:36:14	]FA. Phelps has lost a 'Goodfella Cigars' #1976829.
[01:36:14	]FA. Phelps has lost a 'Cigarette' #1976830.
[01:36:14	]FA. Phelps has lost a 'Cigarette' #1976837.
[01:36:14	]FA. Phelps has lost a 'Cigarette' #1976833.
[01:36:14	]FA. Phelps has lost a 'Cigarette' #1976836.
[01:36:14	]FA. Phelps has lost a 'Cigarette' #1976832.
[01:36:14	]FA. Phelps has lost a 'Cigarette' #1976834.
[01:36:14	]FA. Phelps has lost a 'Cigarette' #1976835.
[01:36:14	]FA. Phelps has lost a 'Cigarette' #1976831.
[01:36:27	]Console ran SAM command 'unfreeze' with arguments: 'phelp'
[01:36:31	]FA. Phelps used command '/PrintStaffList'.
[01:36:36	]FA. Phelps destroyed a 'Goodfella Cigars' #1976829.
[01:36:37	]FA. Phelps used the 'CCG Vendor' vendor.
[01:36:39	]FA. Phelps used the 'CCG Vendor' vendor.
[01:36:44	]FA. Phelps destroyed a 'Health Vial' #2046362.
[01:36:45	]FA. Phelps destroyed a 'Health Vial' #2046361.
[01:36:50	]FA. Phelps has lost a '20rnd FiveSeven-magazine' #2005808.
[01:36:51	]Console ran SAM command 'ignite' with arguments: 'phelp'
[01:36:51	]FA. Phelps has taken 1 damage from entityflame.
[01:36:51	]FA. Phelps has taken 1 damage from entityflame.
[01:36:51	]FA. Phelps has taken 1 damage from entityflame.
[01:36:51	]FA. Phelps has taken 1 damage from entityflame.
[01:36:51	]FA. Phelps has taken 1 damage from entityflame.
[01:36:52	]FA. Phelps has taken 1 damage from entityflame.
[01:36:52	]FA. Phelps has taken 1 damage from entityflame.
[01:36:52	]FA. Phelps has taken 1 damage from entityflame.
[01:36:52	]FA. Phelps has taken 1 damage from entityflame.
[01:36:52	]FA. Phelps has taken 1 damage from entityflame.
[01:36:53	]FA. Phelps has taken 1 damage from entityflame.
[01:36:53	]FA. Phelps has taken 1 damage from entityflame.
[01:36:53	]FA. Phelps has taken 1 damage from entityflame.
[01:36:53	]FA. Phelps has taken 1 damage from entityflame.
[01:36:53	]FA. Phelps has taken 1 damage from entityflame.
[01:36:54	]FA. Phelps has taken 1 damage from entityflame.
[01:36:54	]FA. Phelps has taken 1 damage from entityflame.
[01:36:54	]FA. Phelps has taken 1 damage from entityflame.
[01:36:54	]FA. Phelps has taken 1 damage from entityflame.
[01:36:54	]FA. Phelps has taken 1 damage from entityflame.
[01:36:55	]FA. Phelps has taken 1 damage from entityflame.
[01:36:55	]FA. Phelps has taken 1 damage from entityflame.
[01:36:55	]FA. Phelps has taken 1 damage from entityflame.
[01:36:55	]FA. Phelps has taken 1 damage from entityflame.
[01:36:55	]FA. Phelps has taken 1 damage from entityflame.
[01:36:56	]FA. Phelps has taken 1 damage from entityflame.
[01:36:56	]FA. Phelps has taken 1 damage from entityflame.
[01:36:56	]FA. Phelps has taken 1 damage from entityflame.
[01:36:56	]FA. Phelps has taken 1 damage from entityflame.
[01:36:56	][IC] FA. Phelps: <:: Shit, shit! ::>
[01:36:56	]FA. Phelps has taken 1 damage from entityflame.
[01:36:57	]FA. Phelps has taken 1 damage from entityflame.
[01:36:57	]FA. Phelps has taken 1 damage from entityflame.
[01:36:57	]FA. Phelps has taken 1 damage from entityflame.
[01:36:57	]FA. Phelps has taken 1 damage from entityflame.
[01:36:57	]FA. Phelps has taken 1 damage from entityflame.
[01:36:58	]FA. Phelps has taken 1 damage from entityflame.
[01:36:58	]FA. Phelps has taken 1 damage from entityflame.
[01:36:58	]FA. Phelps has taken 1 damage from entityflame.
[01:36:58	]FA. Phelps has taken 1 damage from entityflame.
[01:36:58	]FA. Phelps has taken 1 damage from entityflame.
[01:36:59	]FA. Phelps has taken 1 damage from entityflame.
[01:36:59	]FA. Phelps has taken 1 damage from entityflame.
[01:36:59	]FA. Phelps has taken 1 damage from entityflame.
[01:36:59	]FA. Phelps has taken 1 damage from entityflame.
[01:36:59	]FA. Phelps has taken 1 damage from entityflame.
[01:37:00	]FA. Phelps has taken 1 damage from entityflame.
[01:37:00	]FA. Phelps has taken 1 damage from entityflame.
[01:37:00	]FA. Phelps has taken 1 damage from entityflame.
[01:37:00	]FA. Phelps has taken 1 damage from entityflame.
[01:37:00	]FA. Phelps has taken 1 damage from entityflame.
[01:37:01	]FA. Phelps has taken 1 damage from entityflame.
[01:37:01	]FA. Phelps has taken 1 damage from entityflame.
[01:37:01	]FA. Phelps has taken 1 damage from entityflame.
[01:37:01	]FA. Phelps has taken 1 damage from entityflame.
[01:37:01	]FA. Phelps has taken 1 damage from entityflame.
[01:37:02	]FA. Phelps has taken 1 damage from entityflame.
[01:37:02	]FA. Phelps has taken 1 damage from entityflame.
[01:37:02	]FA. Phelps has taken 1 damage from entityflame.
[01:37:02	]FA. Phelps has taken 1 damage from entityflame.
[01:37:02	]FA. Phelps has taken 1 damage from entityflame.
[01:37:03	]FA. Phelps has taken 1 damage from entityflame.
[01:37:03	]FA. Phelps has taken 1 damage from entityflame.
[01:37:03	]FA. Phelps has taken 1 damage from entityflame.
[01:37:03	]FA. Phelps has taken 1 damage from entityflame.
[01:37:03	]FA. Phelps has taken 1 damage from entityflame.
[01:37:04	]FA. Phelps has taken 1 damage from entityflame.
[01:37:04	]FA. Phelps has taken 1 damage from entityflame.
[01:37:04	]FA. Phelps has taken 1 damage from entityflame.
[01:37:04	]FA. Phelps has taken 1 damage from entityflame.
[01:37:04	]FA. Phelps has taken 1 damage from entityflame.
[01:37:05	]FA. Phelps has taken 1 damage from entityflame.
[01:37:05	]FA. Phelps has taken 1 damage from entityflame.
[01:37:05	]FA. Phelps has taken 1 damage from entityflame.
[01:37:05	]FA. Phelps has taken 1 damage from entityflame.
[01:37:05	]FA. Phelps has taken 1 damage from entityflame.
[01:37:06	]FA. Phelps has taken 1 damage from entityflame.
[01:37:06	]FA. Phelps has taken 1 damage from entityflame.
[01:37:06	]FA. Phelps has taken 1 damage from entityflame.
[01:37:06	]FA. Phelps has taken 1 damage from entityflame.
[01:37:06	]FA. Phelps has taken 1 damage from entityflame.
[01:37:07	]FA. Phelps has taken 1 damage from entityflame.
[01:37:07	][IC] FA. Phelps: <:: Shit! ::>
[01:37:07	]FA. Phelps has taken 1 damage from entityflame.
[01:37:07	]FA. Phelps has taken 1 damage from entityflame.
[01:37:07	]FA. Phelps has taken 1 damage from entityflame.
[01:37:07	]FA. Phelps has taken 1 damage from entityflame.
[01:37:08	]FA. Phelps has taken 1 damage from entityflame.
[01:37:08	]FA. Phelps has taken 1 damage from entityflame.
[01:37:08	]FA. Phelps has taken 1 damage from entityflame.
[01:37:08	]FA. Phelps has taken 1 damage from entityflame.
[01:37:08	]FA. Phelps has taken 1 damage from entityflame.
[01:37:09	]FA. Phelps has taken 1 damage from entityflame.
[01:37:09	]FA. Phelps has taken 1 damage from entityflame.
[01:37:09	]FA. Phelps has taken 1 damage from entityflame.
[01:37:09	]FA. Phelps has taken 1 damage from entityflame.
[01:37:09	]FA. Phelps has taken 1 damage from entityflame.
[01:37:10	]FA. Phelps has taken 1 damage from entityflame.
[01:37:10	]FA. Phelps has taken 1 damage from entityflame.
[01:37:10	]FA. Phelps has taken 1 damage from entityflame.
[01:37:10	]FA. Phelps has gained a '20rnd FiveSeven-magazine' #2005808.
[01:37:10	]FA. Phelps was knocked unconscious and is bleeding out.
[01:37:14	][IC] FA. Phelps: <:: Augh! ::>
[01:37:16	][IC] FA. Phelps: <:: Shit! ::>
[01:37:16	][IC] FA. Phelps: <:: Shit! ::>
