[19:00:53	]Kappatalist has connected.
[19:02:01	]Kappatalist loaded the character 'Eric Bayer'
[19:02:06	]Eric Bayer is fully healed.
[19:02:36	]Eric Bayer entered observer.
[19:03:31	]Eric Bayer exited observer at their location.
[19:03:32	]Eric Bayer entered observer.
[19:03:32	]Eric Bayer exited observer at their location.
[19:03:33	]Eric Bayer entered observer.
[19:03:34	]Eric Bayer exited observer at their location.
[19:03:35	]Eric Bayer entered observer.
[19:03:35	]Eric Bayer exited observer at their location.
[19:03:36	]Eric Bayer entered observer.
[19:03:37	]Eric Bayer exited observer at their location.
[19:03:38	]Eric Bayer entered observer.
[19:04:26	]Eric Bayer exited observer at their location.
[19:06:10	]Eric Bayer entered observer.
[19:06:11	]Eric Bayer exited observer at their location.
[19:06:11	]Eric Bayer entered observer.
[19:07:04	]Eric Bayer exited observer at their location.
[19:07:05	]Eric Bayer entered observer.
[19:07:06	]Eric Bayer exited observer at their location.
[19:07:07	]Eric Bayer entered observer.
[19:07:07	]Eric Bayer exited observer at their location.
[19:07:08	]Eric Bayer entered observer.
[19:07:08	]Eric Bayer exited observer at their location.
[19:07:09	]Eric Bayer entered observer.
[19:07:10	]Eric Bayer exited observer at their location.
[19:07:15	]Eric Bayer entered observer.
[19:07:15	]Eric Bayer exited observer at their location.
[19:07:16	]Eric Bayer entered observer.
[19:07:16	]Eric Bayer exited observer at their location.
[19:07:17	]Eric Bayer entered observer.
[19:07:17	]Eric Bayer exited observer at their location.
[19:07:18	]Eric Bayer entered observer.
[19:07:31	]Eric Bayer exited observer at their location.
[19:07:32	]Eric Bayer entered observer.
[19:07:32	]Eric Bayer exited observer at their location.
[19:07:32	]Eric Bayer entered observer.
[19:07:33	]Eric Bayer exited observer at their location.
[19:07:34	]Eric Bayer entered observer.
[19:07:34	]Eric Bayer exited observer at their location.
[19:07:35	]Eric Bayer entered observer.
[19:12:29	]Eric Bayer exited observer at their location.
[19:12:30	]Eric Bayer entered observer.
[19:12:30	]Eric Bayer exited observer at their location.
[19:12:30	]Eric Bayer entered observer.
[19:12:31	]Eric Bayer exited observer at their location.
[19:12:31	]Eric Bayer entered observer.
[19:12:31	]Eric Bayer exited observer at their location.
[19:12:33	]Eric Bayer entered observer.
[19:12:33	]Eric Bayer exited observer at their location.
[19:12:34	]Eric Bayer entered observer.
[19:12:34	]Eric Bayer exited observer at their location.
[19:12:35	]Eric Bayer entered observer.
[19:12:35	]Eric Bayer exited observer at their location.
[19:12:35	]Eric Bayer entered observer.
[19:12:35	]Eric Bayer exited observer at their location.
[19:12:36	]Eric Bayer entered observer.
[19:12:36	]Eric Bayer exited observer at their location.
[19:12:39	]Eric Bayer entered observer.
[19:12:40	]Eric Bayer exited observer at their location.
[19:12:41	]Eric Bayer entered observer.
[19:12:41	]Eric Bayer exited observer at their location.
[19:12:42	]Eric Bayer entered observer.
[19:12:42	]Eric Bayer exited observer at their location.
[19:12:42	]Eric Bayer entered observer.
[19:12:43	]Eric Bayer exited observer at their location.
[19:12:44	]Eric Bayer entered observer.
[19:12:44	]Eric Bayer exited observer at their location.
[19:12:44	]Eric Bayer entered observer.
[19:12:45	]Eric Bayer exited observer at their location.
[19:12:45	]Eric Bayer entered observer.
[19:12:45	]Eric Bayer exited observer at their location.
[19:12:46	]Eric Bayer entered observer.
[19:12:46	]Eric Bayer exited observer at their location.
[19:12:46	]Eric Bayer entered observer.
[19:12:46	]Eric Bayer exited observer at their location.
[19:12:47	]Eric Bayer entered observer.
[19:12:47	]Eric Bayer exited observer at their location.
[19:12:48	]Eric Bayer entered observer.
[19:12:48	]Eric Bayer exited observer at their location.
[19:12:49	]Eric Bayer entered observer.
[19:12:49	]Eric Bayer exited observer at their location.
[19:12:50	]Eric Bayer entered observer.
[19:12:50	]Eric Bayer exited observer at their location.
[19:12:51	]Eric Bayer entered observer.
[19:12:51	]Eric Bayer exited observer at their location.
[19:12:52	]Eric Bayer entered observer.
[19:12:52	]Eric Bayer exited observer at their location.
[19:12:53	]Eric Bayer entered observer.
[19:12:53	]Eric Bayer exited observer at their location.
[19:12:54	]Eric Bayer entered observer.
[19:12:54	]Eric Bayer exited observer at their location.
[19:12:55	]Eric Bayer entered observer.
[19:12:55	]Eric Bayer exited observer at their location.
[19:12:55	]Eric Bayer entered observer.
[19:12:56	]Eric Bayer exited observer at their location.
[19:12:57	]Eric Bayer entered observer.
[19:12:57	]Eric Bayer exited observer at their location.
[19:12:57	]Eric Bayer entered observer.
[19:12:58	]Eric Bayer exited observer at their location.
[19:12:58	]Eric Bayer entered observer.
[19:12:58	]Eric Bayer exited observer at their location.
[19:12:59	]Eric Bayer entered observer.
[19:12:59	]Eric Bayer exited observer at their location.
[19:13:00	]Eric Bayer entered observer.
[19:13:00	]Eric Bayer exited observer at their location.
[19:13:01	]Eric Bayer entered observer.
[19:13:02	]Eric Bayer exited observer at their location.
[19:13:03	]Eric Bayer entered observer.
[19:13:03	]Eric Bayer exited observer at their location.
[19:13:03	]Eric Bayer entered observer.
[19:13:04	]Eric Bayer exited observer at their location.
[19:13:05	]Eric Bayer entered observer.
[19:14:18	]Eric Bayer exited observer at their location.
[19:14:19	]Eric Bayer entered observer.
[19:14:19	]Eric Bayer exited observer at their location.
[19:14:20	]Eric Bayer entered observer.
[19:14:20	]Eric Bayer exited observer at their location.
[19:14:21	]Eric Bayer entered observer.
[19:14:21	]Eric Bayer exited observer at their location.
[19:14:22	]Eric Bayer entered observer.
[19:14:22	]Eric Bayer exited observer at their location.
[19:14:23	]Eric Bayer entered observer.
[19:14:23	]Eric Bayer exited observer at their location.
[19:14:24	]Eric Bayer entered observer.
[19:15:14	]Eric Bayer exited observer at their location.
[19:15:14	]Eric Bayer entered observer.
[19:15:14	]Eric Bayer exited observer at their location.
[19:15:15	]Eric Bayer entered observer.
[19:15:16	]Eric Bayer exited observer at their location.
[19:15:17	]Eric Bayer entered observer.
[19:15:18	]Eric Bayer exited observer at their location.
[19:15:19	]Eric Bayer entered observer.
[19:15:19	]Eric Bayer exited observer at their location.
[19:15:21	]Eric Bayer entered observer.
[19:15:21	]Eric Bayer exited observer at their location.
[19:15:21	]Eric Bayer entered observer.
[19:15:22	]Eric Bayer exited observer at their location.
[19:15:22	]Eric Bayer entered observer.
[19:15:23	]Eric Bayer exited observer at their location.
[19:15:24	]Eric Bayer entered observer.
[19:15:24	]Eric Bayer exited observer at their location.
[19:15:24	]Eric Bayer entered observer.
[19:15:25	]Eric Bayer exited observer at their location.
[19:15:26	]Eric Bayer entered observer.
[19:15:26	]Eric Bayer exited observer at their location.
[19:15:27	]Eric Bayer entered observer.
[19:15:27	]Eric Bayer exited observer at their location.
[19:15:28	]Eric Bayer entered observer.
[19:15:32	]Eric Bayer exited observer at their location.
[19:15:33	]Eric Bayer entered observer.
[19:15:33	]Eric Bayer exited observer at their location.
[19:15:34	]Eric Bayer entered observer.
[19:15:34	]Eric Bayer exited observer at their location.
[19:15:36	]Eric Bayer entered observer.
[19:15:36	]Eric Bayer exited observer at their location.
[19:15:37	]Eric Bayer entered observer.
[19:15:37	]Eric Bayer exited observer at their location.
[19:15:38	]Eric Bayer entered observer.
[19:15:38	]Eric Bayer exited observer at their location.
[19:15:38	]Eric Bayer entered observer.
[19:15:38	]Eric Bayer exited observer at their location.
[19:15:39	]Eric Bayer entered observer.
