[15:13:39	]Marco has connected.
[15:37:38	]Marco created the character 'devserver char'
[15:37:38	]Marco loaded the character 'devserver char'
[15:37:58	]devserver char ran 'take' on item 'Large Bag' (#2716977)
[15:37:58	]devserver char has gained a 'Large Bag' #2716977.
[15:37:58	]devserver char has gained a 'Mixer' #3061033.
[15:37:58	]devserver char has gained a 'Spoiled Watermelon' #3105478.
[15:37:58	]devserver char has gained a 'Mixer' #2939241.
[15:37:58	]devserver char has gained a 'Spoiled Watermelon' #3105479.
[15:38:11	]devserver char ran 'take' on item 'Small Bag' (#2695217)
[15:38:11	]devserver char has gained a 'Small Bag' #2695217.
[15:38:11	]devserver char has gained a 'First Aid Kit' #3085389.
[15:38:11	]devserver char has gained a 'First Aid Kit' #3085375.
[15:38:11	]devserver char has gained a 'First Aid Kit' #3085376.
[15:38:11	]devserver char has gained a 'First Aid Kit' #3085394.
[15:38:11	]devserver char has gained a 'First Aid Kit' #3085457.
[15:38:11	]devserver char has gained a 'First Aid Kit' #3085374.
[15:38:11	]devserver char has gained a 'First Aid Kit' #3085381.
[15:38:11	]devserver char has gained a 'Makeshift Bandage Roll' #3107941.
[15:38:11	]devserver char has gained a 'Makeshift Bandage Roll' #3107940.
[15:38:11	]devserver char has gained a 'First Aid Kit' #3085369.
[15:38:11	]devserver char has gained a 'First Aid Kit' #3085456.
[15:38:11	]devserver char has gained a 'Makeshift Bandage Roll' #3107942.
[15:38:16	]devserver char ran 'Slice' on item 'Spoiled Watermelon' (#3105479)
[15:38:28	]devserver char ran 'ViewAlt' on item 'Suitcase' (#2936206)
[15:38:42	]devserver char ran 'drop' on item 'Medical Gloves' (#2164003)
[15:38:43	]devserver char has gained a 'Medical Gloves' #2164003 from a container with the name 'Suitcase' #128204.
[15:38:45	]devserver char has gained a 'Red Medic Shirt' #3085124 from a container with the name 'Suitcase' #128204.
[15:38:47	]devserver char has gained a 'Visor Cap' #3085137 from a container with the name 'Suitcase' #128204.
[15:38:53	]devserver char ran 'take' on item 'Realist Trousers' (#2876481)
[15:38:53	]devserver char has gained a 'Realist Trousers' #2876481.
[15:39:06	]devserver char ran 'take' on item 'Flashlight' (#2862567)
[15:39:06	]devserver char has gained a 'Flashlight' #2862567.
[15:39:10	]devserver char ran 'take' on item 'Surgical Mask' (#2501521)
[15:39:10	]devserver char has gained a 'Surgical Mask' #2501521.
[15:39:15	]devserver char ran 'take' on item 'Suitcase' (#2936206)
[15:39:15	]devserver char has gained a 'Suitcase' #2936206.
[15:39:15	]devserver char has gained a 'CMRU Level 5 Access Keycard' #2746140.
[15:39:15	]devserver char has gained a 'White Hazmat Uniform' #3102992.
[15:39:15	]devserver char has gained a 'Lab Coat' #2746135.
[15:41:43	]devserver char ran 'take' on item '#04042's Identity Card' (#3107003)
[15:41:43	]devserver char has gained a '#04042's Identity Card' #3107003.
[15:47:41	]devserver char used command '/ToggleFlight'.
[15:49:52	]devserver char entered observer.
[15:50:00	]devserver char exited observer.
[15:50:15	]devserver char entered observer.
[15:50:22	]devserver char exited observer.
[15:50:23	]devserver char entered observer.
[15:50:25	]devserver char exited observer.
[15:50:48	]devserver char ran 'Consume' on item 'Star Dust' (#3111236)
[15:50:48	]devserver char has gained a level -3 short boost in Strength.
[15:50:48	]devserver char has gained a level 6 short boost in Perception.
[15:50:48	]devserver char has gained a level 5 short boost in Intelligence.
[15:51:21	]devserver char exited observer.
[15:51:24	]devserver char entered observer.
[15:51:25	]devserver char exited observer.
[15:51:47	]devserver char used command '/RemoveDrugEffects ^'.
[15:52:03	]devserver char has spawned a planter_placer.
[15:52:07	]devserver char ran 'take' on item 'Planter' (#3111314)
[15:52:07	]devserver char has gained a 'Planter' #3111314.
[15:52:12	]devserver char ran 'drop' on item 'Spoiled Watermelon' (#3105479)
[15:52:13	]devserver char ran 'Consume' on item 'Spoiled Watermelon' (#3105478)
[15:52:14	]devserver char ran 'Consume' on item 'Spoiled Watermelon' (#3105479)
[15:52:15	]devserver char ran 'drop' on item 'Mixer' (#2939241)
[15:52:16	]devserver char ran 'drop' on item 'Mixer' (#3061033)
[15:52:17	]devserver char ran 'drop' on item 'Mixer' (#3061033)
[15:52:18	]devserver char ran 'drop' on item 'Mixer' (#2939241)
[15:52:20	]devserver char ran 'drop' on item 'Large Bag' (#2716977)
[15:52:20	]devserver char has lost a 'Large Bag' #2716977.
[15:52:20	]devserver char has lost a 'Mixer' #3061033.
[15:52:20	]devserver char has lost a 'Mixer' #2939241.
[15:52:21	]devserver char ran 'drop' on item 'Small Bag' (#2695217)
[15:52:21	]devserver char has lost a 'Small Bag' #2695217.
[15:52:21	]devserver char has lost a 'First Aid Kit' #3085389.
[15:52:21	]devserver char has lost a 'First Aid Kit' #3085375.
[15:52:21	]devserver char has lost a 'First Aid Kit' #3085376.
[15:52:21	]devserver char has lost a 'First Aid Kit' #3085394.
[15:52:21	]devserver char has lost a 'First Aid Kit' #3085457.
[15:52:21	]devserver char has lost a 'First Aid Kit' #3085374.
[15:52:21	]devserver char has lost a 'First Aid Kit' #3085381.
[15:52:21	]devserver char has lost a 'Makeshift Bandage Roll' #3107941.
[15:52:21	]devserver char has lost a 'Makeshift Bandage Roll' #3107940.
[15:52:21	]devserver char has lost a 'First Aid Kit' #3085369.
[15:52:21	]devserver char has lost a 'First Aid Kit' #3085456.
[15:52:21	]devserver char has lost a 'Makeshift Bandage Roll' #3107942.
[15:52:21	]devserver char used command '/ToggleRaise'.
[15:52:23	]devserver char destroyed a 'Large Bag' #2716977.
[15:52:23	]devserver char destroyed a 'Small Bag' #2695217.
[15:52:24	]devserver char used command '/ToggleRaise'.
[15:52:28	]devserver char has spawned a largebag.
[15:52:29	]devserver char ran 'take' on item 'Large Bag' (#3111315)
[15:52:29	]devserver char has gained a 'Large Bag' #3111315.
[15:52:36	]devserver char has spawned a smallbag.
[15:52:38	]devserver char ran 'take' on item 'Small Bag' (#3111316)
[15:52:38	]devserver char has gained a 'Small Bag' #3111316.
[15:52:54	]devserver char ran 'drop' on item 'Suitcase' (#2936206)
[15:52:55	]devserver char ran 'drop' on item 'Suitcase' (#2936206)
[15:52:57	]devserver char ran 'drop' on item 'Suitcase' (#2936206)
[15:53:02	]devserver char ran 'drop' on item 'Suitcase' (#2936206)
[15:53:04	]devserver char ran 'drop' on item 'Suitcase' (#2936206)
[15:53:08	]devserver char ran 'Equip' on item 'Suitcase' (#2936206)
[15:53:09	]devserver char ran 'drop' on item 'Suitcase' (#2936206)
[15:53:11	]devserver char ran 'drop' on item 'Suitcase' (#2936206)
[15:53:12	]devserver char ran 'EquipUn' on item 'Suitcase' (#2936206)
[15:53:52	]devserver char has given himself a planter_placer.
[15:53:52	]devserver char has gained a 'Planter' #3111317.
[15:53:52	]devserver char has given himself a planter_placer.
[15:53:52	]devserver char has gained a 'Planter' #3111318.
[15:53:53	]devserver char has given himself a planter_placer.
[15:53:53	]devserver char has gained a 'Planter' #3111319.
[15:55:44	]devserver char has spawned a PRANKED!.
[15:55:45	]devserver char was knocked unconscious and is bleeding out.
[15:55:54	]devserver char used command '/CharStopBleedout ^'.
[15:55:58	]devserver char is no longer unconscious from critical wounds.
[15:55:58	]devserver char is fully healed.
[15:56:19	]devserver char has used a context menu option with the name: remove
[15:56:24	]devserver char has spawned a Rabit_test.
[15:56:27	]devserver char ran 'take' on item 'A surprise Item' (#3111321)
[15:56:27	]devserver char has gained a 'A surprise Item' #3111321.
[15:56:29	]devserver char ran 'drop' on item 'A surprise Item' (#3111321)
[15:56:31	]devserver char ran 'drop' on item 'A surprise Item' (#3111321)
[15:56:32	]devserver char ran 'drop' on item 'A surprise Item' (#3111321)
[15:56:32	]devserver char ran 'drop' on item 'A surprise Item' (#3111321)
[15:56:33	]devserver char exited observer.
[15:56:45	]devserver char ran 'place' on item 'Planter' (#3111314)
[15:56:48	]devserver char ran 'place' on item 'Planter' (#3111317)
[15:56:50	]devserver char ran 'place' on item 'Planter' (#3111318)
[15:56:54	]devserver char ran 'place' on item 'Planter' (#3111319)
[15:57:14	]devserver char used command '/CharGiveFlag ^ *'.
[15:57:26	]devserver char used command '/CharGiveFlag ^ PET'.
[15:57:35	]devserver char used command '/CharGiveFlag ^ pet'.
[15:57:41	]devserver char used command '/CharGiveFlag ^ c'.
[15:57:48	]devserver char used command '/CharGiveFlag ^ n'.
[15:57:52	]devserver char used command '/CharGiveFlag ^ r'.
[15:57:59	]devserver char used command '/CharGiveFlag ^ j'.
[15:58:16	]devserver char used command '/CharGiveFlag ^ Q'.
[15:58:23	]devserver char used command '/CharGiveFlag ^ J'.
[15:58:30	]devserver char has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[15:58:40	]devserver char created a 'Large Metal Cabinet' container.
[15:58:40	]devserver char has used a context menu option with the name: wncontainer_create
[15:58:44	]devserver char has set the 'Large Metal Cabinet' container (#134222) to group/faction owned, owned by 'CMRU'.
[15:58:44	]devserver char has used a context menu option with the name: wncontainer_setgroup
[15:58:56	]devserver char has set the name of the 'Large Metal Cabinet' container (#134222) to 'cmrushit container'.
[15:58:56	]devserver char has used a context menu option with the name: wncontainer_setname
[15:59:00	]devserver char admin-searched the 'cmrushit container' #134222 container.
[15:59:00	]devserver char has used a context menu option with the name: wncontainer_view
[15:59:05	]devserver char admin-closed the 'cmrushit container' #134222 container.
[15:59:07	]devserver char opened the 'cmrushit container' #134222 container.
[15:59:09	]devserver char closed the 'cmrushit container' #134222 container.
[15:59:09	]devserver char opened the 'cmrushit container' #134222 container.
[15:59:10	]devserver char closed the 'cmrushit container' #134222 container.
[15:59:15	]devserver char admin-searched the 'cmrushit container' #134222 container.
[15:59:15	]devserver char has used a context menu option with the name: wncontainer_view
[15:59:16	]devserver char admin-closed the 'cmrushit container' #134222 container.
[15:59:21	]devserver char has set the 'cmrushit container' container (#134222) to private, owned by 'character[28082]'.
[15:59:21	]devserver char has used a context menu option with the name: wncontainer_setprivate
[15:59:22	]devserver char opened the 'cmrushit container' #134222 container.
[15:59:23	]devserver char closed the 'cmrushit container' #134222 container.
[15:59:32	]devserver char has set the 'cmrushit container' container (#134222) to premium.
[15:59:32	]devserver char has used a context menu option with the name: wncontainer_togglepremium
[15:59:33	]devserver char opened the 'cmrushit container' #134222 container.
[15:59:34	]devserver char closed the 'cmrushit container' #134222 container.
[15:59:36	]devserver char has set the 'cmrushit container' container (#134222) to not premium.
[15:59:36	]devserver char has used a context menu option with the name: wncontainer_togglepremium
[15:59:43	]devserver char has set the name of the 'cmrushit container' container (#134222) to 'cmruplant'.
[15:59:43	]devserver char has used a context menu option with the name: wncontainer_setname
[15:59:48	]devserver char has given himself a planter_placer.
[15:59:49	]devserver char has gained a 'Planter' #3111322.
[15:59:49	]devserver char has given himself a planter_placer.
[15:59:49	]devserver char has gained a 'Planter' #3111323.
[15:59:50	]devserver char has given himself a planter_placer.
[15:59:50	]devserver char has gained a 'Planter' #3111324.
[15:59:50	]devserver char has given himself a planter_placer.
[15:59:50	]devserver char has gained a 'Planter' #3111325.
[15:59:52	]devserver char ran 'place' on item 'Planter' (#3111322)
[15:59:57	]devserver char ran 'place' on item 'Planter' (#3111323)
[16:00:00	]devserver char ran 'place' on item 'Planter' (#3111324)
[16:00:04	]devserver char ran 'place' on item 'Planter' (#3111325)
[16:00:08	]devserver char has given himself a planter_placer.
[16:00:08	]devserver char has gained a 'Planter' #3111326.
[16:00:08	]devserver char has given himself a planter_placer.
[16:00:08	]devserver char has gained a 'Planter' #3111327.
[16:00:10	]devserver char ran 'place' on item 'Planter' (#3111326)
[16:00:13	]devserver char ran 'place' on item 'Planter' (#3111327)
[16:00:18	]devserver char has given himself a planter_placer.
[16:00:18	]devserver char has gained a 'Planter' #3111328.
[16:00:20	]devserver char has given himself a planter_placer.
[16:00:20	]devserver char has gained a 'Planter' #3111329.
[16:00:20	]devserver char has given himself a planter_placer.
[16:00:21	]devserver char has gained a 'Planter' #3111330.
[16:00:23	]devserver char has given himself a planter_placer.
[16:00:23	]devserver char has gained a 'Planter' #3111331.
[16:00:23	]devserver char has given himself a planter_placer.
[16:00:24	]devserver char ran 'place' on item 'Planter' (#3111328)
[16:00:28	]devserver char ran 'place' on item 'Planter' (#3111329)
[16:00:30	]devserver char ran 'place' on item 'Planter' (#3111330)
[16:00:34	]devserver char ran 'place' on item 'Planter' (#3111331)
[16:00:37	]devserver char has given himself a planter_placer.
[16:00:40	]devserver char has given himself a planter_placer.
[16:00:42	]devserver char has spawned a planter_placer.
[16:00:43	]devserver char has spawned a planter_placer.
[16:00:43	]devserver char has spawned a planter_placer.
[16:00:50	]devserver char has spawned a planter_placer.
[16:00:59	]devserver char entered observer.
[16:01:00	]devserver char has gained a 'Planter' #3111332.
[16:01:00	]devserver char has gained a 'Planter' #3111333.
[16:01:00	]devserver char exited observer.
[16:01:00	]devserver char has taken 5 damage from ix_item.
[16:01:00	]devserver char has taken 5 damage from ix_item.
[16:01:03	]devserver char has used a context menu option with the name: remove
[16:01:04	]devserver char has used a context menu option with the name: remove
[16:01:05	]devserver char ran 'take' on item 'Planter' (#3111336)
[16:01:05	]devserver char has gained a 'Planter' #3111336.
[16:01:08	]devserver char has used a context menu option with the name: remove
[16:01:11	]devserver char ran 'place' on item 'Planter' (#3111332)
[16:01:15	]devserver char has given himself a planter_placer.
[16:01:15	]devserver char has gained a 'Planter' #3111338.
[16:01:16	]devserver char ran 'place' on item 'Planter' (#3111338)
[16:01:20	]devserver char ran 'place' on item 'Planter' (#3111333)
[16:01:24	]devserver char ran 'place' on item 'Planter' (#3111336)
[16:01:49	]devserver char has spawned a seed_apple.
[16:01:50	]devserver char has spawned a seed_apple.
[16:01:51	]devserver char ran 'take' on item 'Apple Seeds' (#3111340)
[16:01:51	]devserver char has gained a 'Apple Seeds' #3111340.
[16:01:51	]devserver char ran 'take' on item 'Apple Seeds' (#3111339)
[16:01:51	]devserver char has gained a 'Apple Seeds' #3111339.
[16:01:53	]devserver char has spawned a seed_banana.
[16:01:53	]devserver char has spawned a seed_banana.
[16:01:55	]devserver char ran 'take' on item 'Banana Seeds' (#3111341)
[16:01:55	]devserver char has gained a 'Banana Seeds' #3111341.
[16:01:56	]devserver char ran 'take' on item 'Banana Seeds' (#3111342)
[16:01:56	]devserver char has gained a 'Banana Seeds' #3111342.
[16:01:57	]devserver char has spawned a seed_berries.
[16:01:57	]devserver char has spawned a seed_berries.
[16:01:59	]devserver char ran 'take' on item 'Berries Seeds' (#3111343)
[16:01:59	]devserver char has gained a 'Berries Seeds' #3111343.
[16:02:00	]devserver char ran 'take' on item 'Berries Seeds' (#3111344)
[16:02:00	]devserver char has gained a 'Berries Seeds' #3111344.
[16:02:01	]devserver char has spawned a seed_orange.
[16:02:01	]devserver char has spawned a seed_orange.
[16:02:02	]devserver char ran 'take' on item 'Orange seeds' (#3111346)
[16:02:02	]devserver char has gained a 'Orange seeds' #3111346.
[16:02:03	]devserver char ran 'take' on item 'Orange seeds' (#3111345)
[16:02:03	]devserver char has gained a 'Orange seeds' #3111345.
[16:02:04	]devserver char has spawned a seed_pineapple.
[16:02:05	]devserver char ran 'take' on item 'Pineapple Seeds' (#3111347)
[16:02:05	]devserver char has gained a 'Pineapple Seeds' #3111347.
[16:02:06	]devserver char has spawned a seed_pineapple.
[16:02:06	]devserver char ran 'take' on item 'Pineapple Seeds' (#3111348)
[16:02:06	]devserver char has gained a 'Pineapple Seeds' #3111348.
[16:02:07	]devserver char has spawned a seed_pear.
[16:02:07	]devserver char has spawned a seed_pear.
[16:02:08	]devserver char ran 'take' on item 'Pear Seeds' (#3111350)
[16:02:08	]devserver char has gained a 'Pear Seeds' #3111350.
[16:02:09	]devserver char ran 'take' on item 'Pear Seeds' (#3111349)
[16:02:09	]devserver char has gained a 'Pear Seeds' #3111349.
[16:02:11	]devserver char has spawned a seed_potato.
[16:02:11	]devserver char ran 'take' on item 'Potato Seeds' (#3111351)
[16:02:11	]devserver char has gained a 'Potato Seeds' #3111351.
[16:02:12	]devserver char has spawned a seed_potato.
[16:02:13	]devserver char ran 'take' on item 'Potato Seeds' (#3111352)
[16:02:13	]devserver char has gained a 'Potato Seeds' #3111352.
[16:02:15	]devserver char has spawned a seed_tomato.
[16:02:15	]devserver char has spawned a seed_tomato.
[16:02:17	]devserver char ran 'take' on item 'Tomato Seeds' (#3111353)
[16:02:17	]devserver char has gained a 'Tomato Seeds' #3111353.
[16:02:17	]devserver char ran 'take' on item 'Tomato Seeds' (#3111354)
[16:02:17	]devserver char has gained a 'Tomato Seeds' #3111354.
[16:02:18	]devserver char has spawned a seed_watermelon.
[16:02:19	]devserver char has spawned a seed_watermelon.
[16:02:19	]devserver char ran 'take' on item 'Watermelon Seeds' (#3111356)
[16:02:19	]devserver char has gained a 'Watermelon Seeds' #3111356.
[16:02:20	]devserver char ran 'take' on item 'Watermelon Seeds' (#3111355)
[16:02:20	]devserver char has gained a 'Watermelon Seeds' #3111355.
[16:02:21	]devserver char has spawned a seed_xen_berries.
[16:02:21	]devserver char has spawned a seed_xen_berries.
[16:02:22	]devserver char ran 'take' on item 'Xen Berries Seeds' (#3111358)
[16:02:22	]devserver char has gained a 'Xen Berries Seeds' #3111358.
[16:02:23	]devserver char ran 'take' on item 'Xen Berries Seeds' (#3111357)
[16:02:23	]devserver char has gained a 'Xen Berries Seeds' #3111357.
[16:02:24	]devserver char has spawned a seed_xen_herbs.
[16:02:24	]devserver char has spawned a seed_xen_herbs.
[16:02:25	]devserver char ran 'take' on item 'Xen Herbs Seeds' (#3111360)
[16:02:25	]devserver char has gained a 'Xen Herbs Seeds' #3111360.
[16:02:26	]devserver char ran 'take' on item 'Xen Herbs Seeds' (#3111359)
[16:02:26	]devserver char has gained a 'Xen Herbs Seeds' #3111359.
[16:03:51	]devserver char has spawned a advanced_fertilizer.
[16:03:52	]devserver char ran 'take' on item 'Advanced Fertilizer' (#3111361)
