[00:31:57	]CWU CHARACTER is no longer afk. Total time spent AFK: 4530
[00:32:07	]CWU CHARACTER ran 'EquipUn' on item 'USP-45' (#2051063)
[00:36:49	]CWU CHARACTER has used a context menu option with the name: ixpropviewowner
[00:37:00	]CWU CHARACTER used command '/CharFallOver 10'.
[00:37:04	]CWU CHARACTER used command '/CharFallOver 1'.
[00:37:30	]CWU CHARACTER used command '/CharFallOver 1'.
[00:37:39	]CWU CHARACTER used command '/CharFallOver 1'.
[00:37:48	]CWU CHARACTER used command '/CharFallOver 1'.
[00:37:56	]CWU CHARACTER used command '/CharFallOver 1'.
[00:38:03	]CWU CHARACTER used command '/CharFallOver 1'.
[00:38:16	]CWU CHARACTER used command '/CharFallOver 1'.
[00:38:29	]CWU CHARACTER used command '/CharFallOver 1'.
[00:38:38	]CWU CHARACTER used command '/CharFallOver 1'.
[00:38:39	]CWU CHARACTER has taken 50 damage from prop_physics.
[00:38:47	]'Sevens' (STEAM_0:0:25955) has disconnected.
[07:44:25	]Mango has connected.
[07:45:25	]Mango loaded the character 'Churrlung'
[07:45:29	]Churrlung is fully healed.
[07:46:06	]Churrlung ran 'drop' on item 'Breen's Water' (#2054911)
[07:46:06	]Churrlung has lost a 'Breen's Water' #2054911.
[07:46:11	]Churrlung ran 'Consume' on item 'Breen's Water' (#2054911)
[07:46:11	]Churrlung has gained a 'Empty Breen's Water' #2055163.
[07:46:14	]Churrlung ran 'drop' on item 'Empty Breen's Water' (#2055163)
[07:46:14	]Churrlung has lost a 'Empty Breen's Water' #2055163.
[07:47:01	]Churrlung ran 'SetFullCharge' on item 'Combine Battery' (#2054916)
[07:47:18	]Churrlung has given himself a junk_paintcan.
[07:47:18	]Churrlung has gained a 'Empty paintcan' #2055164.
[07:47:23	]Churrlung ran 'drop' on item 'Empty paintcan' (#2055164)
[07:47:23	]Churrlung has lost a 'Empty paintcan' #2055164.
[07:47:44	]Churrlung ran 'take' on item 'Empty paintcan' (#2055164)
[07:47:44	]Churrlung has gained a 'Empty paintcan' #2055164.
[07:47:50	]Churrlung ran 'take' on item 'Combine Battery' (#2054916)
[07:47:50	]Churrlung has gained a 'Combine Battery' #2054916.
[07:47:55	]Churrlung ran 'drop' on item 'Combine Battery' (#2054916)
[07:47:55	]Churrlung has lost a 'Combine Battery' #2054916.
[07:48:01	]Churrlung ran 'drop' on item 'Empty paintcan' (#2055164)
[07:48:01	]Churrlung has lost a 'Empty paintcan' #2055164.
[07:48:24	]Churrlung ran 'take' on item 'Resin' (#2055165)
[07:48:24	]Churrlung has gained a 'Resin' #2055165.
[07:48:53	]Churrlung ran 'drop' on item 'Resin' (#2055165)
[07:48:53	]Churrlung has lost a 'Resin' #2055165.
[07:49:17	]Churrlung has spawned 'models/props_borealis/bluebarrel001.mdl'.
[07:49:21	]Churrlung used command '/entscale 0.5'.
[11:19:08	]Mango has connected.
[11:20:05	]Mango (STEAM_0:0:544539350) deleted character 'S10/OWS.GHOST-94'
[11:20:07	]Mango (STEAM_0:0:544539350) deleted character 'Azh'Daal'
[11:20:08	]Mango (STEAM_0:0:544539350) deleted character 'Alla'Bii'
[11:20:11	]Mango loaded the character 'Churrlung'
[11:20:16	]Churrlung is fully healed.
[11:20:23	]Churrlung has spawned 'models/props_borealis/bluebarrel001.mdl'.
[11:20:26	]Churrlung used command '/entscale 0.5'.
[11:33:19	]Mango has connected.
[12:06:34	]Mango loaded the character 'Churrlung'
[12:06:39	]Churrlung is fully healed.
[12:06:45	]Churrlung has spawned 'models/props_borealis/bluebarrel001.mdl'.
[12:06:49	]Churrlung used command '/entscale 0.5'.
[12:07:30	]Churrlung has spawned 'models/props/de_tides/vending_turtle.mdl'.
[12:07:36	]Churrlung has spawned 'models/props/de_tides/turtle_rock_flag.mdl'.
[12:07:45	]Churrlung used command '/entscale 5'.
[12:11:47	]Churrlung used command '/entscale 10'.
[12:11:49	]Churrlung used command '/entscale 10'.
