[00:07:02	]reece has connected.
[00:10:36	]reece loaded the character 'Agatha Wolstenholme'
[00:10:41	]Agatha Wolstenholme is fully healed.
[00:10:55	]reece (STEAM_0:1:158746618) has disconnected.
[04:00:59	]The Locked Tools Crate container (#0) was removed due to inactivity.
[15:36:59	]M!NT has connected.
[15:37:58	]M!NT loaded the character 'Adalia Torres'
[15:38:03	]Adalia Torres is fully healed.
[15:38:16	]Adalia Torres entered observer.
[15:38:21	]Adalia Torres exited observer at their location.
[15:38:25	]Adalia Torres entered observer.
[15:38:32	]Keyblockor has connected.
[15:38:36	]Adalia Torres exited observer at their location.
[15:38:37	]Adalia Torres entered observer.
[15:38:53	]Adalia Torres exited observer at their location.
[15:38:54	]Adalia Torres entered observer.
[15:39:14	]Adalia Torres exited observer at their location.
[15:39:20	]Adalia Torres has given himself a cmb_hkusp.
[15:39:20	]Adalia Torres has gained a 'HK USP .45' #2688442.
[15:39:22	]Adalia Torres ran 'Equip' on item 'HK USP .45' (#2688442)
[15:39:37	]Adalia Torres entered observer.
[15:40:00	]Adalia Torres exited observer at their location.
[15:40:53	]Adalia Torres ran SAM command 'hp' with arguments: 'adalia' '40'
[15:40:59	]Adalia Torres has given himself a bandage.
[15:40:59	]Adalia Torres has gained a 'Bandage Roll' #2688443.
[15:41:02	]Adalia Torres ran 'use' on item 'Bandage Roll' (#2688443)
[15:41:02	]Adalia Torres has performed the 'Use Bandage Roll' action, gaining 15 experience in medicine.
[15:41:02	]Adalia Torres was bandaged by Adalia Torres for 16 HP.
[15:41:04	]Keyblockor loaded the character 'Conspicuous Charles'
[15:41:08	]Conspicuous Charles is fully healed.
[15:41:13	]Adalia Torres entered observer.
[15:41:19	]Conspicuous Charles entered observer.
[15:41:23	]Conspicuous Charles exited observer at their location.
[15:41:24	]Adalia Torres exited observer at their location.
[15:41:41	][IC] Conspicuous Charles: Hi.
[15:42:07	][IC] Conspicuous Charles: Go.
[15:42:11	]Adalia Torres has hit Conspicuous Charles in the head dealing 13 damage (CritChance was 0.13).
[15:42:11	]Conspicuous Charles has taken 13 damage from Adalia Torres.
[15:42:11	]Adalia Torres has critically hit Conspicuous Charles in the head dealing 26 damage (CritChance was 0.13).
[15:42:11	]Conspicuous Charles has taken 26 damage from Adalia Torres.
[15:42:11	]Adalia Torres has hit Conspicuous Charles in the head dealing 13 damage (CritChance was 0.13).
[15:42:11	]Conspicuous Charles has taken 13 damage from Adalia Torres.
