[01:37:58	]Robert has connected.
[01:38:38	]Robert loaded the character 'Nazariy Svyatopolk Kozlov'
[01:38:43	]Nazariy Svyatopolk Kozlov is fully healed.
[01:38:47	]Nazariy Svyatopolk Kozlov entered observer.
[01:39:06	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:40:34	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureCouch002a.mdl'.
[01:40:39	]Nazariy Svyatopolk Kozlov has spawned a usable entity class 'ix_couch' with model 'models/props_c17/furniturecouch002a.mdl'.
[01:40:39	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: ixusableentitycreate
[01:40:41	]Nazariy Svyatopolk Kozlov used command '/ActSit 5'.
[01:40:59	]Nazariy Svyatopolk Kozlov used command '/ExitAct'.
[01:41:15	]Nazariy Svyatopolk Kozlov has spawned 'models/props_junk/MetalBucket01a.mdl'.
[01:41:17	]Nazariy Svyatopolk Kozlov has spawned 'models/props_junk/MetalBucket02a.mdl'.
[01:41:26	]Nazariy Svyatopolk Kozlov has enabled persistence for 'models/props_junk/metalbucket02a.mdl'.
[01:41:26	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: persist
[01:41:38	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureCouch001a.mdl'.
[01:41:47	]Nazariy Svyatopolk Kozlov has spawned 'models/props_wasteland/controlroom_chair001a.mdl'.
[01:41:54	]Nazariy Svyatopolk Kozlov has spawned a usable entity class 'ix_couch' with model 'models/props_c17/furniturecouch001a.mdl'.
[01:41:54	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: ixusableentitycreate
[01:41:55	]Nazariy Svyatopolk Kozlov has spawned a usable entity class 'ix_chair' with model 'models/props_wasteland/controlroom_chair001a.mdl'.
[01:41:55	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: ixusableentitycreate
[01:42:05	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureTable003a.mdl'.
[01:42:14	]Nazariy Svyatopolk Kozlov used command '/ActSit 5'.
[01:42:15	]Nazariy Svyatopolk Kozlov used command '/ExitAct'.
[01:42:31	]Nazariy Svyatopolk Kozlov has spawned a 'Entity [443][ix_combinemonitor_tv]'.
[01:42:59	]Nazariy Svyatopolk Kozlov used command '/ShowEdicts'.
[01:43:08	]Imperator RAD-X has connected.
[01:44:21	]Imperator RAD-X loaded the character 'Strider'
[01:44:26	]Nazariy Svyatopolk Kozlov used command '/CreatePriorityApartment LHC-11'.
[01:44:29	]Nazariy Svyatopolk Kozlov used command '/CreatePriorityApartment LHC-12'.
[01:44:37	]Nazariy Svyatopolk Kozlov used command '/CreatePriorityApartment LHC-22'.
[01:44:38	]Nazariy Svyatopolk Kozlov used command '/CreatePriorityApartment LHC-32'.
[01:44:39	]Nazariy Svyatopolk Kozlov entered observer.
[01:44:39	]Imperator RAD-X loaded the character 'Sir Duncan Wilford'
[01:44:43	]Nazariy Svyatopolk Kozlov used command '/CreatePriorityApartment LHC-42'.
[01:44:44	]Sir Duncan Wilford is fully healed.
[01:44:46	]Nazariy Svyatopolk Kozlov used command '/CreatePriorityApartment LHC-41'.
[01:44:48	]Nazariy Svyatopolk Kozlov used command '/CreatePriorityApartment LHC-31'.
[01:44:50	]Nazariy Svyatopolk Kozlov used command '/CreatePriorityApartment LHC-21'.
[01:44:54	]Sir Duncan Wilford entered observer.
[01:44:55	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:44:55	]Sir Duncan Wilford exited observer at their location.
[01:45:08	]Sir Duncan Wilford entered observer.
[01:45:10	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LH-11'.
[01:45:12	]Nazariy Svyatopolk Kozlov entered observer.
[01:45:14	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LH-11'.
[01:45:17	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LH-11'.
[01:45:22	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LH-12'.
[01:45:27	]Sir Duncan Wilford exited observer at their location.
[01:45:28	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:45:28	]Nazariy Svyatopolk Kozlov entered observer.
[01:45:33	][OOC] Sir Duncan Wilford: FUCKING SHIT MAP
[01:45:35	][OOC] Sir Duncan Wilford: I LOVE IT
[01:45:37	][OOC] Sir Duncan Wilford: BEST MAP EVER
[01:45:38	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:45:41	][OOC] Nazariy Svyatopolk Kozlov: Piss off
[01:45:48	]Sir Duncan Wilford ran SAM command 'slay' with arguments: 'wilford'
