[06:41:36	]TRL has connected.
[06:48:57	]TRL loaded the character 'Bob Good'
[06:49:52	]Bob Good is fully healed.
[06:53:44	]TRL (STEAM_0:0:128354744) has disconnected.
[09:47:21	]Mango has connected.
[09:47:59	]Mango loaded the character 'Vahh'Brun-Nox'
[09:48:04	]Vahh'Brun-Nox is fully healed.
[09:48:13	]George has connected.
[09:48:44	]Vahh'Brun-Nox has gained level 1 in the Vortessence skill.
[09:48:46	]Vahh'Brun-Nox has gained level 1 in the Guns skill.
[09:49:10	][IC] Vahh'Brun-Nox: A.
[09:49:19	]Vahh'Brun-Nox used command '/thevortigaunt hello'.
[09:49:23	]George loaded the character 'George'
[09:49:49	]George loaded the character 'Kurr'Go'Tahn'
[09:49:49	]Kurr'Go'Tahn their 'sewer stash' stash no longer exists, location reset.
[09:49:54	]Kurr'Go'Tahn is fully healed.
[09:49:56	]Kurr'Go'Tahn entered observer.
[09:49:57	]Kurr'Go'Tahn exited observer at their location.
[09:50:01	]Kurr'Go'Tahn entered observer.
[09:50:07	]Kurr'Go'Tahn exited observer at their location.
[09:50:21	]Vahh'Brun-Nox used command '/thevortigaunt hello'.
[09:50:28	][IC] Kurr'Go'Tahn: Hi.
[09:51:11	]Vahh'Brun-Nox used command '/VortSetCoterminous kurr true'.
[09:51:12	]Vahh'Brun-Nox has set coterminous state for Kurr'Go'Tahn to true
[09:51:21	][IC] Kurr'Go'Tahn: Hi.
[09:51:24	][IC] Vahh'Brun-Nox: Aepfsjpf.
[09:51:27	][IC] Kurr'Go'Tahn: Frka;  ldfa.
[09:51:29	][Y] Kurr'Go'Tahn: Hio.
[09:51:31	][W] Kurr'Go'Tahn: Fds.
[09:51:59	]Vahh'Brun-Nox used command '/VortSetAgenda you must kill all humans'.
[09:52:16	]Kurr'Go'Tahn used command '/thevortigaunt What's up tean'.
[09:52:19	]Kurr'Go'Tahn used command '/thevortigaunt What's up team!?!?'.
[09:52:22	]Vahh'Brun-Nox used command '/VortSetAgenda you must kill all humans'.
[09:52:24	]Kurr'Go'Tahn used command '/thevortigaunt What's up team!?!?'.
[09:52:41	]George loaded the character 'George'
[09:52:54	]George loaded the character 'Kurr'Go'Tahn'
[09:53:07	]Kurr'Go'Tahn used command '/thevortigaunt What's up team!?!?'.
[09:53:15	]Kurr'Go'Tahn used command '/VortSetAgenda hi'.
[09:53:36	]Kurr'Go'Tahn used command '/VortSetCoterminous ^ true'.
[09:53:38	]Kurr'Go'Tahn has set coterminous state for Kurr'Go'Tahn to true
[09:54:01	]Vahh'Brun-Nox used command '/rvort test'.
[09:54:02	]Kurr'Go'Tahn used command '/Radio hi'.
[09:54:12	]Kurr'Go'Tahn used command '/rvort hi'.
[09:54:20	][VORTSHOUT] Kurr'Go'Tahn: hi
[09:54:25	]Kurr'Go'Tahn used command '/rvort hi'.
