[02:43:32	]garry has connected.
[02:45:43	]garry created the character 'sadasdasdasd'
[02:45:43	]sadasdasdasd has gained a 'Light Grey Armband' #1660886.
[02:45:43	]sadasdasdasd has gained a '#69351's Identity Card' #1660887.
[02:45:44	]garry loaded the character 'sadasdasdasd'
[02:46:10	]sadasdasdasd used the 'Munition Lady' vendor.
[02:46:13	]sadasdasdasd has gained 0 chips.
[02:46:13	]sadasdasdasd has gained a 'Model 870' #1660888.
[02:46:15	]sadasdasdasd has gained 0 chips.
[02:46:15	]sadasdasdasd has gained a 'Buckshot Shotgun Shells' #1660889.
[02:46:16	]sadasdasdasd has gained 0 chips.
[02:46:16	]sadasdasdasd has gained a 'Buckshot Shotgun Shells' #1660890.
[02:46:16	]sadasdasdasd has gained 0 chips.
[02:46:16	]sadasdasdasd has gained a 'Buckshot Shotgun Shells' #1660891.
[02:46:17	]sadasdasdasd has gained 0 chips.
[02:46:17	]sadasdasdasd has gained a 'Buckshot Shotgun Shells' #1660892.
[02:46:24	]sadasdasdasd has gained 0 chips.
[02:46:24	]sadasdasdasd has gained a '8rnd 870-magazine' #1660893.
[02:46:24	]sadasdasdasd has gained 0 chips.
[02:46:24	]sadasdasdasd has gained a '8rnd 870-magazine' #1660894.
[02:46:25	]sadasdasdasd has gained 0 chips.
[02:46:25	]sadasdasdasd has gained a '8rnd 870-magazine' #1660895.
[02:46:25	]sadasdasdasd has gained 0 chips.
[02:46:25	]sadasdasdasd has gained a '8rnd 870-magazine' #1660896.
[02:46:25	]sadasdasdasd has gained 0 chips.
[02:46:26	]sadasdasdasd has gained a '8rnd 870-magazine' #1660897.
[02:46:26	]sadasdasdasd has gained 0 chips.
[02:46:26	]sadasdasdasd has gained a '8rnd 870-magazine' #1660898.
[02:46:30	]sadasdasdasd has gained 0 chips.
[02:46:30	]sadasdasdasd has gained a 'Buckshot Shotgun Shells' #1660899.
[02:46:30	]sadasdasdasd has gained 0 chips.
[02:46:30	]sadasdasdasd has gained a 'Buckshot Shotgun Shells' #1660900.
[02:46:31	]sadasdasdasd has gained 0 chips.
[02:46:31	]sadasdasdasd has gained a 'Buckshot Shotgun Shells' #1660901.
[02:46:31	]sadasdasdasd has gained 0 chips.
[02:46:31	]sadasdasdasd has gained a 'Buckshot Shotgun Shells' #1660902.
[02:46:32	]sadasdasdasd has gained 0 chips.
[02:46:32	]sadasdasdasd has gained a 'Buckshot Shotgun Shells' #1660903.
[02:46:32	]sadasdasdasd has gained 0 chips.
[02:46:32	]sadasdasdasd has gained a 'Buckshot Shotgun Shells' #1660904.
[02:46:32	]sadasdasdasd has gained 0 chips.
[02:46:35	]sadasdasdasd ran 'Equip' on item 'Model 870' (#1660888)
[02:46:39	]sadasdasdasd ran 'combine' on item 'Buckshot Shotgun Shells' (#1660904)
[02:46:42	]sadasdasdasd ran 'combine' on item '8rnd 870-magazine' (#1660898)
[02:46:43	]sadasdasdasd ran 'combine' on item '8rnd 870-magazine' (#1660897)
[02:46:43	]sadasdasdasd ran 'combine' on item '8rnd 870-magazine' (#1660896)
[02:46:44	]sadasdasdasd ran 'combine' on item '8rnd 870-magazine' (#1660895)
[02:46:45	]sadasdasdasd ran 'combine' on item '8rnd 870-magazine' (#1660894)
[02:46:46	]sadasdasdasd ran 'combine' on item '8rnd 870-magazine' (#1660893)
[02:46:47	]sadasdasdasd has lost a '8rnd 870-magazine' #1660898.
[02:46:54	]sadasdasdasd used the 'John Doe' vendor.
[02:46:56	]sadasdasdasd has gained a '8rnd 870-magazine' #1660898.
[02:46:56	]sadasdasdasd has lost a '8rnd 870-magazine' #1660897.
[02:47:06	]sadasdasdasd used the 'Munition Lady' vendor.
[02:47:11	]sadasdasdasd has critically hit npc_combine_camera dealing 10 damage (CritChance was 0.84).
[02:47:11	]sadasdasdasd has hit npc_combine_camera dealing 6 damage (CritChance was 0.84).
[02:47:11	]sadasdasdasd has hit npc_combine_camera dealing 0 damage (CritChance was 0.84).
[02:47:11	]sadasdasdasd has critically hit npc_combine_camera dealing 10 damage (CritChance was 0.84).
[02:47:11	]sadasdasdasd has critically hit npc_combine_camera dealing 0 damage (CritChance was 0.84).
