[07:19:51	]TRL has connected.
[07:20:47	]TRL loaded the character 'Bob Good'
[07:20:52	]Bob Good is fully healed.
[07:21:03	]Bob Good has lost a '30rnd M16 Magazine' #2690359.
[07:21:03	]Bob Good has gained a '30rnd M16 Magazine' #2690318.
[07:21:30	]Bob Good has gained a '30rnd M16 Magazine' #2690359.
[07:21:30	]Bob Good has lost a '30rnd M16 Magazine' #2690318.
[07:22:41	]Bob Good ran 'combine' on item 'Surgical Kit' (#2690268)
[07:22:41	]Bob Good has gained a 'Stitched Cloth' #2690468.
[07:22:52	]Bob Good ran 'unload' on item '30rnd M16 Magazine' (#2690358)
[07:22:52	]Bob Good has gained a 'Assault Rifle Bullets' #2690469.
[07:22:54	]Bob Good ran 'unload' on item '30rnd M16 Magazine' (#2690359)
[07:22:54	]Bob Good has gained a 'Assault Rifle Bullets' #2690470.
[07:22:55	]Bob Good ran 'unload' on item '30rnd M16 Magazine' (#2690360)
[07:22:55	]Bob Good has gained a 'Assault Rifle Bullets' #2690471.
[07:22:57	]Bob Good ran 'combine' on item 'Assault Rifle Bullets' (#2690470)
[07:22:57	]Bob Good ran 'combine' on item 'Assault Rifle Bullets' (#2690470)
[07:22:58	]Bob Good ran 'combine' on item '30rnd M16 Magazine' (#2690360)
[07:23:20	]Bob Good ran 'take' on item 'Sub-machinegun Bullets' (#2690242)
[07:23:20	]Bob Good has gained a 'Sub-machinegun Bullets' #2690242.
[07:23:21	]Bob Good ran 'take' on item 'Sub-machinegun Bullets' (#2690237)
[07:23:21	]Bob Good has gained a 'Sub-machinegun Bullets' #2690237.
[07:23:23	]Bob Good ran 'take' on item 'Sub-machinegun Bullets' (#2690236)
[07:23:23	]Bob Good has gained a 'Sub-machinegun Bullets' #2690236.
[07:23:30	]Bob Good ran 'take' on item 'MP7A1' (#2690134)
[07:23:30	]Bob Good has gained a 'MP7A1' #2690134.
[07:23:32	]Bob Good ran 'EquipUn' on item 'M16A2' (#2690315)
[07:23:32	]Bob Good has gained a '30rnd M16 Magazine' #2690318.
[07:23:33	]Bob Good ran 'Equip' on item 'MP7A1' (#2690134)
[07:23:35	]Bob Good has lost a '30rnd MP Magazine' #2690153.
[07:25:18	]Bob Good used the 'John Doe' vendor.
[07:26:30	]Bob Good has gained a '30rnd MP Magazine' #2690153.
[07:26:30	]Bob Good has lost a '30rnd MP Magazine' #2690152.
[07:26:35	]Bob Good has gained level 17 in the Speed skill.
[07:26:55	]TRL (STEAM_0:0:128354744) has disconnected.
