[12:27:14	]Kappatalist has connected.
[12:28:33	]Kappatalist loaded the character 'Eric Bayer'
[12:28:40	]Eric Bayer entered observer.
[12:28:52	]The White Dove used command '/CharSetName Eric Bayer The White Dove'.
[12:29:07	]The White Dove has given himself a wireless_microphone.
[12:29:07	]The White Dove has gained a 'Wireless Microphone' #2052894.
[12:29:35	]The White Dove used command '/Broadcast If the crimes of this Empire have gone in the recesses of your mind unprotested, if you have felt *nothing* as they have ripped your friends and family away to be destroyed, if you still maintain that the Combine are a force of good-'.
[12:29:43	]The White Dove has given himself a broadcasting_device.
[12:29:43	]The White Dove has gained a 'Broadcasting Device' #2052895.
[12:29:45	]The White Dove used command '/Broadcast If the crimes of this Empire have gone in the recesses of your mind unprotested, if you have felt *nothing* as they have ripped your friends and family away to be destroyed, if you still maintain that the Combine are a force of good-'.
[12:30:22	]The White Dove used command '/Broadcast in this world, then there is little I can do or say to alleviate your qualms. I only pray that you will see the truth before it is far too late for yourselves. You may be of great social standing- you may have a great deal-'.
[12:31:28	]The White Dove used command '/Broadcast -of friends around you, but one day, dear listener. One day that will all come crumbling down, you *will* make enemies, within Civil Protection- within the party, within the Administration. Maybe it will be something you say-'.
[12:31:43	][IC] The White Dove: -or perhaps a mistake of yours- a misunderstanding, or maybe, quite simply, they will just decide that they do not like you. Your world will come crumbling down around you, you will remember my words before the end, but alas, it will be too late.
[12:31:53	]The White Dove used command '/Broadcast -or perhaps a mistake of yours- a misunderstanding, or maybe, quite simply, they will just decide that they do not like you. Your world will come crumbling down around you, you will remember my words before the end, but alas it will be too late.'.
[12:32:31	]The White Dove used command '/Broadcast All that you had ever done, all you had dreamed to do, it will cease to have ever been. Perhaps you do not believe me, but I ask you to think of those around you of which it has *already* happened to.'.
[12:33:03	]The White Dove used command '/Broadcast Yet there are a great deal amongst you now who feel as I feel, that the savagery of this Regime has simply gone on for far too long- far too much. I address you, now, solely. There is still hope, this I can promise-'.
[12:33:47	]The White Dove used command '/Broadcast It is our opinion that the Combine’s destruction on Earth and the overthrow of the puppet regime is certain, but it is only certain if you do *your* part. If you care for each other-'.
[12:34:09	]The White Dove used command '/Broadcast It is our opinion that the Combine’s destruction on Earth and the overthrow of the puppet regime is certain, but it is only certain if you do *your* part. If you care for each other.If you resist their attempts to turn you against one another.'.
[12:34:45	]The White Dove used command '/Broadcast -and instil hatred in your heart for others. You must make an effort, an effort to shape the Resistance in the way that you would see it- to shape the future of *Humanity* as you would see it. A collective effort must be made, no matter in what'.
[12:35:07	]The White Dove used command '/Broadcast -and instil hatred in your heart for others. You must make an effort, an effort to shape the Resistance in the way that you would see it- to shape the future of *Humanity* as you would see it.'.
