[00:20:57	]Rabithunter has connected.
[00:22:02	]Rabithunter loaded the character 'Pathfinder'
[00:22:07	]Pathfinder is fully healed.
[00:22:13	]Pathfinder entered observer.
[00:23:04	]Pathfinder has fired a toolgun with the name: creator
[00:23:04	]Pathfinder has spawned a 'Weapon [3980][arccw_go_m4]'.
[00:23:08	]Pathfinder exited observer at their location.
[00:23:30	]Pathfinder entered observer.
[00:32:28	]Pathfinder exited observer at their location.
[00:32:32	]Rabithunter (STEAM_0:1:22394854) has disconnected.
[00:49:24	]Kranky has connected.
[00:52:10	]Kranky created the character 'Kranky'
[00:52:11	]Kranky has gained a 'Suitcase' #2055932.
[00:52:11	]Kranky has gained a 'Flashlight' #2055933.
[00:52:11	]Kranky has gained a 'Light Grey Armband' #2055934.
[00:52:11	]Kranky has gained a '#94726's Identity Card' #2055935.
[00:52:11	]Kranky loaded the character 'Kranky'
[00:52:28	][BEN] Kranky: ask
[00:53:54	]Console ran SAM command 'adduser' with arguments: 'kranky' 'gamemaster'
[00:54:13	]Kranky entered observer.
[00:55:09	]Kranky used command '/CharGiveFlag ^ PET'.
[00:55:17	]Kranky exited observer.
[00:55:18	]Kranky entered observer.
[00:55:19	]Kranky exited observer.
[00:55:19	]Kranky entered observer.
[00:55:26	]Kranky exited observer.
[00:55:35	]Kranky entered observer.
[00:55:36	]Kranky exited observer.
[00:55:47	]Kranky entered observer.
[00:56:03	]Kranky exited observer at their location.
[00:56:04	]Kranky entered observer.
[00:56:51	]Kranky used command '/CharGiveFlag ^ a'.
[00:56:52	]Kranky has fired a toolgun with the name: advdupe2
[00:56:53	]Kranky has spawned 'models/props_debris/floor_rubble1.mdl'.
[00:56:54	]Kranky has spawned 'models/jq/hlvr/props/xen/xen_foam_base001.mdl'.
[00:56:54	]Kranky has spawned 'models/jq/hlvr/props/xen/xen_foam_anchor01.mdl'.
[00:56:55	]Kranky has spawned 'models/jq/hlvr/props/xen/xen_foam_pillar001.mdl'.
[00:56:55	]Kranky has spawned 'models/jq/hlvr/props/xenpack/xen_a3_pitwall_lod1.mdl'.
[00:56:56	]Kranky has spawned 'models/jq/hlvr/props/infestation/dead_body/xen_dead_body.mdl'.
[00:56:56	]Kranky has spawned a 'Entity [5299][ladder_small]'.
[00:56:57	]Kranky has spawned 'models/jq/hlvr/props/xen/xen_foam_wall001.mdl'.
[00:57:11	]Kranky has fired a toolgun with the name: advdupe2
[00:57:12	]Kranky has spawned 'models/props_debris/floor_rubble1.mdl'.
[00:57:13	]Kranky has spawned 'models/jq/hlvr/props/xen/xen_foam_base001.mdl'.
[00:57:13	]Kranky has spawned 'models/jq/hlvr/props/xen/xen_foam_anchor01.mdl'.
[00:57:14	]Kranky has spawned 'models/jq/hlvr/props/xen/xen_foam_pillar001.mdl'.
[00:57:14	]Kranky has spawned 'models/jq/hlvr/props/xenpack/xen_a3_pitwall_lod1.mdl'.
[00:57:15	]Kranky has spawned 'models/jq/hlvr/props/infestation/dead_body/xen_dead_body.mdl'.
[00:57:15	]Kranky has spawned a 'Entity [5271][ladder_small]'.
[00:57:16	]Kranky has spawned 'models/jq/hlvr/props/xen/xen_foam_wall001.mdl'.
[00:58:32	]Kranky has fired a toolgun with the name: advdupe2
[00:58:33	]Kranky has spawned 'models/props_debris/floor_rubble1.mdl'.
[00:58:34	]Kranky has spawned 'models/jq/hlvr/props/xen/xen_foam_base001.mdl'.
[00:58:34	]Kranky has spawned 'models/jq/hlvr/props/xen/xen_foam_anchor01.mdl'.
[00:58:35	]Kranky has spawned 'models/jq/hlvr/props/xen/xen_foam_pillar001.mdl'.
[00:58:35	]Kranky has spawned 'models/jq/hlvr/props/xenpack/xen_a3_pitwall_lod1.mdl'.
[00:58:36	]Kranky has spawned 'models/jq/hlvr/props/infestation/dead_body/xen_dead_body.mdl'.
[00:58:36	]Kranky has spawned a 'Entity [5313][ladder_small]'.
[00:58:37	]Kranky has spawned 'models/jq/hlvr/props/xen/xen_foam_wall001.mdl'.
[00:58:46	]Kranky exited observer at their location.
[00:58:48	]Kranky entered observer.
[01:01:27	]Kranky exited observer at their location.
[01:01:27	]Kranky entered observer.
[01:01:28	]Kranky exited observer at their location.
[01:01:36	]Kranky used command '/CharGiveFlag ^ P'.
[01:01:36	]Kranky entered observer.
[01:02:27	]Kranky used command '/CharGiveFlag ^ p'.
[01:02:44	]Kranky used command '/CharGiveFlag ^ e'.
[01:02:48	]Kranky has spawned 'models/props_d47_canals/canal_single_256.mdl'.
[01:03:23	]Kranky has spawned 'models/props_canal/canal_bars004.mdl'.
[01:03:32	]Kranky has spawned 'models/props_d47_canals/floor_mud_128x128.mdl'.
[01:03:51	]Kranky has spawned 'models/props_d47_canals/floor_mud_512x256.mdl'.
[01:03:52	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x384.mdl'.
[01:03:54	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:03:59	]Kranky has spawned 'models/props_d47_canals/canal_double_512.mdl'.
[01:04:03	]Kranky has spawned 'models/props_d47_canals/canal_end.mdl'.
[01:04:29	]Kranky has fired a toolgun with the name: stacker_improved
[01:04:29	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:32	]Kranky has fired a toolgun with the name: stacker_improved
[01:04:32	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:37	]Kranky has fired a toolgun with the name: stacker_improved
[01:04:37	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:38	]Kranky has fired a toolgun with the name: stacker_improved
[01:04:38	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:39	]Kranky has fired a toolgun with the name: stacker_improved
[01:04:39	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:40	]Kranky has fired a toolgun with the name: stacker_improved
[01:04:40	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:40	]Kranky has fired a toolgun with the name: stacker_improved
[01:04:40	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:41	]Kranky has fired a toolgun with the name: stacker_improved
[01:04:41	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:47	]Kranky has fired a toolgun with the name: stacker_improved
[01:04:47	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:47	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:47	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:47	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:47	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:47	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:47	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:47	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:47	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:47	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:49	]Kranky has fired a toolgun with the name: stacker_improved
[01:04:49	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:49	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:49	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:49	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:49	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:49	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:49	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:49	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:49	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:49	]Kranky has spawned 'models/props_d47_canals/floor_mud_768x512.mdl'.
[01:04:53	]Kranky has spawned 'models/props_d47_canals/canal_doublesawtooth.mdl'.
[01:05:04	]Kranky has spawned 'models/props_d47_canals/canal_tunnel3.mdl'.
[01:05:10	]Kranky has spawned 'models/props_d47_canals/canal_pipe.mdl'.
[01:05:30	]Kranky exited observer at their location.
[01:05:46	]Kranky has fired a toolgun with the name: submaterial
[01:05:48	]Kranky entered observer.
[01:05:58	]Kranky has spawned a 'Entity [5282][ix_combinebarricade]'.
[01:06:06	]Kranky has spawned a 'Entity [132][ix_scanner]'.
[01:06:10	]Kranky entered observer.
[01:06:42	]Kranky exited observer at their location.
[01:06:50	]Kranky entered observer.
[01:06:51	]Kranky has spawned a 'Entity [5275][ix_intercom]'.
[01:06:56	]Kranky has used a context menu option with the name: ixchangeintercomchannel
[01:07:01	]Kranky has spawned a 'Entity [5282][ix_forcefield]'.
[01:07:03	]Kranky has spawned a 'Entity [5295][ix_forcefield]'.
[01:07:10	]Kranky has spawned a 'Entity [5218][ix_forcefield]'.
[01:07:33	]Kranky has fired a toolgun with the name: creator
[01:07:33	]Kranky has spawned a 'Entity [3252][ix_forcefield]'.
[01:07:35	]Kranky has fired a toolgun with the name: creator
[01:07:35	]Kranky has spawned a 'Entity [5274][ix_forcefield]'.
[01:07:39	]Kranky has fired a toolgun with the name: creator
[01:07:39	]Kranky has spawned a 'Entity [5239][ix_forcefield]'.
[01:07:42	]Kranky has fired a toolgun with the name: creator
[01:07:42	]Kranky has spawned a 'Entity [5299][ix_forcefield]'.
[01:07:52	]Kranky exited observer at their location.
[01:07:53	]Kranky entered observer.
[01:07:54	]Kranky exited observer at their location.
[01:07:54	]Kranky entered observer.
[01:07:56	]Kranky exited observer at their location.
[01:07:57	]Kranky has fired a toolgun with the name: creator
[01:07:57	]Kranky has spawned a 'Entity [5239][ix_forcefield]'.
[01:08:00	]Kranky has fired a toolgun with the name: creator
[01:08:00	]Kranky has spawned a 'Entity [5239][ix_forcefield]'.
[01:08:01	]Kranky entered observer.
[01:08:04	]Kranky has fired a toolgun with the name: creator
[01:08:04	]Kranky has spawned a 'Entity [5239][ix_forcefield]'.
[01:08:07	]Kranky has fired a toolgun with the name: creator
[01:08:07	]Kranky has spawned a 'Entity [5239][ix_forcefield]'.
[01:08:08	]Kranky has fired a toolgun with the name: creator
[01:08:08	]Kranky has spawned a 'Entity [3252][ix_forcefield]'.
[01:08:13	]Kranky has fired a toolgun with the name: creator
[01:08:13	]Kranky has spawned a 'Entity [5218][ix_forcefield]'.
[01:08:15	]Kranky has fired a toolgun with the name: creator
[01:08:15	]Kranky has spawned a 'Entity [5218][ix_forcefield]'.
[01:08:19	]Kranky has fired a toolgun with the name: creator
[01:08:19	]Kranky has spawned a 'Entity [3776][ix_forcefield]'.
[01:08:22	]Kranky has fired a toolgun with the name: creator
[01:08:22	]Kranky has spawned a 'Entity [5261][ix_forcefield]'.
[01:08:54	]Kranky has fired a toolgun with the name: precision
[01:09:05	]Kranky has fired a toolgun with the name: creator
[01:09:05	]Kranky has spawned a 'Entity [5219][ix_forcefield]'.
[01:09:08	]Kranky has fired a toolgun with the name: creator
[01:09:08	]Kranky has spawned a 'Entity [5219][ix_forcefield]'.
[01:09:10	]Kranky has fired a toolgun with the name: creator
[01:09:10	]Kranky has spawned a 'Entity [3252][ix_forcefield]'.
[01:09:11	]Kranky has fired a toolgun with the name: creator
[01:09:11	]Kranky has spawned a 'Entity [5239][ix_forcefield]'.
[01:09:15	]Kranky exited observer at their location.
[01:09:19	]Kranky has used a context menu option with the name: ixforcefieldstartmalfunction
[01:09:20	]Kranky entered observer.
[01:09:22	]Kranky has used a context menu option with the name: ixforcefieldstopmalfunction
[01:09:23	]Kranky exited observer at their location.
[01:09:36	]Kranky entered observer.
[01:09:51	]Kranky exited observer at their location.
[01:10:02	]Kranky has spawned a uniform_cp.
[01:10:03	]Kranky has spawned a mask_cp.
[01:10:05	]Kranky ran 'take' on item 'CP Uniform' (#2055936)
[01:10:05	]Kranky has gained a 'CP Uniform' #2055936.
[01:10:06	]Kranky ran 'take' on item 'CP Mask' (#2055937)
[01:10:06	]Kranky has gained a 'CP Mask' #2055937.
[01:10:28	]Kranky entered observer.
[01:10:36	]Kranky has spawned 'models/props_d47_canals/canal_doublesawtooth.mdl'.
[01:10:46	]Kranky has used a context menu option with the name: remove
[01:10:47	]Kranky has used a context menu option with the name: remove
[01:10:53	]Kranky has spawned 'models/props_d47_canals/canal_tunnel4.mdl'.
[01:10:55	]Kranky has spawned 'models/props_d47_canals/canal_interior.mdl'.
[01:10:58	]Kranky has spawned 'models/props_canal/generator01.mdl'.
[01:11:03	]Kranky has spawned 'models/props_canal/canal_bars003b.mdl'.
[01:11:08	]Kranky has spawned 'models/props_canal/canal_bridge02.mdl'.
[01:11:16	]Kranky exited observer at their location.
[01:11:17	]Kranky entered observer.
[01:11:18	]Kranky exited observer at their location.
[01:11:36	]Kranky entered observer.
