[17:21:55	]Marco has connected.
[17:35:35	]Marco loaded the character 'Marco Polo'
[17:35:40	]Marco Polo is fully healed.
[17:36:48	]Marco Polo ran 'drop' on item 'Blue Crystal Shard' (#3307354)
[17:36:48	]Marco Polo has lost a 'Blue Crystal Shard' #3307354.
[17:36:54	]Marco Polo ran 'drop' on item 'Blue Crystal Shard' (#3307352)
[17:36:54	]Marco Polo has lost a 'Blue Crystal Shard' #3307352.
[17:36:55	]Marco Polo ran 'take' on item 'Blue Crystal Shard' (#3307354)
[17:36:55	]Marco Polo has gained a 'Blue Crystal Shard' #3307354.
[17:36:57	]Marco Polo used command '/ToggleRaise'.
[17:36:59	]Marco Polo destroyed a 'Blue Crystal Shard' #3307352.
[17:37:00	]Marco Polo ran 'drop' on item 'Blue Crystal Shard' (#3307354)
[17:37:00	]Marco Polo has lost a 'Blue Crystal Shard' #3307354.
[17:37:01	]Marco Polo ran 'drop' on item 'Large Bomb' (#3307347)
[17:37:01	]Marco Polo has lost a 'Large Bomb' #3307347.
[17:37:03	]Marco Polo ran 'take' on item 'Large Bomb' (#3307347)
[17:37:03	]Marco Polo has gained a 'Large Bomb' #3307347.
[17:37:14	]Marco Polo ran 'drop' on item 'Large Bomb' (#3307347)
[17:37:14	]Marco Polo has lost a 'Large Bomb' #3307347.
[17:37:15	]Marco Polo ran 'drop' on item 'Medium Bomb' (#3307348)
[17:37:15	]Marco Polo has lost a 'Medium Bomb' #3307348.
[17:37:17	]Marco Polo destroyed a 'Large Bomb' #3307347.
[17:37:19	]Marco Polo destroyed a 'Medium Bomb' #3307348.
[17:37:20	]Marco Polo destroyed a 'Blue Crystal Shard' #3307354.
[17:37:21	]Marco Polo ran 'drop' on item 'Blue Crystal Shard' (#3307353)
[17:37:21	]Marco Polo has lost a 'Blue Crystal Shard' #3307353.
[17:37:22	]Marco Polo ran 'drop' on item 'Blue Crystal Shard' (#3307355)
[17:37:22	]Marco Polo has lost a 'Blue Crystal Shard' #3307355.
[17:37:22	]Marco Polo destroyed a 'Blue Crystal Shard' #3307355.
[17:37:23	]Marco Polo destroyed a 'Blue Crystal Shard' #3307353.
[17:37:31	]Marco Polo ran 'Repair' on item 'Urban Autocrat - Armored' (#3307126)
[17:37:38	]Marco Polo ran 'drop' on item 'M2014-S (FLIR)' (#3307328)
[17:37:38	]Marco Polo has lost a 'M2014-S (FLIR)' #3307328.
[17:38:02	]Marco Polo destroyed a 'M2014-S (FLIR)' #3307328.
[17:38:03	]Marco Polo used command '/ToggleRaise'.
[17:38:08	]Marco Polo used command '/ToggleRaise'.
[17:38:26	]Marco Polo used command '/ToggleRaise'.
[17:38:42	]Marco Polo has spawned a incendiary_grenade.
[17:38:45	]Marco Polo ran 'take' on item 'Incendiary Grenade' (#3307357)
[17:38:45	]Marco Polo has gained a 'Incendiary Grenade' #3307357.
[17:38:47	]Marco Polo ran 'Equip' on item 'Incendiary Grenade' (#3307357)
