[23:43:18	]reece has connected.
[23:46:55	]reece loaded the character 'fwafgawawf'
[23:47:14	]fwafgawawf used command '/ToggleRaise'.
[23:47:16	]fwafgawawf used command '/ToggleRaise'.
[23:47:18	]fwafgawawf entered observer.
[23:47:24	]fwafgawawf exited observer at their location.
[23:47:25	]fwafgawawf entered observer.
[23:47:31	]fwafgawawf exited observer at their location.
[23:47:40	]fwafgawawf entered observer.
[23:47:41	]fwafgawawf exited observer at their location.
[23:47:42	]fwafgawawf entered observer.
[23:47:51	]fwafgawawf opened the 'Large Metal Cabinet' #18 container.
[23:47:53	]fwafgawawf closed the 'Large Metal Cabinet' #18 container.
[23:47:53	]fwafgawawf exited observer at their location.
[23:47:56	]fwafgawawf entered observer.
[23:48:00	]fwafgawawf exited observer at their location.
[23:50:56	]fwafgawawf entered observer.
[23:51:04	]fwafgawawf exited observer at their location.
[23:51:17	]fwafgawawf entered observer.
[23:51:26	]fwafgawawf exited observer at their location.
[23:51:27	]fwafgawawf entered observer.
[23:51:38	]fwafgawawf exited observer at their location.
[23:51:44	]fwafgawawf entered observer.
[23:51:57	]fwafgawawf exited observer at their location.
[23:52:00	]fwafgawawf entered observer.
[23:52:18	]fwafgawawf exited observer at their location.
[23:52:19	]fwafgawawf entered observer.
[23:52:20	]fwafgawawf exited observer at their location.
[23:52:22	]fwafgawawf entered observer.
[23:52:24	]fwafgawawf exited observer at their location.
[23:52:24	]fwafgawawf entered observer.
[23:52:57	]fwafgawawf exited observer at their location.
[23:53:49	]fwafgawawf entered observer.
[23:53:52	]fwafgawawf ran 'take' on item 'Manhack' (#142)
[23:53:52	]fwafgawawf has gained a 'Manhack' #142.
[23:53:52	]fwafgawawf exited observer at their location.
[23:53:54	]fwafgawawf ran 'Deploy' on item 'Manhack' (#142)
[23:54:12	]fwafgawawf entered observer.
[23:54:13	]fwafgawawf exited observer at their location.
[23:54:15	]fwafgawawf used command '/ToggleRaise'.
[23:54:16	]fwafgawawf used command '/ToggleRaise'.
[23:54:17	]fwafgawawf used command '/ToggleRaise'.
[23:54:27	]fwafgawawf ran SAM command 'menu' with arguments: ''
