[00:08:53	]Jody Mayflower is no longer afk. Total time spent AFK: 1390
[00:14:23	]Jody Mayflower has gone afk.
[00:39:28	]Jody Mayflower is no longer afk. Total time spent AFK: 1800
[00:44:58	]Jody Mayflower has gone afk.
[00:50:43	]Jody Mayflower is no longer afk. Total time spent AFK: 640
[00:56:13	]Jody Mayflower has gone afk.
[01:07:03	]Jody Mayflower is no longer afk. Total time spent AFK: 945
[01:07:06	]Charlotte Camilla is no longer afk. Total time spent AFK: 7980
[01:07:17	]Neonity (STEAM_0:1:55099154) has disconnected.
[01:07:22	]Jody Mayflower exited observer at their location.
[01:07:26	]Rabithunter (STEAM_0:1:22394854) has disconnected.
[01:41:41	]Tony The Tiger has connected.
[01:43:52	]Tony The Tiger loaded the character 'C17:CpT.YELLO-95'
[01:43:57	]C17:CpT.YELLO-95 is fully healed.
[01:44:35	]C17:CpT.YELLO-95 used the 'John Doe' vendor.
[01:46:15	]C17:CpT.YELLO-95 ran 'Write' on item 'Paper' (#1659083)
[01:46:17	]C17:CpT.YELLO-95 ran 'Write' on item 'Paper' (#1659083)
[01:46:51	]C17:CpT.YELLO-95 used command '/ToggleRaise'.
[01:47:23	]C17:CpT.YELLO-95 ran 'Write' on item 'THIRTEEN STRIKES!' (#1619004)
[01:47:38	]C17:CpT.YELLO-95 ran 'Equip' on item 'Stunstick' (#1649339)
[01:50:52	]Hiros | Error 410 has connected.
[01:51:09	][IC] C17:CpT.YELLO-95: <:: Dont move. ::>
[01:51:16	][IC] C17:CpT.YELLO-95: <:: Don't let him get away! ::>
[01:51:27	][IC] C17:CpT.YELLO-95: <:: Affirmative. ::>
[01:52:04	][IC] C17:CpT.YELLO-95: <:: Designate suspect as. 404 zone. ::>
[01:52:13	][IC] C17:CpT.YELLO-95: <:: Designate suspect as. Malignant. ::>
[01:52:16	]C17:CpT.YELLO-95 used command '/ToggleRaise'.
[01:52:29	][IC] C17:CpT.YELLO-95: <:: Designate suspect as. Malignant. All units, move in. ::>
[01:52:38	][IC] C17:CpT.YELLO-95: <:: All units, move in! ::>
[01:52:41	][IC] C17:CpT.YELLO-95: <:: Designate suspect as. Malignant. All units, move in! ::>
[01:53:18	][IC] C17:CpT.YELLO-95: <:: Suspend negotiations, officer closing on suspect. ::>
[01:53:32	][IC] C17:CpT.YELLO-95: <:: Designate suspect as. Malignant. All units, move in, all units, deliver terminal verdict! ::>
[01:53:50	][IC] C17:CpT.YELLO-95: <:: Designate suspect as. Malignant. MOVE IN;  all units, deliver terminal verdict! ::>
[01:54:21	][IC] C17:CpT.YELLO-95: <:: Stormsystem. ::>
[01:54:23	]C17:CpT.YELLO-95 used command '/Radio STORM RUNOFF'.
[01:54:35	]C17:CpT.YELLO-95 used command '/Radio STORM RUNOFF; transit; 1'.
[01:54:41	]C17:CpT.YELLO-95 used command '/Radio STORM RUNOFF; transitblock; 1'.
[01:55:18	]Hiros | Error 410 loaded the character 'Hiros'
[01:55:23	]Hiros is fully healed.
[01:55:28	][IC] C17:CpT.YELLO-95: <:: Code seven. ::>
[01:55:30	]Hiros ran SAM command 'menu' with arguments: ''
[01:55:36	]Hiros entered observer.
[01:55:38	]Hiros exited observer at their location.
[01:55:45	][IC] C17:CpT.YELLO-95: <:: Hi!!! ::>
[01:55:50	]Hiros ran SAM command 'menu' with arguments: ''
[01:55:50	][IC] C17:CpT.YELLO-95: <:: Omg its a fish. ::>
[01:55:58	][IC] Hiros: Le fish.
[01:56:00	]Hiros ran SAM command 'menu' with arguments: ''
[01:56:04	][IC] C17:CpT.YELLO-95: <:: Literally. ::>
[01:56:15	]Hiros ran SAM command 'setrankid' with arguments: 'STEAM_0:0:49210697' 'admin'
[01:56:20	][IC] Hiros: Try.
[01:56:24	][IC] Hiros: Perms.
[01:56:31	][IC] C17:CpT.YELLO-95: <:: Doesnt work. ::>
[01:56:36	]C17:CpT.YELLO-95 used command '/PrintStaffList'.
[01:56:38	][IC] Hiros: Try to unload and load char.
[01:56:42	]Tony The Tiger has unloaded their "C17:CpT.YELLO-95" character.
[01:56:51	]Tony The Tiger loaded the character 'C17:CpT.YELLO-95'
[01:56:57	]Hiros ran SAM command 'menu' with arguments: ''
[01:57:00	][IC] C17:CpT.YELLO-95: <:: Nope. ::>
[01:57:08	]Hiros ran SAM command 'setrankid' with arguments: 'STEAM_0:0:49210697' 'premium1'
[01:57:13	][IC] Hiros: Try.
[01:57:20	][IC] C17:CpT.YELLO-95: <:: Nothing yet. ::>
