[02:35:45	]Fractures has connected.
[02:36:27	]Taliazure has connected.
[02:36:35	]Fractures loaded the character 'Crash test dummy'
[02:36:53	]Crash test dummy ran 'drop' on item 'Vortigaunt Fedora' (#1651193)
[02:36:53	]Crash test dummy has lost a 'Vortigaunt Fedora' #1651193.
[02:36:58	]Crash test dummy ran 'Equip' on item 'G3' (#1652222)
[02:37:03	]Crash test dummy ran 'use' on item 'Health Syringe' (#1652293)
[02:37:03	]Crash test dummy has performed the 'Use Health Syringe' action, gaining 40 experience in medicine.
[02:37:03	]Crash test dummy tried to disinfect Crash test dummy but the wound was already clean.
[02:37:03	]Crash test dummy was bandaged by Crash test dummy for 32 HP.
[02:37:13	]Crash test dummy used command '/ToggleRaise'.
[02:37:16	]Crash test dummy used command '/ToggleRaise'.
[02:37:33	]Crash test dummy used the 'John Doe' vendor.
[02:37:36	]Crash test dummy has gained 0 chips.
[02:37:36	]Crash test dummy has gained a 'Rifle Bullets' #1655616.
[02:37:36	]Crash test dummy has gained 0 chips.
[02:37:36	]Crash test dummy has gained a 'Rifle Bullets' #1655617.
[02:37:37	]Crash test dummy has gained 0 chips.
[02:37:37	]Crash test dummy has gained a 'Rifle Bullets' #1655618.
[02:37:39	]Crash test dummy ran 'combine' on item '20rnd DMR-magazine' (#1652267)
[02:37:39	]Crash test dummy ran 'combine' on item '20rnd DMR-magazine' (#1652268)
[02:37:40	]Crash test dummy ran 'combine' on item '20rnd DMR-magazine' (#1652266)
[02:37:41	]Crash test dummy ran 'combine' on item '20rnd DMR-magazine' (#1652269)
[02:37:42	]Crash test dummy used the 'John Doe' vendor.
[02:37:58	]Crash test dummy ran 'drop' on item 'G3' (#1652222)
[02:37:58	]Crash test dummy has lost a 'G3' #1652222.
[02:37:59	]Crash test dummy ran 'drop' on item 'Repair Plating' (#1652292)
[02:37:59	]Crash test dummy has lost a 'Repair Plating' #1652292.
[02:37:59	]Crash test dummy ran 'drop' on item '20rnd DMR-magazine' (#1652267)
[02:37:59	]Crash test dummy has lost a '20rnd DMR-magazine' #1652267.
[02:38:00	]Crash test dummy ran 'drop' on item 'Flashlight' (#1652205)
[02:38:00	]Crash test dummy has lost a 'Flashlight' #1652205.
[02:38:00	]Crash test dummy ran 'drop' on item 'Combine PDA' (#1652279)
[02:38:00	]Crash test dummy has lost a 'Combine PDA' #1652279.
[02:38:05	]Crash test dummy ran 'use' on item 'Dark Pills' (#1652310)
[02:38:05	]Crash test dummy has gained a level 7 short boost in Strength.
[02:38:05	]Crash test dummy has gained a level 7 short boost in Agility.
[02:38:05	]Crash test dummy has gained a level 7 short boost in Intelligence.
[02:38:05	]Crash test dummy has gained a level 7 short boost in Perception.
[02:38:06	]Crash test dummy used the 'John Doe' vendor.
[02:38:11	]Taliazure loaded the character 'S10/WALLHAMMER.ICE-20'
[02:38:12	]Crash test dummy has gained 0 chips.
[02:38:12	]Crash test dummy has gained a 'OSPR2A-EXP' #1655619.
[02:38:16	]Crash test dummy ran 'Equip' on item 'OSPR2A-EXP' (#1655619)
[02:38:20	]Crash test dummy used command '/ToggleRaise'.
[02:38:23	]Crash test dummy used the 'John Doe' vendor.
[02:38:37	]Crash test dummy has gained 0 chips.
[02:38:37	]Crash test dummy has gained a '30rnd Pulse-magazine' #1655620.
[02:38:41	]Crash test dummy has gained 0 chips.
[02:38:41	]Crash test dummy has gained a 'Pulse Rifle Bullets' #1655621.
[02:38:43	]Crash test dummy ran 'combine' on item '30rnd Pulse-magazine' (#1655620)
[02:38:45	]S10/WALLHAMMER.ICE-20 ran 'Equip' on item 'OSITR' (#1652321)
[02:38:47	]S10/WALLHAMMER.ICE-20 has lost a '60rnd OTAR-magazine' #1652322.
[02:38:50	]Crash test dummy ran 'drop' on item '30rnd Pulse-magazine' (#1655620)
[02:38:50	]Crash test dummy has lost a '30rnd Pulse-magazine' #1655620.
[02:38:51	]Crash test dummy used the 'John Doe' vendor.
[02:38:53	]S10/WALLHAMMER.ICE-20 used command '/ToggleRaise'.
[02:38:55	]Crash test dummy has gained 0 chips.
[02:38:55	]Crash test dummy has gained a 'Pulse Rifle Bullets' #1655622.
[02:38:56	]Crash test dummy has gained 0 chips.
[02:38:56	]Crash test dummy has gained a '24rnd Heavy-Pulse Magazine' #1655623.
[02:38:57	]S10/WALLHAMMER.ICE-20 used command '/ToggleRaise'.
[02:39:01	]Crash test dummy used the 'John Doe' vendor.
[02:39:04	]S10/WALLHAMMER.ICE-20 ran SAM command 'asay' with arguments: 'need a Tp'
[02:39:05	]Crash test dummy has gained 0 chips.
