[21:47:01	]Rabithunter has connected.
[21:48:14	]Rabithunter loaded the character 'Pathfinder'
[21:48:19	]Pathfinder is fully healed.
[21:48:36	]Pathfinder entered observer.
[21:48:48	]Pathfinder exited observer at their location.
[21:49:18	]Pathfinder set walkSpeed to '100'.
[21:49:38	]Pathfinder has used a context menu option with the name: rb655_dissolve
[21:49:39	]Sync has connected.
[21:51:02	]Pathfinder entered observer.
[21:51:22	]Sync loaded the character 'Finn Fuchs'
[21:51:27	]Finn Fuchs is fully healed.
[21:51:30	]Pathfinder exited observer at their location.
[21:51:55	]Finn Fuchs used command '/ToggleRaise'.
[21:52:02	][FF:1671465999] Finn Fuchs set as active participant.
[21:52:02	][FF:1671465999] Pathfinder set as active participant.
[21:52:02	][FF] Firefight started between Finn Fuchs and Pathfinder. ID: 1671465999
[21:52:02	]Pathfinder has taken 5 damage from Finn Fuchs.
[21:52:12	][FF:1671465999] Round 1 begins.
[21:52:12	][FF:1671465999] Turn for 'Finn Fuchs' started.
[21:52:18	][FF:1671465999] Turn for 'Finn Fuchs' ended as it timed out.
[21:52:18	][FF:1671465999] Turn for 'Pathfinder' started.
[21:52:22	][FF:1671465999] Turn for 'Pathfinder' ended as player skipped the remainder of his turn.
[21:52:22	][FF:1671465999] Too many people skipped their turn, ending the fight.
[21:52:22	][FF:1671465999] Fight has ended, clearing participants and waitlist.
[21:52:31	]Finn Fuchs ran 'take' on item 'Candyfloss' (#1648133)
[21:52:31	]Finn Fuchs has gained a 'Candyfloss' #1648133.
[21:52:41	]Finn Fuchs ran 'drop' on item 'Candyfloss' (#1648133)
[21:52:41	]Finn Fuchs has lost a 'Candyfloss' #1648133.
[21:53:18	]Finn Fuchs ran 'Equip' on item 'Bastard Submachine Gun' (#905126)
[21:53:25	]Finn Fuchs ran 'EquipUn' on item 'Bastard Submachine Gun' (#905126)
[21:53:35	]Sync loaded the character 'Finn Bowie'
[21:53:40	]Finn Bowie is fully healed.
[21:54:26	]Pathfinder entered observer.
[21:54:32	]Pathfinder exited observer at their location.
[21:54:37	]Pathfinder entered observer.
[21:54:38	]Pathfinder exited observer at their location.
[21:55:09	]Sync loaded the character 'C24:AUX.78377'
[21:55:14	]C24:AUX.78377 is fully healed.
[21:55:41	]Pathfinder used command '/PlyWhitelist path overwatch'.
[21:55:56	]Rabithunter (STEAM_0:1:22394854) deleted character 'Jade Rebel'
[21:56:05	]Rabithunter (STEAM_0:1:22394854) deleted character 'Overwatch'
[21:56:15	]Rabithunter (STEAM_0:1:22394854) deleted character 'Monika Némethová'
[21:56:17	]Rabithunter (STEAM_0:1:22394854) deleted character 'Kira Petrova'
[21:56:41	]Pathfinder entered observer.
[21:56:42	]Pathfinder exited observer at their location.
[21:56:43	]Pathfinder entered observer.
[21:56:44	]Pathfinder exited observer at their location.
[21:56:49	]Pathfinder ran SAM command 'bring' with arguments: 'aux'
[21:57:06	]Pathfinder was just knocked out due to: hit by stunstick owned by C24:AUX.78377
[21:57:07	]Pathfinder has gained a '30rnd M4-magazine' #1589922.
[21:57:24	]Pathfinder used command '/ForceCharFallover aux'.
[21:57:25	]C24:AUX.78377 used command '/CharGetUp'.
[21:57:26	]C24:AUX.78377 used command '/CharGetUp'.
[21:57:28	]C24:AUX.78377 used command '/CharGetUp'.
[21:57:29	]C24:AUX.78377 used command '/CharGetUp'.
[21:57:29	]Pathfinder used command '/CharGetUp'.
[21:57:29	]C24:AUX.78377 used command '/CharGetUp'.
[21:57:38	]C24:AUX.78377 has spawned 'models/props_c17/lampShade001a.mdl'.
[21:57:49	]C24:AUX.78377 ran 'take' on item 'Lavender Galore' (#1648132)
[21:57:49	]C24:AUX.78377 has gained a 'Lavender Galore' #1648132.
[21:57:58	]C24:AUX.78377 ran 'drop' on item 'Lavender Galore' (#1648132)
[21:57:58	]C24:AUX.78377 has lost a 'Lavender Galore' #1648132.
