[10:30:34	]thc has connected.
[10:30:47	]thc (STEAM_0:1:709534478) deleted character 'ssssssssssssssssss'
[10:31:04	]thc created the character 'aaaaaaa'
[10:31:04	]thc loaded the character 'aaaaaaa'
[10:31:32	]aaaaaaa used command '/LinkAccount thc'.
[10:31:36	][IC] aaaaaaa: Sss.
[10:32:05	]aaaaaaa used command '/LinkAccount https://willard.network/forums/members/thc.3986/'.
[10:32:20	]aaaaaaa has taken 46 damage from worldspawn.
[10:32:23	]aaaaaaa used command '/CharFallOver'.
[10:32:27	]thc (STEAM_0:1:709534478) has disconnected.
[21:33:05	]Merlinsclaw has connected.
[21:33:41	]Merlinsclaw loaded the character 'Merlinsclaw'
[21:33:44	]Merlinsclaw entered observer.
[21:33:46	]Merlinsclaw is fully healed.
[21:33:52	]Merlinsclaw ran SAM command 'menu' with arguments: ''
[21:34:06	]Merlinsclaw ran SAM command 'map' with arguments: 'rp_ineu_valley2_winter' ''
[21:35:55	]Merlinsclaw has connected.
[21:36:17	]Merlinsclaw loaded the character 'Merlinsclaw'
[21:36:22	]Merlinsclaw is fully healed.
[21:36:22	]Merlinsclaw entered observer.
[21:36:24	]Merlinsclaw exited observer at their location.
[21:36:25	]Merlinsclaw entered observer.
[21:36:33	]Merlinsclaw exited observer at their location.
[21:36:34	]Merlinsclaw entered observer.
[21:36:34	]Merlinsclaw exited observer at their location.
[21:36:36	]Merlinsclaw entered observer.
[21:36:37	]Merlinsclaw exited observer at their location.
[21:36:38	]Merlinsclaw entered observer.
[21:36:39	]Merlinsclaw exited observer at their location.
[21:36:41	]Merlinsclaw entered observer.
[21:36:41	]Merlinsclaw exited observer at their location.
[21:36:43	]Merlinsclaw entered observer.
[21:36:43	]Merlinsclaw exited observer at their location.
[21:36:46	]Merlinsclaw entered observer.
[21:36:57	]Merlinsclaw has fired a toolgun with the name: remover
[21:37:01	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:01	]Merlinsclaw has disabled persistence for 'models/vj_blackmesa/houndeye.mdl'.
[21:37:02	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:03	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:04	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:04	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:05	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:05	]Merlinsclaw has disabled persistence for 'models/vj_blackmesa/houndeye.mdl'.
[21:37:09	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:10	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:10	]Merlinsclaw has disabled persistence for 'models/vj_blackmesa/houndeye.mdl'.
[21:37:10	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:12	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:12	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:13	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:14	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:15	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:16	]Merlinsclaw exited observer at their location.
[21:37:18	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:18	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:19	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:20	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:20	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:20	]Merlinsclaw has disabled persistence for 'models/vj_blackmesa/houndeye.mdl'.
[21:37:21	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:21	]Merlinsclaw has enabled persistence for 'models/vj_blackmesa/houndeye.mdl'.
[21:37:21	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:23	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:24	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:24	]Merlinsclaw has disabled persistence for 'models/vj_blackmesa/houndeye.mdl'.
[21:37:24	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:24	]Merlinsclaw has enabled persistence for 'models/vj_blackmesa/houndeye.mdl'.
[21:37:26	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:26	]Merlinsclaw has disabled persistence for 'models/vj_blackmesa/houndeye.mdl'.
[21:37:29	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:30	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:31	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:32	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:32	]Merlinsclaw has disabled persistence for 'models/vj_blackmesa/houndeye.mdl'.
[21:37:33	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:33	]Merlinsclaw has enabled persistence for 'models/vj_blackmesa/houndeye.mdl'.
[21:37:33	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:37:33	]Merlinsclaw has disabled persistence for 'models/vj_blackmesa/houndeye.mdl'.
[21:37:34	]Merlinsclaw entered observer.
[21:37:38	]Merlinsclaw exited observer at their location.
[21:37:39	]Merlinsclaw entered observer.
[21:37:50	]Merlinsclaw exited observer at their location.
[21:37:51	]Merlinsclaw entered observer.
[21:37:51	]Merlinsclaw exited observer at their location.
[21:37:52	]Merlinsclaw entered observer.
[21:37:53	]Merlinsclaw exited observer at their location.
[21:37:54	]Merlinsclaw entered observer.
[21:37:57	]Merlinsclaw exited observer at their location.
[21:37:57	]Merlinsclaw entered observer.
[21:38:02	]Merlinsclaw exited observer at their location.
[21:38:02	]Merlinsclaw entered observer.
[21:38:07	]Merlinsclaw exited observer at their location.
[21:38:07	]Merlinsclaw entered observer.
[21:38:08	]Merlinsclaw exited observer at their location.
[21:38:09	]Merlinsclaw entered observer.
[21:38:09	]Merlinsclaw exited observer at their location.
[21:38:11	]Merlinsclaw entered observer.
[21:38:12	]Merlinsclaw exited observer at their location.
[21:38:14	]Merlinsclaw entered observer.
[21:38:15	]Merlinsclaw exited observer at their location.
[21:38:17	]Merlinsclaw entered observer.
[21:38:17	]Merlinsclaw exited observer at their location.
[21:38:20	]Merlinsclaw entered observer.
[21:38:20	]Merlinsclaw exited observer at their location.
[21:38:22	]Merlinsclaw entered observer.
[21:38:22	]Merlinsclaw exited observer at their location.
[21:38:22	]Merlinsclaw entered observer.
[21:38:23	]Merlinsclaw exited observer at their location.
[21:38:25	]Merlinsclaw entered observer.
[21:38:25	]Merlinsclaw exited observer at their location.
[21:38:26	]Merlinsclaw entered observer.
[21:38:27	]Merlinsclaw exited observer at their location.
[21:38:27	]Merlinsclaw entered observer.
[21:38:27	]Merlinsclaw exited observer at their location.
[21:38:29	]Merlinsclaw entered observer.
[21:38:36	]Merlinsclaw has spawned 'models/tsbb/pump_jack.mdl'.
[21:38:38	]Merlinsclaw has spawned 'models/tsbb/gas_pump.mdl'.
[21:38:48	]Merlinsclaw exited observer at their location.
[21:38:50	]Merlinsclaw entered observer.
[21:38:56	]Merlinsclaw exited observer at their location.
[21:38:56	]Merlinsclaw entered observer.
[21:38:57	]Merlinsclaw exited observer at their location.
[21:39:26	]Merlinsclaw entered observer.
[21:39:37	]Merlinsclaw has fired a toolgun with the name: sh_paneladd
[21:39:37	]Merlinsclaw exited observer at their location.
[21:39:41	]Merlinsclaw entered observer.
[21:39:45	]Merlinsclaw has fired a toolgun with the name: sh_paneladd
[21:39:46	]Merlinsclaw exited observer at their location.
[21:39:56	]Merlinsclaw entered observer.
[21:40:49	]Merlinsclaw exited observer at their location.
[21:40:59	]Merlinsclaw has spawned 'models/props_junk/ravenholmsign.mdl'.
[21:41:02	]Merlinsclaw entered observer.
[21:41:03	]Merlinsclaw exited observer at their location.
[21:41:04	]Merlinsclaw entered observer.
[21:41:04	]Merlinsclaw exited observer at their location.
[21:41:06	]Merlinsclaw entered observer.
[21:41:06	]Merlinsclaw exited observer at their location.
[21:41:09	]Merlinsclaw entered observer.
[21:41:09	]Merlinsclaw exited observer at their location.
[21:41:10	]Merlinsclaw entered observer.
[21:41:10	]Merlinsclaw exited observer at their location.
[21:41:11	]Merlinsclaw entered observer.
[21:41:11	]Merlinsclaw exited observer at their location.
[21:41:12	]Merlinsclaw entered observer.
[21:41:14	]Merlinsclaw exited observer at their location.
[21:41:18	]Merlinsclaw has spawned 'models/props_docks/channelmarker_gib01.mdl'.
[21:41:26	]Merlinsclaw has spawned 'models/props_junk/ravenholmsign.mdl'.
[21:41:30	]Merlinsclaw has fired a toolgun with the name: nocollideworld
[21:41:34	]Merlinsclaw has fired a toolgun with the name: nocollideworld
[21:41:55	]Merlinsclaw has fired a toolgun with the name: nocollideworld
[21:42:02	]Merlinsclaw has spawned 'models/props_docks/channelmarker_gib01.mdl'.
[21:42:05	]Merlinsclaw has fired a toolgun with the name: nocollideworld
[21:42:17	]Merlinsclaw has fired a toolgun with the name: material
[21:42:19	]Merlinsclaw has fired a toolgun with the name: material
[21:42:35	]Merlinsclaw has fired a toolgun with the name: sh_paneladd
[21:42:48	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:42:48	]Merlinsclaw has enabled persistence for 'models/props_docks/channelmarker_gib01.mdl'.
[21:42:49	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:42:49	]Merlinsclaw has enabled persistence for 'models/props_junk/ravenholmsign.mdl'.
[21:42:49	]Merlinsclaw has fired a toolgun with the name: sh_persist
[21:42:49	]Merlinsclaw has enabled persistence for 'models/props_docks/channelmarker_gib01.mdl'.
[21:42:54	]Merlinsclaw entered observer.
[21:42:56	]Merlinsclaw exited observer at their location.
[21:43:29	]Merlinsclaw has fired a toolgun with the name: sh_paneladd
[21:43:30	]Merlinsclaw entered observer.
[21:43:38	]Merlinsclaw exited observer at their location.
[21:43:39	]Merlinsclaw entered observer.
[21:43:40	]Merlinsclaw exited observer at their location.
[21:43:41	]Merlinsclaw entered observer.
[21:43:41	]Merlinsclaw exited observer at their location.
[21:43:43	]Merlinsclaw entered observer.
[21:44:35	]Merlinsclaw exited observer at their location.
[21:44:35	]Merlinsclaw entered observer.
[21:44:41	]Merlinsclaw exited observer at their location.
[21:44:41	]Merlinsclaw entered observer.
[21:45:04	]Merlinsclaw used command '/Content'.
[21:45:09	]Merlinsclaw exited observer at their location.
[21:45:11	]Merlinsclaw entered observer.
[21:45:47	]Merlinsclaw has spawned 'models/props_fortifications/anzio_sandbags_destroyed.mdl'.
[21:46:06	]Merlinsclaw has spawned 'models/props_trenches/r_trenchwall1.mdl'.
[21:46:16	]Merlinsclaw has spawned 'models/props_trenches/r_trenchplanks1.mdl'.
[21:46:37	]Merlinsclaw has spawned 'models/props/railing1.mdl'.
[21:46:40	]Merlinsclaw has spawned 'models/props/railing1.mdl'.
[21:46:41	]Merlinsclaw has fired a toolgun with the name: sh_paneladd
[21:46:44	]Imperator RAD-X has connected.
[21:46:51	]Merlinsclaw exited observer at their location.
[21:46:52	]Merlinsclaw entered observer.
[21:46:58	]Merlinsclaw exited observer at their location.
[21:46:59	]Merlinsclaw has spawned 'models/props/railing4.mdl'.
[21:47:02	]Merlinsclaw has spawned 'models/props/wood_cap1.mdl'.
[21:47:09	]Merlinsclaw entered observer.
[21:48:50	]Merlinsclaw has spawned 'models/props/wood_cap1.mdl'.
[21:48:56	]Merlinsclaw exited observer at their location.
[21:49:03	]ZeroPants has connected.
[21:49:03	]Merlinsclaw has fired a toolgun with the name: nocollideworld
[21:49:13	]Merlinsclaw has fired a toolgun with the name: precision
[21:49:17	]Merlinsclaw has fired a toolgun with the name: precision
[21:49:22	]Merlinsclaw has fired a toolgun with the name: precision
[21:49:34	]Merlinsclaw has fired a toolgun with the name: precision
[21:49:37	]Merlinsclaw has fired a toolgun with the name: precision
[21:49:38	]Merlinsclaw has fired a toolgun with the name: precision
[21:49:50	]ZeroPants loaded the character 'Jon Hoodfella'
[21:49:55	]Jon Hoodfella is fully healed.
[21:49:58	]Jon Hoodfella entered observer.
[21:50:17	]Merlinsclaw has fired a toolgun with the name: precision
[21:50:26	]Merlinsclaw has fired a toolgun with the name: precision
[21:50:26	]Merlinsclaw has fired a toolgun with the name: precision
[21:50:31	]Merlinsclaw has fired a toolgun with the name: precision
[21:50:40	]Merlinsclaw has fired a toolgun with the name: precision
[21:50:40	]Merlinsclaw has fired a toolgun with the name: precision
[21:50:46	]Merlinsclaw has fired a toolgun with the name: precision
[21:50:50	]Merlinsclaw has fired a toolgun with the name: precision
[21:50:50	]Merlinsclaw has fired a toolgun with the name: precision
[21:50:52	]Merlinsclaw entered observer.
[21:50:52	]Merlinsclaw exited observer at their location.
[21:51:02	]Imperator RAD-X loaded the character 'Michael Brians'
[21:51:07	]Michael Brians is fully healed.
[21:51:20	]Michael Brians entered observer.
[21:51:38	]Merlinsclaw has fired a toolgun with the name: sh_paneladd
[21:52:25	]Michael Brians has used a context menu option with the name: skin
[21:52:29	]Michael Brians has used a context menu option with the name: skin
[21:52:43	]Merlinsclaw entered observer.
[21:52:48	]Merlinsclaw exited observer at their location.
[21:52:57	]Merlinsclaw has fired a toolgun with the name: sh_paneladd
[21:53:01	]Michael Brians ran 'Write' on item 'Missing Watch...' (#44)
[21:53:04	]Michael Brians ran 'Write' on item 'Missing Watch...' (#44)
[21:53:08	]Michael Brians ran 'Write' on item 'Houndeyes' (#40)
[21:53:11	]Michael Brians ran 'Write' on item 'Don't trust your Overseer!!' (#41)
[21:53:19	]Merlinsclaw has fired a toolgun with the name: sh_paneladd
[21:53:32	]Michael Brians ran 'Write' on item 'Directions to the stash' (#118)
[21:53:39	]Michael Brians exited observer at their location.
[21:53:44	]Michael Brians entered observer.
[21:53:49	]Michael Brians ran 'Write' on item ':: FROM FMR. OVERSEER SMITH ::' (#43)
[21:53:53	]Michael Brians ran 'Write' on item ':: ATTENTION! ::' (#42)
[21:55:12	]Merlinsclaw has fired a toolgun with the name: sh_paneladd
[21:55:13	]Michael Brians has spawned 'models/props_trainstation/trainstation_arch001.mdl'.
[21:55:17	]Merlinsclaw entered observer.
[21:55:27	]Michael Brians has spawned 'models/props_c17/fence03a.mdl'.
[21:55:31	]Michael Brians has spawned 'models/props_c17/fence01a.mdl'.
[21:55:38	]Michael Brians has fired a toolgun with the name: nocollideworld
[21:55:51	]Michael Brians has spawned 'models/props_c17/fence02a.mdl'.
[21:56:03	]Michael Brians has spawned 'models/props_c17/fence04a.mdl'.
[21:56:04	]Michael Brians has spawned 'models/props_c17/fence03a.mdl'.
[21:56:52	]Michael Brians has spawned 'models/props_trainstation/trainstation_arch001.mdl'.
[21:56:54	]Michael Brians exited observer at their location.
[21:57:00	]Michael Brians entered observer.
[21:57:41	]Jon Hoodfella exited observer at their location.
[21:57:43	]Jon Hoodfella entered observer.
[21:58:12	]Michael Brians exited observer at their location.
[21:58:23	]Merlinsclaw exited observer at their location.
[21:58:24	]Michael Brians has spawned 'models/props_wasteland/laundry_cart001.mdl'.
[21:58:24	]Merlinsclaw entered observer.
[21:58:26	]Michael Brians has spawned 'models/props_wasteland/laundry_cart001.mdl'.
[21:58:35	]Jon Hoodfella exited observer at their location.
[21:58:36	]Michael Brians has spawned 'models/props_wasteland/controlroom_desk001b.mdl'.
[21:58:41	]Jon Hoodfella entered observer.
[21:58:45	]Jon Hoodfella exited observer at their location.
[21:58:46	]Michael Brians entered observer.
[21:58:48	]Jon Hoodfella entered observer.
[21:58:50	]Michael Brians exited observer at their location.
[21:58:53	]Michael Brians entered observer.
[21:59:02	]Merlinsclaw exited observer at their location.
[21:59:02	]Merlinsclaw entered observer.
[21:59:04	]Merlinsclaw exited observer at their location.
[21:59:04	]Merlinsclaw has spawned 'models/props/floor1.mdl'.
[21:59:08	]Michael Brians exited observer at their location.
[21:59:09	]Merlinsclaw has spawned 'models/props/floor2.mdl'.
[21:59:12	]Michael Brians has spawned 'models/props_c17/fence03a.mdl'.
[21:59:15	]Michael Brians has spawned 'models/props_c17/fence03a.mdl'.
[21:59:16	]Merlinsclaw has fired a toolgun with the name: nocollideworld
[21:59:27	]Michael Brians entered observer.
[21:59:27	]Merlinsclaw has spawned 'models/props/fence5.mdl'.
[21:59:29	]Merlinsclaw was knocked unconscious and is bleeding out.
[21:59:37	]Michael Brians ran SAM command 'respawn' with arguments: 'merlin'
[21:59:39	][OOC] Michael Brians: !respawn
[21:59:40	]Michael Brians exited observer at their location.
[21:59:42	]Merlinsclaw is fully healed.
[21:59:45	]Merlinsclaw has used a context menu option with the name: remove
[21:59:45	]Merlinsclaw entered observer.
[21:59:48	]Merlinsclaw exited observer at their location.
[21:59:49	]Michael Brians has spawned 'models/props_c17/fence02a.mdl'.
[21:59:52	]Michael Brians has spawned 'models/props_c17/fence01a.mdl'.
[21:59:57	]Michael Brians has spawned 'models/props_c17/fence01a.mdl'.
[22:00:03	]Michael Brians has fired a toolgun with the name: nocollideworld
[22:00:08	]Merlinsclaw entered observer.
[22:00:12	]Merlinsclaw exited observer at their location.
[22:00:17	]Michael Brians has spawned 'models/props_building_details/Storefront_Template001a_Bars.mdl'.
[22:00:19	]Merlinsclaw has spawned 'models\props/CS_militia/footlocker01_closed.mdl'.
[22:00:22	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:00:22	]Merlinsclaw has disabled persistence for 'models/props_forest/bunkbed2.mdl'.
[22:00:23	]Merlinsclaw has fired a toolgun with the name: sh_persist
