[05:19:58	]Divine has connected.
[05:26:51	]Divine loaded the character 'C8/Disp:AI-37'
[05:26:56	]C8/Disp:AI-37 is fully healed.
[05:27:43	][IC] C8/Disp:AI-37: Subject 5 1 6 3 8 attention; you have been charged with 6 6 violation of civic trust.
[05:28:14	][IC] C8/Disp:AI-37: Subject 5 1 6 3 8 attention; you have been charged with 4 0 4 b;  promoting communal unrest.
[05:28:31	][IC] C8/Disp:AI-37: Divisive sociocidal counter-obeyance.
[05:28:43	][IC] C8/Disp:AI-37: Failure to comply with the civil will.
[05:29:23	][IC] C8/Disp:AI-37: Destruction of corporal social-protection units.
[05:29:30	][IC] C8/Disp:AI-37: Four-hundred and four zone.
[05:30:09	]C8/Disp:AI-37 used command '/VisorStatus jw'.
[05:30:20	][IC] C8/Disp:AI-37: Attention, all ground-protection teams, judgment waiver now in effect. Capital prosecution is discretionary.
[05:30:25	][IC] C8/Disp:AI-37: Mrrrrrrrp.
[05:30:39	]C8/Disp:AI-37 used command '/ListColors'.
[05:30:59	]C8/Disp:AI-37 used command '/VisorStatus MEDIUMSPRINGGREEN Erm...'.
[05:31:50	]C8/Disp:AI-37 used command '/VisorStatus pink PINK IN PROGRESS'.
[05:32:15	]C8/Disp:AI-37 used command '/VisorStatus black'.
[05:32:27	]C8/Disp:AI-37 used command '/VisorStatus white AUTONOMOUS MINGERY'.
[05:32:34	]C8/Disp:AI-37 used command '/VisorStatus white AUTONOMOUS JUDGMENT'.
[05:33:03	]C8/Disp:AI-37 used command '/VisorStatus blue MROW MRRRP MGGAOW IN PROGRESS'.
[05:33:39	]Divine loaded the character 'doctor evil (evil)'
[05:34:42	]Divine loaded the character 'C8/Disp:AI-37'
[05:34:50	]C8/Disp:AI-37 used command '/VisorStatus jw'.
[05:34:55	]Divine loaded the character 'doctor evil (evil)'
[05:35:12	]doctor evil (evil) has taken 34 damage from worldspawn.
[05:35:22	]Divine has unloaded their "doctor evil (evil)" character.
[05:35:27	]Divine loaded the character 'doctor evil (evil)'
[05:36:32	]Divine (STEAM_0:0:63629212) has disconnected.
[14:48:16	]apathy is death has connected.
[14:48:55	]apathy is death loaded the character 'Joseph Star'
[14:49:26	]Joseph Star has given himself a gen_1014.
[14:49:26	]Joseph Star has gained a 'M1014' #3307213.
[14:49:27	]Joseph Star ran 'Equip' on item 'M1014' (#3307213)
[14:49:43	]Joseph Star set forceUseMagazineSystem to '[false]'.
[14:51:13	]Joseph Star ran 'drop' on item 'M1014' (#3307213)
[14:51:13	]Joseph Star has lost a 'M1014' #3307213.
[14:51:15	]Joseph Star has used a context menu option with the name: remove
[14:51:20	]Joseph Star has given himself a jnk_ak.
[14:51:20	]Joseph Star has gained a 'Makeshift AK' #3307214.
[14:51:21	]Joseph Star ran 'Equip' on item 'Makeshift AK' (#3307214)
[14:51:39	]Joseph Star has spawned a 'NPC [443][npc_metropolice]'.
[14:51:39	]Joseph Star has spawned a 'NPC [446][npc_metropolice]'.
[14:51:40	]Joseph Star has critically hit npc_metropolice in the chest dealing 14 damage (CritChance was 0.21).
[14:51:40	]Joseph Star has taken 0 damage from npc_metropolice.
[14:51:41	]Joseph Star has hit npc_metropolice in the left leg dealing 9 damage (CritChance was 0.21).
[14:51:41	]Joseph Star has taken 0 damage from npc_metropolice.
[14:51:43	]Joseph Star has taken 3 damage from npc_metropolice.
[14:51:43	]Joseph Star has taken 0 damage from npc_metropolice.
[14:51:43	]Joseph Star has taken 3 damage from npc_metropolice.
[14:51:44	]Joseph Star has taken 0 damage from npc_metropolice.
[14:51:44	]Joseph Star has taken 0 damage from npc_metropolice.
[14:51:45	]Joseph Star has taken 3 damage from npc_metropolice.
[14:51:45	]Joseph Star has taken 6 damage from npc_metropolice.
[14:51:45	]Joseph Star has taken 0 damage from npc_metropolice.
[14:51:45	]Joseph Star has taken 3 damage from npc_metropolice.
[14:51:45	]Joseph Star has taken 6 damage from npc_metropolice.
[14:51:46	]Joseph Star has taken 0 damage from npc_metropolice.
[14:51:55	]Joseph Star has spawned a 'NPC [443][npc_zombie]'.
[14:51:55	]Joseph Star has spawned a 'NPC [445][npc_zombie]'.
[14:51:56	]Joseph Star has spawned a 'NPC [444][npc_zombie]'.
[14:51:57	]Joseph Star has spawned a 'NPC [446][npc_zombie]'.
[14:51:58	]Joseph Star has hit npc_zombie in the chest dealing 13 damage (CritChance was 0.21).
[14:52:00	]Joseph Star has hit npc_zombie in the left leg dealing 9 damage (CritChance was 0.21).
[14:52:00	]Joseph Star has hit npc_zombie in the left leg dealing 9 damage (CritChance was 0.21).
[14:52:00	]Joseph Star has hit npc_zombie in the chest dealing 13 damage (CritChance was 0.21).
[14:52:00	]Joseph Star has hit npc_zombie in the head dealing 13 damage (CritChance was 0.07).
[14:52:00	]Joseph Star has hit npc_zombie in the head dealing 13 damage (CritChance was 0.07).
