[02:08:59	]Nesh has connected.
[02:09:55	]Nesh loaded the character 'Randy Cole'
[02:10:34	]Randy Cole ran 'combine' on item '20rnd DMR-magazine' (#1657572)
[02:10:35	]Randy Cole ran 'combine' on item '20rnd DMR-magazine' (#1657570)
[02:10:36	]Randy Cole ran 'combine' on item '20rnd DMR-magazine' (#1657573)
[02:10:49	]Randy Cole ran 'Repair' on item 'RL Heavy Kevlar' (#1656613)
[02:11:10	]Randy Cole has changed Randy Cole's bodygroups.
[02:11:50	]Randy Cole used command '/PrintStaffList'.
[02:12:08	][IC] Randy Cole: <:: 10-0, 10-0; viscerator is hunting!. ::>
[02:12:36	][IC] Randy Cole: <:: All units; sacrifice code one and maintain this CP. ::>
[02:12:52	][Y] Randy Cole: <:: All units; sacrifice code one and maintain this CP. ::>
[02:12:59	]Randy Cole ran 'take' on item 'Repair Plating' (#1644362)
[02:12:59	]Randy Cole has gained a 'Repair Plating' #1644362.
[02:13:01	]Randy Cole used the 'John Doe' vendor.
[02:13:05	]Randy Cole has gained 0 chips.
[02:13:05	]Randy Cole has gained a 'First Aid Kit' #1657645.
[02:13:10	]Randy Cole ran 'use' on item 'First Aid Kit' (#1657645)
[02:13:10	]Randy Cole has performed the 'Use First Aid Kit' action, gaining 85 experience in medicine.
[02:13:10	]Randy Cole was disinfected by Randy Cole for 135 seconds.
[02:13:10	]Randy Cole was bandaged by Randy Cole for 57 HP.
[02:13:11	]Randy Cole used the 'John Doe' vendor.
[02:13:14	]Randy Cole has gained 0 chips.
[02:13:15	]Randy Cole has gained a 'Disinfected Bandage Roll' #1657646.
[02:13:16	]Randy Cole has gained 0 chips.
[02:13:16	]Randy Cole has gained a 'Adrenaline' #1657647.
[02:13:20	]Randy Cole ran 'use' on item 'Adrenaline' (#1657647)
[02:13:20	]Randy Cole has performed the 'Use Adrenaline' action, gaining 33 experience in medicine.
[02:13:20	]Randy Cole has gained a level 4 short boost in Agility.
[02:13:21	]Randy Cole ran 'use' on item 'Disinfected Bandage Roll' (#1657646)
[02:13:21	]Randy Cole has performed the 'Use Disinfected Bandage Roll' action, gaining 2 experience in medicine.
[02:13:21	]Randy Cole tried to disinfect Randy Cole but the wound was already clean.
[02:13:21	]Randy Cole was bandaged by Randy Cole for 17 HP.
[02:13:34	]Randy Cole has gained a '20rnd DMR-magazine' #1657571.
[02:13:34	]Randy Cole has lost a '20rnd DMR-magazine' #1657573.
[02:13:41	]Randy Cole has gained a '20rnd DMR-magazine' #1657573.
[02:13:41	]Randy Cole has lost a '20rnd DMR-magazine' #1657572.
[02:13:45	]Randy Cole ran 'combine' on item '20rnd DMR-magazine' (#1657573)
[02:13:55	]Randy Cole ran 'take' on item 'Assault Rifle Bullets' (#1656485)
[02:13:55	]Randy Cole has gained a 'Assault Rifle Bullets' #1656485.
[02:13:58	]Randy Cole ran 'drop' on item 'Assault Rifle Bullets' (#1656485)
[02:13:58	]Randy Cole has lost a 'Assault Rifle Bullets' #1656485.
[02:15:04	][IC] Randy Cole: <:: All units; sacrifice code one and maintain this CP. ::>
[02:15:23	][IC] Randy Cole: <:: CP is compromised; re-establish. ::>
[02:15:36	][IC] Randy Cole: <:: You have no chance of escape! ::>
[02:15:41	][IC] Randy Cole: <:: Get on ground. ::>
[02:15:46	][IC] Randy Cole: <:: Freeze! ::>
[02:15:56	][IC] Randy Cole: <:: Stay where you are! Get on the ground, do it now! ::>
[02:16:04	][Y] Randy Cole: <:: Stay where you are! Get on the ground, do it now! ::>
[02:16:09	]Randy Cole has gained a '20rnd DMR-magazine' #1657572.
[02:16:09	]Randy Cole has lost a '20rnd DMR-magazine' #1657573.
[02:16:22	][IC] Randy Cole: <:: Stay where you are! Get on the ground, do it now! ::>
[02:16:31	]Randy Cole has gained a '20rnd DMR-magazine' #1657573.
[02:16:31	]Randy Cole has lost a '20rnd DMR-magazine' #1657571.
[02:16:36	][Y] Randy Cole: <:: Stay where you are! Get on the ground, do it now! ::>
[02:16:48	]Randy Cole ran 'combine' on item '20rnd DMR-magazine' (#1657573)
[02:16:49	]Randy Cole has gained a '20rnd DMR-magazine' #1657571.
[02:16:49	]Randy Cole has lost a '20rnd DMR-magazine' #1657573.
[02:16:51	]Randy Cole ran 'combine' on item '20rnd DMR-magazine' (#1657571)
[02:17:02	][IC] Randy Cole: <:: Haha2. ::>
[02:17:04	][IC] Randy Cole: <:: Haha. ::>
[02:17:18	][IC] Randy Cole: <:: All units, apply forward pressure. ::>
[02:17:27	][IC] Randy Cole: <:: All units, apply forward pressure. ::>
[02:17:42	][IC] Randy Cole: <:: Shit! ::>
[02:17:48	][IC] Randy Cole: <:: 11-992. ::>
[02:18:07	][IC] Randy Cole: <:: Prepare for judgement! ::>
[02:18:19	][IC] Randy Cole: <:: We are socio-stable in this location. ::>
[02:18:24	][IC] Randy Cole: <:: 10-0, viscerator is hunting! ::>
[02:18:39	][IC] Randy Cole: <:: Block is holding, cohesive. ::>
[02:18:53	][IC] Randy Cole: <:: Watch it! ::>
[02:18:56	][IC] Randy Cole: <:: Watch it! ::>
[02:19:00	][IC] Randy Cole: <:: Watch it! ::>
[02:19:03	][IC] Randy Cole: <:: Shit! ::>
[02:19:08	][IC] Randy Cole: <:: Shit! ::>
[02:19:29	][IC] Randy Cole: <:: Dispatch, I need 10-78; officer in trouble! ::>
[02:19:39	][IC] Randy Cole: <:: Dispatch, I need 10-78; officer in trouble! ::>
[02:19:44	][IC] Randy Cole: <:: 11-99; officer needs assistance! ::>
[02:20:46	][IC] Randy Cole: <:: 10-992. ::>
[02:20:48	][IC] Randy Cole: <:: Officer down, I am 10-99; I repeat, I am 10-99! ::>
[02:20:59	]Randy Cole is fully healed.
[02:21:48	]Randy Cole has changed Randy Cole's bodygroups.
[02:24:09	]Randy Cole has gained level 13 in the Speed skill.
[02:25:30	]human has connected.
[02:26:11	]human loaded the character 'Michael Copelin'
[02:26:20	]Randy Cole used command '/Radio yo'.
[02:26:32	]Michael Copelin used command '/Radio socio stabilization is intact :('.
[02:26:41	]Randy Cole used command '/Radio its simply not correct'.
[02:26:45	]Randy Cole used command '/Radio we got to change it'.
[02:26:49	]Michael Copelin used command '/Radio fr i hate socio stabilization'.
[02:26:53	]Michael Copelin used command '/SetMood frustrated'.
[02:27:00	]Randy Cole used command '/Radio it needs to be set to fractured'.
[02:27:00	]Michael Copelin ran 'Equip' on item 'SCAR-H' (#1657492)
[02:27:01	]Michael Copelin has lost a '20rnd DMR-magazine' #1657501.
[02:27:06	]Michael Copelin ran 'removeMag' on item 'SCAR-H' (#1657492)
[02:27:06	]Michael Copelin has gained a '20rnd DMR-magazine' #1657501.
[02:27:15	]Michael Copelin used command '/Radio oh yea come nexus and get scripts'.
[02:27:28	]Randy Cole used command '/Radio SCRIPTS!?'.
[02:27:33	]Michael Copelin used command '/Radio ota vendor'.
[02:27:40	]Randy Cole used command '/Radio I'll try and find it'.
[02:27:51	]Randy Cole ran 'split' on item 'Adrenaline' (#1657647)
[02:27:51	]Randy Cole has gained a 'Adrenaline' #1657648.
[02:27:53	]Randy Cole ran 'use' on item 'Adrenaline' (#1657648)
[02:27:53	]Randy Cole extended their level 4 short boost in Agility.
[02:27:54	]Randy Cole is fully healed.
[02:28:00	]Michael Copelin used command '/Radio for some reason my mask doesnt fucking show by default'.
[02:28:10	]Randy Cole used command '/Radio yea it happens'.
[02:28:12	]Michael Copelin used command '/SetMood relaxed'.
[02:28:17	]Michael Copelin used command '/SetMood frustrated'.
[02:28:18	]Randy Cole used command '/Radio just go in the bodygroups and change it'.
[02:28:41	]Michael Copelin has changed Michael Copelin's bodygroups.
[02:28:54	]Michael Copelin ran 'drop' on item 'Rifle Bullets' (#1657523)
[02:28:54	]Michael Copelin has lost a 'Rifle Bullets' #1657523.
[02:28:58	]Michael Copelin ran 'take' on item 'Rifle Bullets' (#1657523)
[02:28:58	]Michael Copelin has gained a 'Rifle Bullets' #1657523.
[02:29:04	][Y] Randy Cole: <:: Oh cool. ::>
[02:29:06	]Randy Cole used command '/Radio oh cool'.
[02:29:14	]Randy Cole used command '/Radio I don't need a combine card to open these doors'.
