[17:55:11	]Purple Knight has connected.
[17:55:56	]Purple Knight loaded the character 'C17:RCT.YELLO-95'
[17:56:01	]C17:RCT.YELLO-95 is fully healed.
[17:56:10	]C17:RCT.YELLO-95 ran 'Equip' on item 'Combine PDA' (#1649779)
[17:58:09	]C17:RCT.YELLO-95 ran 'take' on item 'AWSM' (#1650031)
[17:58:09	]C17:RCT.YELLO-95 has gained a 'AWSM' #1650031.
[17:58:16	]C17:RCT.YELLO-95 ran 'Equip' on item 'AWSM' (#1650031)
[17:58:46	]C17:RCT.YELLO-95 ran 'drop' on item 'AWSM' (#1650031)
[17:58:46	]C17:RCT.YELLO-95 has lost a 'AWSM' #1650031.
[17:58:50	]C17:RCT.YELLO-95 ran 'take' on item 'AWSM' (#1650031)
[17:58:50	]C17:RCT.YELLO-95 has gained a 'AWSM' #1650031.
[17:58:52	]C17:RCT.YELLO-95 ran 'Equip' on item 'AWSM' (#1650031)
[17:59:07	]C17:RCT.YELLO-95 ran 'take' on item 'Jackhammer' (#1650036)
[17:59:07	]C17:RCT.YELLO-95 has gained a 'Jackhammer' #1650036.
[17:59:27	]C17:RCT.YELLO-95 ran 'drop' on item 'Jackhammer' (#1650036)
[17:59:27	]C17:RCT.YELLO-95 has lost a 'Jackhammer' #1650036.
[17:59:50	]C17:RCT.YELLO-95 ran 'take' on item 'Medium Credits Coupon' (#1649932)
[17:59:50	]C17:RCT.YELLO-95 has gained a 'Medium Credits Coupon' #1649932.
[18:01:23	]C17:RCT.YELLO-95 has pressed the "CA_SuspendedRations" map button.
[18:04:07	]C17:RCT.YELLO-95 ran 'take' on item 'Tikhar Ball Rifle' (#1650019)
[18:04:07	]C17:RCT.YELLO-95 has gained a 'Tikhar Ball Rifle' #1650019.
[18:04:12	]C17:RCT.YELLO-95 ran 'EquipUn' on item 'AWSM' (#1650031)
[18:04:32	]C17:RCT.YELLO-95 ran 'Equip' on item 'Tikhar Ball Rifle' (#1650019)
[18:10:44	]C17:RCT.YELLO-95 has spawned 'models/vj_hlr/decay/wheelchair.mdl'.
[18:17:39	]C17:RCT.YELLO-95 has spawned 'models/props/de_tides/vending_turtle.mdl'.
[18:17:41	]C17:RCT.YELLO-95 has spawned 'models/willardnetworks/skills/turtle.mdl'.
[18:18:26	]C17:RCT.YELLO-95 has fired a toolgun with the name: mannable_changemodel
[18:19:25	]C17:RCT.YELLO-95 has spawned 'models/Items/HealthKit.mdl'.
[18:19:26	]C17:RCT.YELLO-95 has fired a toolgun with the name: mannable_changemodel
[18:19:26	]C17:RCT.YELLO-95 has fired a toolgun with the name: mannable_changemodel
[18:19:27	]C17:RCT.YELLO-95 has fired a toolgun with the name: mannable_changemodel
[18:19:27	]C17:RCT.YELLO-95 has fired a toolgun with the name: mannable_changemodel
[18:19:27	]C17:RCT.YELLO-95 has fired a toolgun with the name: mannable_changemodel
[18:19:30	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:39	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:39	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:39	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:39	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:40	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:40	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:40	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:40	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:40	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:40	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:41	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:41	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:41	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:42	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:42	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:42	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:19:42	]C17:RCT.YELLO-95 has fired a toolgun with the name: balloon
[18:20:49	]C17:RCT.YELLO-95 was knocked unconscious and is bleeding out.
[18:20:50	]C17:RCT.YELLO-95 was killed while bleeding out.
[18:20:50	]trigger_hurt has killed C17:RCT.YELLO-95 with trigger_hurt.
[18:21:07	]C17:RCT.YELLO-95 opened the 'File Cabinet' #76189 container.
[18:21:08	]C17:RCT.YELLO-95 closed the 'File Cabinet' #76189 container.
[18:21:08	]C17:RCT.YELLO-95 opened the 'File Cabinet' #76188 container.
[18:21:10	]C17:RCT.YELLO-95 closed the 'File Cabinet' #76188 container.
[18:21:25	]C17:RCT.YELLO-95 was knocked unconscious and is bleeding out.
[18:21:27	]C17:RCT.YELLO-95 opened the 'File Cabinet' #76188 container.
[18:21:28	]C17:RCT.YELLO-95 closed the 'File Cabinet' #76188 container.
[18:21:29	]C17:RCT.YELLO-95 used command '/CharGetUp'.
[18:21:30	]C17:RCT.YELLO-95 used command '/CharGetUp'.
[18:21:32	]C17:RCT.YELLO-95 used command '/CharGetUp'.
[18:21:35	]C17:RCT.YELLO-95 used command '/CharGetUp'.
[18:21:37	]C17:RCT.YELLO-95 used command '/CharFallOver'.
[18:21:38	]C17:RCT.YELLO-95 used command '/CharGetUp'.
[18:21:39	]C17:RCT.YELLO-95 used command '/CharGetUp'.
[18:21:39	]C17:RCT.YELLO-95 used command '/CharGetUp'.
[18:21:41	]C17:RCT.YELLO-95 used command '/CharFallOver'.
[18:21:42	]C17:RCT.YELLO-95 used command '/CharFallOver'.
[18:21:44	]C17:RCT.YELLO-95 used command '/CharGetUp'.
[18:21:46	]Purple Knight (STEAM_0:1:63227876) has disconnected.
[19:49:34	]Taliazure has connected.
[19:50:16	]Taliazure loaded the character 'C24:i1.JUDGE-2'
[19:50:24	]C24:i1.JUDGE-2 has spawned 'models/props_c17/utilitypole03a.mdl'.
[19:50:38	][IC] C24:i1.JUDGE-2: <:: Wah! ::>
[19:50:54	]C24:i1.JUDGE-2 ran 'Equip' on item 'SR-1A' (#1650035)
[19:50:55	]C24:i1.JUDGE-2 used command '/ToggleRaise'.
[19:50:56	]C24:i1.JUDGE-2 has lost a '30rnd Pulse-magazine' #1650024.
[19:50:56	]C24:i1.JUDGE-2 has gained a '30rnd Pulse-magazine' #1650046.
[19:50:57	]C24:i1.JUDGE-2 used command '/ToggleRaise'.
[19:51:03	]C24:i1.JUDGE-2 has gained a '30rnd Pulse-magazine' #1650024.
[19:51:03	]C24:i1.JUDGE-2 has lost a '30rnd Pulse-magazine' #1650046.
[19:51:04	]C24:i1.JUDGE-2 used command '/ToggleRaise'.
[19:51:06	]Mango has connected.
[19:51:10	]C24:i1.JUDGE-2 has lost a 'Lasser Pulse' #1650041.
[19:51:18	][IC] C24:i1.JUDGE-2: <:: Cause I spawned it. ::>
[19:51:23	]C24:i1.JUDGE-2 ran 'EquipUn' on item 'SR-1A' (#1650035)
[19:51:23	]C24:i1.JUDGE-2 has gained a '30rnd Pulse-magazine' #1650046.
[19:51:23	]C24:i1.JUDGE-2 ran 'Equip' on item 'P90' (#1649958)
[19:51:24	]C24:i1.JUDGE-2 used command '/ToggleRaise'.
[19:51:44	][IC] C24:i1.JUDGE-2: <:: Dev. ::>
[19:52:11	]C24:i1.JUDGE-2 ran 'combine' on item '50rnd P90-magazine' (#1649961)
[19:52:12	]C24:i1.JUDGE-2 has lost a '50rnd P90-magazine' #1649961.
[19:52:14	]C24:i1.JUDGE-2 used command '/ToggleRaise'.
[19:52:16	]C24:i1.JUDGE-2 used command '/ToggleRaise'.
[19:52:58	][IC] C24:i1.JUDGE-2: <:: Haha. ::>
[19:53:33	]C24:i1.JUDGE-2 used command '/ToggleRaise'.
[19:54:22	]C24:i1.JUDGE-2 ran 'Equip' on item 'SR-1A' (#1650035)
[19:54:22	]C24:i1.JUDGE-2 ran 'EquipUn' on item 'P90' (#1649958)
[19:54:22	]C24:i1.JUDGE-2 has gained a '50rnd P90-magazine' #1649961.
[19:54:23	]C24:i1.JUDGE-2 ran 'Equip' on item 'SR-1A' (#1650035)
[19:54:27	]C24:i1.JUDGE-2 ran 'Equip' on item 'H&K P2000' (#1649999)
[19:54:27	]C24:i1.JUDGE-2 used command '/ToggleRaise'.
[19:55:11	]Mango created the character 'Mango Banana'
[19:55:11	]Mango loaded the character 'Mango Banana'
[19:55:11	]Mango Banana has gained a '#89802's Identity Card' #1650062.
[19:55:11	]Mango Banana has gained a 'Black Jumpsuit' #1650063.
[19:55:11	]Mango Banana has gained a 'Black Jumpsuit Trousers' #1650064.
[19:55:11	]Mango Banana has gained a 'Brown Leather Boots' #1650065.
[19:55:27	][IC] C24:i1.JUDGE-2: <:: OH WHAT. ::>
[19:55:31	][IC] C24:i1.JUDGE-2: <:: I lost admin ;  _;. ::>
[19:55:42	]C24:i1.JUDGE-2 used command '/PrintStaffList'.
[19:55:47	]C24:i1.JUDGE-2 used command '/ToggleRaise'.
[19:55:49	]C24:i1.JUDGE-2 used command '/ToggleRaise'.
[19:55:50	]C24:i1.JUDGE-2 has lost a '30rnd Pulse-magazine' #1650046.
[19:55:58	]C24:i1.JUDGE-2 has gained a 'Lasser Pulse' #1650041.
[19:55:58	]C24:i1.JUDGE-2 has lost a 'Overcharged Pulse' #1650039.
[19:56:00	][IC] C24:i1.JUDGE-2: <:: I did. ::>
[19:56:01	]Mango (STEAM_0:0:544539350) has disconnected.
[19:56:02	]C24:i1.JUDGE-2 used command '/ToggleRaise'.
[19:56:08	]C24:i1.JUDGE-2 has gained a '30rnd Pulse-magazine' #1650046.
[19:56:08	]C24:i1.JUDGE-2 has lost a '30rnd Pulse-magazine' #1650024.
[19:56:12	]C24:i1.JUDGE-2 has gained a 'Overcharged Pulse' #1650039.
[19:56:12	]C24:i1.JUDGE-2 has lost a 'Lasser Pulse' #1650041.
[19:56:27	]C24:i1.JUDGE-2 has gained a '30rnd Pulse-magazine' #1650024.
[19:56:27	]C24:i1.JUDGE-2 has lost a '30rnd Pulse-magazine' #1650046.
[19:56:29	]C24:i1.JUDGE-2 used command '/ToggleRaise'.
[19:56:55	]C24:i1.JUDGE-2 used command '/Radio I NEED 10-78'.
[19:57:00	]C24:i1.JUDGE-2 has gained a '30rnd Pulse-magazine' #1650046.
[19:57:00	]C24:i1.JUDGE-2 was knocked unconscious and is bleeding out.
[19:57:02	][IC] C24:i1.JUDGE-2: <:: Ah. ::>
[19:57:05	]C24:i1.JUDGE-2 used command '/Radio I NEED 10-78'.
[19:57:06	]C24:i1.JUDGE-2 used command '/Radio I NEED 10-78'.
[19:57:09	]C24:i1.JUDGE-2 used command '/WaypointAdd CODE-3 200 RED'.
[19:57:15	]C24:i1.JUDGE-2 used command '/Radio dildo'.
[19:57:30	]C24:i1.JUDGE-2 was just killed due to: accepting their death
[19:57:37	][IC] C24:i1.JUDGE-2: <:: That's a cope. ::>
[19:57:42	]Taliazure loaded the character 'ELputo loco'
[19:57:47	]ELputo loco is fully healed.
[19:57:59	]Taliazure loaded the character 'C24:i1.JUDGE-2'
[19:58:14	]C24:i1.JUDGE-2 ran 'Equip' on item 'Stunstick' (#1373216)
[19:58:14	]C24:i1.JUDGE-2 used command '/ToggleRaise'.
[19:58:24	][IC] C24:i1.JUDGE-2: <:: It's the original one. ::>
[19:58:25	]C24:i1.JUDGE-2 opened the 'File Cabinet' #76189 container.
[19:58:27	]C24:i1.JUDGE-2 closed the 'File Cabinet' #76189 container.
[19:58:37	][IC] C24:i1.JUDGE-2: <:: This is waht they use in half life alyx. ::>
[19:58:42	][IC] C24:i1.JUDGE-2: <:: The ORD and wallhammer. ::>
[19:58:45	][IC] C24:i1.JUDGE-2: <:: When they stunstick alyx. ::>
[19:58:47	][IC] C24:i1.JUDGE-2: <:: Yes it is! ::>
[19:58:58	][IC] C24:i1.JUDGE-2: <:: Replacement yep. ::>
[19:58:59	]C24:i1.JUDGE-2 used command '/ToggleRaise'.
[19:59:02	][IC] C24:i1.JUDGE-2: <:: Lore accurate. ::>
[19:59:14	][IC] C24:i1.JUDGE-2: <:: I also have 4k terminals. ::>
[19:59:29	][IC] C24:i1.JUDGE-2: <:: Yep! ::>
[19:59:42	][IC] C24:i1.JUDGE-2: <:: I have my own collection i'll send it. ::>
[19:59:53	]Taliazure loaded the character 'Karin Sonja'
[20:00:03	]Karin Sonja ran 'EquipUn' on item 'Bastard Submachine Gun' (#1583444)
[20:00:04	]Karin Sonja ran 'Equip' on item 'Bastard Submachine Gun' (#1583444)
[20:00:05	]Karin Sonja used command '/ToggleRaise'.
[20:00:12	]Karin Sonja used command '/ToggleRaise'.
[20:00:23	]Karin Sonja used command '/ToggleRaise'.
[20:00:26	]Karin Sonja ran 'EquipUn' on item 'Popper' (#1543418)
[20:00:27	]Karin Sonja ran 'Equip' on item 'Popper' (#1543418)
[20:00:32	]Karin Sonja ran 'EquipUn' on item 'Popper' (#1543418)
[20:00:33	]Karin Sonja ran 'Equip' on item 'Popper' (#1543418)
[20:00:34	]Karin Sonja used command '/ToggleRaise'.
[20:00:36	]Karin Sonja ran 'EquipUn' on item 'Popper' (#1543418)
[20:00:38	]Karin Sonja ran 'Equip' on item 'Popper' (#1543418)
[20:00:38	]Karin Sonja used command '/ToggleRaise'.
[20:00:43	][IC] Karin Sonja: This is cool af.
[20:00:46	]Karin Sonja ran 'EquipUn' on item 'Popper' (#1543418)
[20:00:47	]Karin Sonja ran 'Equip' on item 'Popper' (#1543418)
[20:00:47	]Karin Sonja used command '/ToggleRaise'.
[20:00:54	]Karin Sonja ran 'EquipUn' on item 'Popper' (#1543418)
[20:00:55	]Karin Sonja ran 'Equip' on item 'Popper' (#1543418)
[20:00:55	]Karin Sonja used command '/ToggleRaise'.
[20:00:59	]Karin Sonja ran 'EquipUn' on item 'Popper' (#1543418)
[20:01:00	]Karin Sonja ran 'Equip' on item 'Popper' (#1543418)
[20:01:01	]Karin Sonja used command '/ToggleRaise'.
[20:01:05	]Karin Sonja ran 'EquipUn' on item 'Popper' (#1543418)
[20:01:05	]Karin Sonja ran 'Equip' on item 'Model 327-R8' (#488661)
[20:01:06	]Karin Sonja used command '/ToggleRaise'.
[20:01:09	]Karin Sonja ran 'EquipUn' on item 'Model 327-R8' (#488661)
[20:01:10	]Karin Sonja ran 'EquipUn' on item 'Bastard Submachine Gun' (#1583444)
[20:01:11	]Karin Sonja ran 'Equip' on item 'Bastard Submachine Gun' (#1583444)
[20:01:11	]Karin Sonja used command '/ToggleRaise'.
[20:01:14	]Karin Sonja ran 'EquipUn' on item 'Bastard Submachine Gun' (#1583444)
[20:01:15	]Karin Sonja ran 'drop' on item 'Model 327-R8' (#488661)
[20:01:15	]Karin Sonja has lost a 'Model 327-R8' #488661.
[20:01:19	]Karin Sonja ran 'Equip' on item 'M1014' (#1583389)
[20:01:20	]Karin Sonja used command '/ToggleRaise'.
[20:01:24	]Karin Sonja ran 'EquipUn' on item 'M1014' (#1583389)
[20:01:26	]Karin Sonja ran 'Equip' on item 'H&K P2000' (#1583442)
[20:01:26	]Karin Sonja used command '/ToggleRaise'.
[20:01:29	]Karin Sonja ran 'EquipUn' on item 'H&K P2000' (#1583442)
[20:01:30	]Karin Sonja ran 'Equip' on item 'M92FS' (#1583401)
[20:01:34	]Karin Sonja ran 'EquipUn' on item 'M92FS' (#1583401)
[20:01:34	]Karin Sonja ran 'Equip' on item 'M92FS' (#1583401)
[20:01:35	]Karin Sonja used command '/ToggleRaise'.
[20:01:38	]Karin Sonja ran 'EquipUn' on item 'M92FS' (#1583401)
[20:01:40	]Karin Sonja ran 'Equip' on item 'MP5A3' (#1583443)
[20:01:40	]Karin Sonja used command '/ToggleRaise'.
[20:01:42	]Karin Sonja ran 'EquipUn' on item 'MP5A3' (#1583443)
[20:01:52	]Taliazure loaded the character 'ELputo loco'
[20:02:26	]ELputo loco used command '/ToggleRaise'.
[20:02:39	]ELputo loco ran 'drop' on item 'Antlion Extract' (#1649844)
[20:02:39	]ELputo loco has lost a 'Antlion Extract' #1649844.
[20:02:44	][IC] ELputo loco: Extract.
[20:02:45	]ELputo loco ran 'take' on item 'Antlion Extract' (#1649844)
[20:02:45	]ELputo loco has gained a 'Antlion Extract' #1649844.
[20:02:50	][IC] ELputo loco: The extract!
[20:03:00	][IC] ELputo loco: Wait what?
[20:03:43	][IC] ELputo loco: Galanga.
[20:03:47	][IC] ELputo loco: Galanga.
[20:03:58	][IC] ELputo loco: LET ME IN.
[20:03:59	][IC] ELputo loco: Lung...
[20:04:01	][IC] ELputo loco: Call.
[20:04:03	][IC] ELputo loco: Shaaaaa!
[20:04:59	]ELputo loco used command '/Dispatch'.
[20:05:09	]ELputo loco used command '/Dispatch ah'.
[20:05:12	]ELputo loco used command '/Dispatch ah'.
[20:05:20	]ELputo loco has spawned 'models/props_lab/blastdoor001b.mdl'.
[20:05:29	]ELputo loco used command '/ToggleRaise'.
[20:05:43	][IC] ELputo loco: I'm illuminated.
[20:06:41	]ELputo loco has taken 10 damage from prop_physics.
[20:07:05	][IC] ELputo loco: Fucking yeet a trash can at cps.
[20:07:09	]ELputo loco has spawned 'models/props_trainstation/trashcan_indoor001b.mdl'.
[20:07:17	][IC] ELputo loco: Boi watch yo tone.
[20:07:43	][IC] ELputo loco: Que pasa.
[20:07:56	][IC] ELputo loco: Yep?
