[09:56:28	]Garratz has connected.
[09:57:39	]Garratz loaded the character 'Callum Crown'
[09:58:17	]Callum Crown ran 'EquipUn' on item 'Machete' (#2048567)
[09:58:18	]Callum Crown ran 'EquipUn' on item 'AKM' (#2048526)
[09:58:18	]Callum Crown has gained a '30rnd AK-magazine' #2048549.
[09:58:59	]Callum Crown used command '/ActStand'.
[10:00:08	]Callum Crown is fully healed.
[10:00:15	]Callum Crown used command '/ExitAct'.
[10:00:31	]Callum Crown used command '/ActStand 4'.
[10:05:12	]Callum Crown used command '/ExitAct'.
[10:15:13	]Callum Crown used command '/ActStand'.
[10:15:14	]Callum Crown used command '/ExitAct'.
[10:15:15	]Callum Crown used command '/ActStand 4'.
[10:15:18	]Callum Crown used command '/ExitAct'.
[10:15:21	]Callum Crown used command '/ActStand 4'.
[10:17:08	]Callum Crown used command '/ExitAct'.
[10:17:11	]Callum Crown used command '/ActStand 4'.
[10:19:24	]Callum Crown used command '/ExitAct'.
[10:19:59	]Callum Crown has spawned 'models/willardnetworks/posters/wn_poster_4.mdl'.
[10:20:22	]Callum Crown has fired a toolgun with the name: submaterial
[10:20:26	]Callum Crown has fired a toolgun with the name: submaterial
[10:20:30	]Callum Crown has fired a toolgun with the name: submaterial
[10:20:31	]Callum Crown has fired a toolgun with the name: submaterial
[10:20:31	]Callum Crown has fired a toolgun with the name: submaterial
[10:20:32	]Callum Crown has fired a toolgun with the name: submaterial
[10:20:34	]Callum Crown has fired a toolgun with the name: submaterial
[10:20:58	]Callum Crown has spawned 'models/willardnetworks/posters/wn_poster_4.mdl'.
[10:21:32	]Callum Crown has fired a toolgun with the name: submaterial
[10:21:33	]Callum Crown has fired a toolgun with the name: submaterial
[10:21:35	]Callum Crown has fired a toolgun with the name: submaterial
[10:21:57	]Callum Crown used command '/ActStand 4'.
[10:22:09	]Callum Crown used command '/ExitAct'.
[10:22:12	]Callum Crown used command '/ActStand'.
[10:22:13	]Callum Crown used command '/ExitAct'.
[10:22:13	]Callum Crown used command '/ActStand 4'.
[10:22:24	]Console ran SAM command 'adduser' with arguments: 'crown' 'gamemaster'
[10:22:36	]Callum Crown used command '/ExitAct'.
[10:22:37	]Callum Crown has fired a toolgun with the name: submaterial
[10:22:40	]Callum Crown has fired a toolgun with the name: camera
[10:22:54	]Callum Crown entered observer.
[10:23:05	]Callum Crown has fired a toolgun with the name: camera
[10:23:07	]Callum Crown exited observer at their location.
[10:23:09	]Callum Crown used command '/Handsignals'.
[10:24:05	]Callum Crown has fired a toolgun with the name: lamp
[10:24:18	]Callum Crown entered observer.
[10:25:21	]Callum Crown has fired a toolgun with the name: lamp
[10:25:38	]Callum Crown exited observer at their location.
