[16:34:19	]Marshall has connected.
[16:37:21	]Marshall created the character 'eeeeeeeeeeee'
[16:37:21	]Marshall loaded the character 'eeeeeeeeeeee'
[16:37:21	]eeeeeeeeeeee has gained a '#07878's Identity Card' #3112331.
[16:37:21	]eeeeeeeeeeee has gained a 'CMRU PDA' #3112332.
[16:37:21	]eeeeeeeeeeee has gained a 'CMRU Level 1 Access Keycard' #3112333.
[16:37:21	]eeeeeeeeeeee has gained a 'Grey Medic Shirt' #3112334.
[16:37:21	]eeeeeeeeeeee has gained a 'CMRU Radio' #3112335.
[16:37:21	]eeeeeeeeeeee has gained a 'Red Jumpsuit' #3112336.
[16:37:21	]eeeeeeeeeeee has gained a 'Brown Jumpsuit Trousers' #3112337.
[16:37:21	]eeeeeeeeeeee has gained a 'Brown Leather Boots' #3112338.
[16:37:44	]eeeeeeeeeeee entered observer.
[16:37:46	]eeeeeeeeeeee exited observer at their location.
[16:38:02	]eeeeeeeeeeee has spawned a raincoat_yellow.
[16:38:03	]eeeeeeeeeeee ran 'take' on item 'Yellow Raincoat' (#3112339)
[16:38:03	]eeeeeeeeeeee has gained a 'Yellow Raincoat' #3112339.
[16:38:10	]eeeeeeeeeeee has spawned a beanie_red.
[16:38:11	]eeeeeeeeeeee ran 'take' on item 'Red Beanie' (#3112340)
[16:38:11	]eeeeeeeeeeee has gained a 'Red Beanie' #3112340.
[16:38:24	]eeeeeeeeeeee has spawned a legs_civilian_red.
[16:38:25	]eeeeeeeeeeee ran 'take' on item 'Red Trousers' (#3112341)
[16:38:25	]eeeeeeeeeeee has gained a 'Red Trousers' #3112341.
[16:38:50	]eeeeeeeeeeee ran 'drop' on item 'Yellow Raincoat' (#3112339)
[16:38:50	]eeeeeeeeeeee has lost a 'Yellow Raincoat' #3112339.
[16:38:54	]eeeeeeeeeeee has spawned a weather_yellow.
[16:38:55	]eeeeeeeeeeee ran 'take' on item 'Yellow Weather Jacket' (#3112342)
[16:38:55	]eeeeeeeeeeee has gained a 'Yellow Weather Jacket' #3112342.
[16:39:28	]eeeeeeeeeeee has spawned a casual_orange.
[16:39:29	]eeeeeeeeeeee ran 'take' on item 'Casual Orange' (#3112343)
[16:39:29	]eeeeeeeeeeee has gained a 'Casual Orange' #3112343.
[16:39:53	]eeeeeeeeeeee has spawned a legs_jumpsuit_red.
[16:39:55	]eeeeeeeeeeee ran 'take' on item 'Red Jumpsuit Trousers' (#3112344)
[16:39:55	]eeeeeeeeeeee has gained a 'Red Jumpsuit Trousers' #3112344.
[16:40:13	]Marshall has unloaded their "eeeeeeeeeeee" character.
[16:40:17	]Marshall loaded the character 'cake'
[16:40:32	]cake ran 'drop' on item 'Glasses' (#3111580)
[16:40:32	]cake has lost a 'Glasses' #3111580.
[16:40:36	]cake ran 'drop' on item 'Milan' (#3111590)
[16:40:36	]cake has lost a 'Milan' #3111590.
[16:40:36	]cake ran 'drop' on item 'Bloke Shoes' (#3111581)
[16:40:36	]cake has lost a 'Bloke Shoes' #3111581.
[16:41:00	]cake has spawned a legs_civilian_red.
[16:41:01	]cake ran 'take' on item 'Red Trousers' (#3112345)
[16:41:01	]cake has gained a 'Red Trousers' #3112345.
