[18:36:02	]Kranky has connected.
[18:37:26	]Kranky loaded the character 'Kranky'
[18:37:31	]Kranky is fully healed.
[18:38:03	]Kranky entered observer.
[18:38:37	]Kranky exited observer at their location.
[18:39:05	]Kranky entered observer.
[18:39:58	]Kranky exited observer at their location.
[18:40:02	]Kranky used command '/AddPlayerSpawnAnchor'.
[18:40:05	]Kranky used command '/AddPlayerSpawnAnchor'.
[18:40:07	]Kranky used command '/AddPlayerSpawnAnchor'.
[18:40:09	]Kranky used command '/AddPlayerSpawnAnchor'.
[18:40:11	]Kranky used command '/AddPlayerSpawnAnchor'.
[18:40:13	]Kranky used command '/AddPlayerSpawnAnchor'.
[18:40:24	]Kranky used command '/ClearPlayerSpawnAnchors'.
[18:40:30	]Kranky used command '/AddPlayerSpawnAnchor'.
[18:40:32	]Kranky used command '/AddPlayerSpawnAnchor'.
[18:40:34	]Kranky used command '/AddPlayerSpawnAnchor'.
[18:40:37	]Kranky used command '/AddPlayerSpawnAnchor'.
[18:40:40	]Kranky used command '/AddPlayerSpawnAnchor'.
[18:40:40	]Kranky entered observer.
[18:40:44	]Kranky exited observer at their location.
[18:40:47	]Kranky has unloaded their "Kranky" character.
[18:41:14	]Kranky loaded the character 'Kranky'
[18:44:12	]Kranky entered observer.
[18:44:23	]Kranky has fired a toolgun with the name: advdupe2
[18:44:23	]Kranky has spawned 'models/z-o-m-b-i-e/metro_2033/barrels/m33_barrel_12.mdl'.
[18:44:23	]Kranky has spawned 'models/z-o-m-b-i-e/metro_2033/barrels/m33_barrel_02.mdl'.
[18:44:23	]Kranky has spawned 'models/z-o-m-b-i-e/metro_2033/station_props/m33_trash_02.mdl'.
[18:44:23	]Kranky has spawned 'models/z-o-m-b-i-e/metro_2033/barrels/m33_barrel_02.mdl'.
[18:44:23	]Kranky has spawned 'models/z-o-m-b-i-e/metro_ll/chr_body_corpse/m_ll_chr_body_corpse_02.mdl'.
[18:44:23	]Kranky has spawned 'models/props_junk/cardboard_box004a.mdl'.
[18:44:23	]Kranky has spawned 'models/z-o-m-b-i-e/metro_2033/barrels/m33_barrel_02.mdl'.
[18:44:23	]Kranky has spawned 'models/props_junk/cardboard_box004a.mdl'.
[18:44:23	]Kranky has spawned 'models/props_junk/cardboard_box004a.mdl'.
[18:44:23	]Kranky has spawned 'models/props/newcombineprop/combine_arch01.mdl'.
[18:44:23	]Kranky has spawned 'models/props/newcombineprop/combine_arch10.mdl'.
[18:44:23	]Kranky has spawned 'models/props/newcombineprop/combine_cube01.mdl'.
[18:44:23	]Kranky has spawned 'models/props_debris/concrete_debris256pile001a.mdl'.
[18:44:23	]Kranky has spawned 'models/props_debris/concrete_debris256pile001a.mdl'.
[18:44:23	]Kranky has spawned 'models/z-o-m-b-i-e/metro_2033/barrels/m33_barrel_01.mdl'.
[18:44:24	]Kranky has spawned 'models/z-o-m-b-i-e/metro_2033/tools/m33_instrument_box_02.mdl'.
[18:44:24	]Kranky has spawned 'models/z-o-m-b-i-e/metro_ll/chr_body_corpse/m_ll_chr_body_corpse_02.mdl'.
[18:44:24	]Kranky has spawned 'models/z-o-m-b-i-e/metro_2033/barrels/m33_barrel_02.mdl'.
[18:44:24	]Kranky has spawned 'models/z-o-m-b-i-e/metro_2033/barrels/m33_barrel_01.mdl'.
[18:44:24	]Kranky has spawned 'models/z-o-m-b-i-e/metro_ll/station_props/m_ll_smithy_worktable_01.mdl'.
