[16:43:34	]Kranky has connected.
[16:43:58	]Mango has connected.
[16:44:38	]Mango (STEAM_0:0:544539350) deleted character 'Banana'
[16:44:41	]Mango (STEAM_0:0:544539350) deleted character 'Gulanga'
[16:45:08	]Mango created the character 'Wasabi'
[16:45:09	]Wasabi has gained a 'Vortigaunt Hooks' #1656003.
[16:45:09	]Wasabi has gained a 'Vortigaunt Shackles' #1656004.
[16:45:09	]Wasabi has gained a 'Vortigaunt Collar' #1656005.
[16:45:09	]Mango loaded the character 'Wasabi'
[16:45:27	][IC] Wasabi: Yes.
[16:45:33	]Wasabi entered observer.
[16:45:35	]Wasabi exited observer at their location.
[16:45:35	]Kranky loaded the character 'John Johnson'
[16:45:56	][OOC] Wasabi: omg 
[16:46:01	][OOC] John Johnson: hi
[16:46:03	][OOC] Wasabi: hihi
[16:46:14	]Wasabi entered observer.
[16:46:18	]Wasabi exited observer at their location.
[16:46:26	][OOC] John Johnson: I heard a fucking vortal "YESSS" and had to get on my char lmao
[16:46:31	]John Johnson used command '/CharDesc'.
[16:46:32	][IC] Wasabi: Yes...
[16:46:39	]Wasabi ran SAM command 'scale' with arguments: 'wasabi' '0.9'
[16:46:46	][LOOC] Wasabi: I'm testing datafiles for vorts
[16:47:01	]Wasabi used command '/CharGiveFlag wasa U'.
[16:47:04	]Wasabi used command '/Datafile wasab'.
[16:47:15	][OOC] John Johnson: nice
[16:47:20	][OOC] John Johnson: uhhh
[16:47:29	][OOC] Wasabi: huge map
[16:47:32	][OOC] John Johnson: yeah ik
[16:47:38	][OOC] John Johnson: I checked it out on sandbox
[16:47:57	]John Johnson has spawned 'models/jq/hlvr/props/infestation/p1/boomerplant_01.mdl'.
[16:47:59	][OOC] Wasabi: gonna be good tho
[16:48:05	][OOC] John Johnson: yeah
[16:48:27	]Wasabi used command '/Datafile wa'.
[16:49:03	]Wasabi used command '/Datafile wa'.
[16:49:18	]Wasabi used command '/Datafile wa'.
[16:49:40	][OOC] Wasabi: ugh doesn't let me look through cid 
[16:49:41	]John Johnson ran 'drop' on item 'AR-2' (#1655957)
[16:49:41	]John Johnson has lost a 'AR-2' #1655957.
[16:49:43	]John Johnson ran 'take' on item 'AR-2' (#1655957)
[16:49:43	]John Johnson has gained a 'AR-2' #1655957.
[16:49:55	][OOC] John Johnson: Ah, I'm not sure how to check that stuff, I think I need a datapad. 
[16:49:59	]Wasabi used command '/CreateCid wasa'.
[16:49:59	]Wasabi has gained a '#33488's Identity Card' #1656006.
[16:50:10	][OOC] John Johnson: never really was a CP or OTA, I'm just a funny guy with an OTA suit  from the admin NPC
[16:50:10	]Wasabi used command '/Datafile 33488'.
[16:50:21	][OOC] John Johnson: idk where the admin NPC is now tho
[16:50:31	][IC] Wasabi: Cooking.
[16:50:36	]Wasabi entered observer.
[16:50:38	]Wasabi exited observer at their location.
[16:50:42	][IC] Wasabi: There!
[16:50:45	][IC] Wasabi: Here.
[16:50:49	][IC] John Johnson: <:: Closing. ::>
[16:50:50	][IC] Wasabi: Come in, come in!
[16:50:57	][IC] Wasabi: Enter...
[16:51:26	]John Johnson used command '/ActType'.
[16:51:29	]John Johnson used command '/ExitAct'.
[16:51:34	]Mango created the character 'Nihilanth'
[16:51:34	]Mango loaded the character 'Nihilanth'
[16:51:34	]Nihilanth has gained a '#68485's Identity Card' #1656007.
[16:51:34	]Nihilanth has gained a 'Vortigaunt Brown Trousers' #1656008.
[16:51:41	]John Johnson has gained level 1 in the Guns skill.
[16:51:44	]John Johnson has gained level 4 in the Speed skill.
[16:52:07	]John Johnson has changed John Johnson's bodygroups.
[16:52:41	]Kranky has unloaded their "John Johnson" character.
