[04:40:31	]Kranky has connected.
[04:45:46	]Kranky loaded the character 'John Johnson'
[04:53:36	]Kranky (STEAM_0:1:110380124) has disconnected.
[19:07:33	]Votton has connected.
[19:09:05	]Votton loaded the character 'Votton'
[19:09:10	]Votton is fully healed.
[19:09:13	]Votton entered observer.
[19:09:25	]Votton has spawned a 'Entity [428][ix_teleporter]'.
[19:09:33	]Votton used command '/Teleporters'.
[19:09:38	]Votton has spawned a 'Entity [430][ix_teleporter]'.
[19:09:43	]Hiros | Error 410 has connected.
[19:09:43	]Votton exited observer at their location.
[19:09:52	]Votton used command '/Teleporters'.
[19:10:14	]Votton used command '/Teleporters'.
[19:10:32	]Hiros | Error 410 loaded the character 'Hiros'
[19:10:36	]Votton used command '/TeleporterReset'.
[19:10:37	]Hiros is fully healed.
[19:10:41	]Votton used command '/Teleporters'.
[19:11:03	]Hiros used command '/Teleporters'.
[19:11:08	]Hiros entered observer.
[19:11:18	][OOC] Hiros: Votton more like BOTTOM HAHHA
[19:11:20	]Votton entered observer.
[19:11:22	]Hiros exited observer at their location.
[19:11:24	][OOC] Votton: HAhahahahaha
[19:11:26	]Votton exited observer at their location.
[19:11:32	][OOC] Votton: I'm just trying to see how to link these up
[19:11:36	]Votton entered observer.
[19:11:37	][OOC] Hiros: was about to test teleporter w Mango
[19:11:39	]Votton exited observer at their location.
[19:11:48	][OOC] Votton: Oh is she joining the server too?
[19:11:51	]Hiros has given himself a flashlight.
[19:11:51	]Hiros has gained a 'Flashlight' #1650066.
[19:11:54	][OOC] Hiros: yee
[19:12:03	]Votton used command '/Teleporters'.
[19:12:04	][OOC] Hiros: she asked me if i want to test it out w her
[19:12:09	]Hiros has spawned 'models/props_c17/furnitureStove001a.mdl'.
[19:12:13	][OOC] Votton: Yeah go for it
[19:12:24	]Hiros has used a context menu option with the name: remove
[19:12:26	]Hiros has spawned 'models/props_c17/door01_left.mdl'.
[19:12:45	]Hiros used command '/TeleporterSetModel models/props_c17/door01_left.mdl'.
[19:12:53	]Hiros has used a context menu option with the name: remove
[19:13:07	]Votton ran SAM command 'menu' with arguments: ''
[19:13:09	]Hiros has spawned a 'Entity [434][ix_shop_sign]'.
[19:13:12	]Mango has connected.
[19:13:19	]Hiros has spawned a 'Entity [434][ix_teleporter]'.
[19:13:29	][OOC] Hiros: AHA i found how
[19:13:35	][OOC] Hiros: you need to spawn TWO
[19:13:39	][OOC] Hiros: press E and link em
[19:13:41	]Hiros entered observer.
[19:13:41	]Hiros exited observer at their location.
[19:13:42	]Hiros entered observer.
[19:13:43	]Hiros exited observer at their location.
[19:13:48	]Hiros entered observer.
[19:13:50	]Hiros exited observer at their location.
[19:13:56	][IC] Hiros: Press E.
[19:14:10	][IC] Votton: Hmm.
[19:14:16	]Votton used command '/Teleporters'.
[19:14:19	]Hiros entered observer.
[19:14:19	]Hiros exited observer at their location.
[19:14:26	][IC] Hiros: Oh.
[19:14:30	]Votton ran SAM command 'menu' with arguments: ''
[19:14:32	][IC] Hiros: It broke after i teleported.
[19:14:35	]Mango loaded the character 'Mango Banana'
[19:14:37	][IC] Votton: Oh?
[19:14:42	][IC] Hiros: Cant use it again.
[19:14:44	][OOC] Mango Banana: wawawiwa
[19:14:48	][OOC] Hiros: omg mango
[19:14:51	][OOC] Hiros: it broke D:
[19:15:00	][OOC] Votton: No errors on the console though
[19:15:01	][IC] Hiros: Nvm.
[19:15:05	][IC] Hiros: You gotta use HANDS.
[19:15:06	][IC] Votton: Oh?
[19:15:10	][IC] Hiros: And press E.
