[12:44:10	]Rabithunter has connected.
[12:45:06	]Rabithunter loaded the character 'Administrator Markie-O'Vello'
[12:48:10	]Administrator Markie-O'Vello used command '/CityFundEditor'.
[12:53:15	]Administrator Markie-O'Vello used the 'John Doe' vendor.
[12:53:29	]Administrator Markie-O'Vello has used a context menu option with the name: collision_off
[12:53:31	]Administrator Markie-O'Vello has used a context menu option with the name: collision_on
[12:53:35	]Administrator Markie-O'Vello has spawned 'models/props_c17/oildrum001.mdl'.
[12:53:37	]Administrator Markie-O'Vello has used a context menu option with the name: gravity
[12:56:47	]Administrator Markie-O'Vello used command '/SimulateGOItime 1'.
[12:56:52	]Administrator Markie-O'Vello used command '/CityFundEditor'.
[12:57:05	]Administrator Markie-O'Vello used command '/CityFundEditor'.
[12:57:14	]Administrator Markie-O'Vello used command '/SimulateGOItime 1'.
[12:57:16	]Administrator Markie-O'Vello used command '/CityFundEditor'.
[12:57:25	]Administrator Markie-O'Vello used command '/SimulateGOItime 1'.
[12:57:26	]Administrator Markie-O'Vello used command '/CityFundEditor'.
[12:58:01	]Administrator Markie-O'Vello used command '/SimulateGOItime 1'.
[12:58:02	]Administrator Markie-O'Vello used command '/CityFundEditor'.
[12:59:44	]Administrator Markie-O'Vello used command '/CityFundEditor'.
[13:00:01	]Administrator Markie-O'Vello used command '/SimulateGOItime 1'.
[13:00:03	]Administrator Markie-O'Vello used command '/CityFundEditor'.
[13:00:28	]Administrator Markie-O'Vello used command '/SimulateGOItime 6'.
[13:00:29	]Administrator Markie-O'Vello used command '/CityFundEditor'.
[13:05:45	]Administrator Markie-O'Vello has gone afk.
[13:36:20	]Administrator Markie-O'Vello is no longer afk. Total time spent AFK: 2130
[13:36:29	]Rabithunter (STEAM_0:1:22394854) has disconnected.
[14:35:58	]Commissar_Krieger has connected.
[15:25:12	]Commissar_Krieger (STEAM_0:1:221347812) has disconnected.
[16:53:47	]Deverinity has connected.
[16:55:51	]Deverinity loaded the character 'C24:RL.VICE-66'
[16:55:56	]C24:RL.VICE-66 is fully healed.
[16:56:41	]C24:RL.VICE-66 entered observer.
[16:59:42	]C24:RL.VICE-66 used command '/RemoveClientProps 5000'.
[17:00:12	]C24:RL.VICE-66 used command '/RemoveDeathDrops 100'.
[17:00:51	]C24:RL.VICE-66 has spawned 'models/wn7new/metropolice/male_05.mdl'.
[17:00:55	]C24:RL.VICE-66 has used a context menu option with the name: bodygroups
[17:01:00	]C24:RL.VICE-66 has fired a toolgun with the name: duplicator
[17:01:00	]C24:RL.VICE-66 has spawned 'models/wn7new/metropolice/male_05.mdl'.
[17:01:01	]C24:RL.VICE-66 has fired a toolgun with the name: duplicator
[17:01:01	]C24:RL.VICE-66 has spawned 'models/wn7new/metropolice/male_05.mdl'.
[17:01:03	]C24:RL.VICE-66 has fired a toolgun with the name: duplicator
[17:01:03	]C24:RL.VICE-66 has spawned 'models/wn7new/metropolice/male_05.mdl'.
[17:01:05	]C24:RL.VICE-66 has fired a toolgun with the name: duplicator
[17:01:05	]C24:RL.VICE-66 has spawned 'models/wn7new/metropolice/male_05.mdl'.
[17:01:08	]C24:RL.VICE-66 has fired a toolgun with the name: duplicator
[17:01:08	]C24:RL.VICE-66 has spawned 'models/wn7new/metropolice/male_05.mdl'.
[17:01:08	]C24:RL.VICE-66 has fired a toolgun with the name: duplicator
[17:01:08	]C24:RL.VICE-66 has spawned 'models/wn7new/metropolice/male_05.mdl'.
[17:01:16	]C24:RL.VICE-66 has fired a toolgun with the name: duplicator
[17:01:16	]C24:RL.VICE-66 has spawned 'models/wn7new/metropolice/male_05.mdl'.
[17:01:18	]C24:RL.VICE-66 has fired a toolgun with the name: duplicator
[17:01:18	]C24:RL.VICE-66 has spawned 'models/wn7new/metropolice/male_05.mdl'.
[17:01:20	]C24:RL.VICE-66 has fired a toolgun with the name: duplicator
[17:01:20	]C24:RL.VICE-66 has spawned 'models/wn7new/metropolice/male_05.mdl'.
[17:01:25	]C24:RL.VICE-66 has fired a toolgun with the name: duplicator
[17:01:25	]C24:RL.VICE-66 has spawned 'models/wn7new/metropolice/male_05.mdl'.
[17:01:30	]C24:RL.VICE-66 has fired a toolgun with the name: creator
[17:01:30	]C24:RL.VICE-66 has spawned 'models/willardnetworks/citizens/female_01.mdl'.
[17:01:38	]C24:RL.VICE-66 has fired a toolgun with the name: creator
