[15:59:50	]Ozzekiel has connected.
[16:00:33	]Ozzekiel created the character 'sssssssssssssssssssssssssssssss'
[16:00:33	]sssssssssssssssssssssssssssssss has gained a 'Flashlight' #468.
[16:00:33	]sssssssssssssssssssssssssssssss has gained a 'Light Grey Armband' #469.
[16:00:33	]sssssssssssssssssssssssssssssss has gained a '#21317's Identity Card' #470.
[16:00:34	]Ozzekiel loaded the character 'sssssssssssssssssssssssssssssss'
[16:00:43	]sssssssssssssssssssssssssssssss entered observer.
[16:01:03	]sssssssssssssssssssssssssssssss exited observer at their location.
[16:01:03	]sssssssssssssssssssssssssssssss has warped from Default to Default.
[16:01:09	]sssssssssssssssssssssssssssssss opened the 'Large Metal Cabinet' #82 container.
[16:01:10	]sssssssssssssssssssssssssssssss closed the 'Large Metal Cabinet' #82 container.
[16:01:15	]sssssssssssssssssssssssssssssss used the 'Steven the farmer' vendor.
[16:01:19	]sssssssssssssssssssssssssssssss entered observer.
[16:01:36	]sssssssssssssssssssssssssssssss exited observer at their location.
[16:02:05	]sssssssssssssssssssssssssssssss has given himself a uniform_cp.
[16:02:05	]sssssssssssssssssssssssssssssss has gained a 'CP Uniform' #471.
[16:02:06	]sssssssssssssssssssssssssssssss has given himself a mask_cp.
[16:02:06	]sssssssssssssssssssssssssssssss has gained a 'CP Mask' #472.
[16:02:17	]sssssssssssssssssssssssssssssss used command '/ViewObjectives'.
[16:02:37	]sssssssssssssssssssssssssssssss used command '/PlyWhitelist ssss civil protection'.
[16:02:44	]C17:RCT.YELLO-93 used command '/PlyTransfer sss civil protection'.
[16:02:58	]C17:RL.YELLO-93 used command '/CharSetName yello C17:RL.YELLO-93'.
[16:03:16	]C17:RL.YELLO-93 used command '/VisorStatus red test'.
[16:03:49	]C17:RL.YELLO-93 has given himself a pda.
[16:03:49	]C17:RL.YELLO-93 has gained a 'Combine PDA' #473.
[16:03:49	]C17:RL.YELLO-93 has given himself a pda_cmu.
[16:03:49	]C17:RL.YELLO-93 has gained a 'CMRU PDA' #474.
[16:03:51	]C17:RL.YELLO-93 has given himself a pda_cwu.
[16:03:51	]C17:RL.YELLO-93 has gained a 'CWU PDA' #475.
[16:03:58	]C17:RL.YELLO-93 ran 'Equip' on item 'Combine PDA' (#473)
[16:04:16	]C17:RL.YELLO-93 used command '/ViewObjectives'.
[16:04:28	]C17:RL.YELLO-93 has spawned a 'Entity [364][ix_console]'.
[16:04:43	]C17:RL.YELLO-93 has used a context menu option with the name: remove
[16:04:49	]Ozzekiel (STEAM_0:1:87098652) has disconnected.
