[20:55:20	]M!NT has connected.
[20:56:15	]M!NT created the character 'test'
[20:56:16	]test has gained a 'Suitcase' #2587.
[20:56:16	]test has gained a 'Flashlight' #2588.
[20:56:16	]test has gained a 'Light Grey Armband' #2589.
[20:56:16	]test has gained a '#29813's Identity Card' #2590.
[20:56:16	]M!NT loaded the character 'test'
[20:56:42	]test has spawned a musicradio_reb.
[20:56:47	]test entered observer.
[20:56:47	]test exited observer at their location.
[20:56:53	]test used command '/PlyGiveAllFlags test'.
[20:56:58	]test ran 'Deploy' on item 'Rebel Radio' (#2591)
[20:57:14	]test entered observer.
[20:57:20	]Amazon BMD has connected.
[20:57:42	]Rabithunter has connected.
[20:58:16	]Rabithunter loaded the character 'asdasdas'
[20:58:22	]test exited observer at their location.
[20:58:30	]Amazon BMD created the character 'Teddy Bear'
[20:58:30	]Amazon BMD loaded the character 'Teddy Bear'
[20:58:30	]Teddy Bear has gained a 'Suitcase' #2592.
[20:58:30	]Teddy Bear has gained a 'Flashlight' #2593.
[20:58:30	]Teddy Bear has gained a 'Light Grey Armband' #2594.
[20:58:30	]Teddy Bear has gained a '#30534's Identity Card' #2595.
[20:58:37	][LOOC] Teddy Bear: Hi
[20:59:03	]test used command '/ActCheer'.
[20:59:35	]Teddy Bear used command '/PlyWhitelist Teddy workers'.
[20:59:39	]Teddy Bear used command '/PlyWhitelist Teddy medical'.
[20:59:46	]Teddy Bear used command '/PlyTransfer Teddy Workers'.
[21:00:00	]Teddy Bear has given himself a request_device.
[21:00:00	]Teddy Bear has gained a 'Request Device' #2596.
[21:00:05	]Teddy Bear ran 'drop' on item 'Request Device' (#2596)
[21:00:05	]Teddy Bear has lost a 'Request Device' #2596.
[21:00:07	]asdasdas ran 'take' on item 'Request Device' (#2596)
[21:00:07	]asdasdas has gained a 'Request Device' #2596.
[21:00:15	]asdasdas ran 'drop' on item 'Biopaste' (#1072)
[21:00:15	]asdasdas has lost a 'Biopaste' #1072.
[21:00:16	]asdasdas ran 'drop' on item 'Biopaste' (#963)
[21:00:16	]asdasdas has lost a 'Biopaste' #963.
[21:00:22	]asdasdas used command '/CreateCid asd'.
[21:00:22	]asdasdas has gained a '#22713's Identity Card' #2597.
[21:00:25	]asdasdas ran 'Bind' on item 'Request Device' (#2596)
[21:00:28	]asdasdas ran 'Bind' on item 'Request Device' (#2596)
[21:00:33	]asdasdas ran 'Bind' on item 'Request Device' (#2596)
[21:00:44	]asdasdas ran 'drop' on item 'Biopaste' (#1044)
[21:00:44	]asdasdas has lost a 'Biopaste' #1044.
[21:00:45	]Teddy Bear has given himself a request_device.
[21:00:45	]Teddy Bear has gained a 'Request Device' #2598.
[21:00:45	]asdasdas ran 'drop' on item 'Biopaste' (#959)
[21:00:45	]asdasdas has lost a 'Biopaste' #959.
[21:00:46	]asdasdas ran 'drop' on item 'Biopaste' (#999)
[21:00:46	]asdasdas has lost a 'Biopaste' #999.
[21:00:46	]Teddy Bear ran 'Bind' on item 'Request Device' (#2598)
[21:00:48	]asdasdas ran 'Bind' on item 'Request Device' (#2596)
[21:00:51	]Teddy Bear ran 'drop' on item 'Request Device' (#2598)
[21:00:51	]Teddy Bear has lost a 'Request Device' #2598.
[21:00:53	]Teddy Bear ran 'take' on item 'Request Device' (#2598)
[21:00:53	]Teddy Bear has gained a 'Request Device' #2598.
[21:01:03	]Teddy Bear ran 'Bind' on item 'Request Device' (#2598)
[21:01:05	]Teddy Bear ran 'Bind' on item 'Request Device' (#2598)
[21:01:06	]Teddy Bear ran 'Bind' on item 'Request Device' (#2598)
[21:01:16	]asdasdas entered observer.
[21:01:17	]asdasdas exited observer at their location.
[21:01:33	]asdasdas used command '/DarwinAward teddy'.
[21:02:21	]test entered observer.
[21:02:22	]test exited observer at their location.
[21:03:14	]test entered observer.
[21:03:31	]test exited observer at their location.
[21:03:32	]test entered observer.
[21:03:47	]test exited observer at their location.
[21:04:17	]test has used a context menu option with the name: remove
[21:04:20	]test has spawned a musicradio_cmb.
[21:04:21	]test ran 'Deploy' on item 'Benefactor Radio' (#2599)
[21:06:11	]asdasdas used command '/MusicRadioChannelSeek Jazz'.
[21:06:46	]asdasdas has used a context menu option with the name: collision_off
[21:06:57	]test entered observer.
[21:07:12	]test exited observer at their location.
[21:07:19	]test entered observer.
