[00:24:32	]Jenifer Maesroe is no longer afk. Total time spent AFK: 2445
[00:24:33	]Jenifer Maesroe ran 'take' on item 'CMRU Level 1 Access Keycard' (#1649576)
[00:24:33	]Jenifer Maesroe has gained a 'CMRU Level 1 Access Keycard' #1649576.
[00:27:55	]Jenifer Maesroe ran 'Bind' on item 'CMRU Level 1 Access Keycard' (#1649576)
[00:28:25	]Rabithunter loaded the character 'C17:RCT.YELLO-34'
[00:28:31	]C17:RCT.YELLO-34 entered observer.
[00:28:35	]C17:RCT.YELLO-34 exited observer at their location.
[00:28:43	]C17:RCT.YELLO-34 has given himself a cmru_card.
[00:28:43	]C17:RCT.YELLO-34 has gained a 'CMRU Level 1 Access Keycard' #1649577.
[00:28:45	]C17:RCT.YELLO-34 ran 'Bind' on item 'CMRU Level 1 Access Keycard' (#1649577)
[00:28:48	]C17:RCT.YELLO-34 ran 'SetAccessLevel' on item 'CMRU Level 1 Access Keycard' (#1649577)
[00:29:12	]C17:RCT.YELLO-34 ran 'SetAccessLevel' on item 'CMRU Level 2 Access Keycard' (#1649577)
[00:29:45	]C17:RCT.YELLO-34 ran 'SetAccessLevel' on item 'CMRU Level 3 Access Keycard' (#1649577)
[00:30:05	]C17:RCT.YELLO-34 ran 'SetAccessLevel' on item 'CMRU Level 4 Access Keycard' (#1649577)
[00:30:30	]C17:RCT.YELLO-34 ran 'SetAccessLevel' on item 'CMRU Level 1 Access Keycard' (#1649577)
[00:31:13	]C17:RCT.YELLO-34 has spawned a 'Entity [394][ix_workshiftterminal]'.
[00:31:31	][IC] C17:RCT.YELLO-34: Fff.
[00:31:40	]C17:RCT.YELLO-34 used command '/PlyTransfer 34 medical'.
[00:31:58	][IC] C17:RCT.YELLO-34: <:: Haha. ::>
[00:32:00	][IC] C17:RCT.YELLO-34: <:: Nope. ::>
[00:32:04	][IC] C17:RCT.YELLO-34: <:: Shit! ::>
[00:32:07	][IC] C17:RCT.YELLO-34: <:: Oh no. ::>
[00:32:38	]C17:RCT.YELLO-34 has fired a toolgun with the name: camera
[00:34:04	]C17:RCT.YELLO-34 ran 'drop' on item 'CP Mask' (#1649139)
[00:34:04	]C17:RCT.YELLO-34 has lost a 'CP Mask' #1649139.
[00:34:07	]C17:RCT.YELLO-34 ran 'drop' on item 'CP Uniform' (#1649138)
[00:34:07	]C17:RCT.YELLO-34 has lost a 'CP Uniform' #1649138.
[00:34:16	]C17:RCT.YELLO-34 has given himself a legs_green_padded_pants.
[00:34:16	]C17:RCT.YELLO-34 has gained a 'Green Padded Pants' #1649578.
[00:34:17	]C17:RCT.YELLO-34 has given himself a torso_green_kevlar_t2.
[00:34:17	]C17:RCT.YELLO-34 has gained a 'Medium Kevlar Uniform' #1649579.
[00:34:27	]C17:RCT.YELLO-34 has given himself a head_helmet.
[00:34:27	]C17:RCT.YELLO-34 has gained a 'Combat Helmet' #1649580.
[00:34:38	]C17:RCT.YELLO-34 has given himself a m4a1.
[00:34:38	]C17:RCT.YELLO-34 has gained a 'M4A1' #1649581.
[00:34:40	]C17:RCT.YELLO-34 ran 'Equip' on item 'M4A1' (#1649581)
[00:35:16	]C17:RCT.YELLO-34 has used a context menu option with the name: remove
[00:35:19	]C17:RCT.YELLO-34 has used a context menu option with the name: remove
[00:35:54	]C17:RCT.YELLO-34 used command '/ToggleRaise'.
[00:36:01	]C17:RCT.YELLO-34 used command '/ToggleRaise'.
[00:36:27	]Robert has connected.
[00:36:51	]C17:RCT.YELLO-34 has fired a toolgun with the name: remover
[00:36:51	]C17:RCT.YELLO-34 has fired a toolgun with the name: remover
[00:36:56	]C17:RCT.YELLO-34 has fired a toolgun with the name: remover
[00:36:56	]C17:RCT.YELLO-34 has fired a toolgun with the name: remover
[00:36:58	]C17:RCT.YELLO-34 has fired a toolgun with the name: remover
[00:37:00	]Robert loaded the character 'C24:i1.TEST-51'
[00:37:00	]C17:RCT.YELLO-34 has fired a toolgun with the name: remover
[00:37:02	]C17:RCT.YELLO-34 has fired a toolgun with the name: remover
[00:37:03	]C17:RCT.YELLO-34 has fired a toolgun with the name: remover
[00:37:04	]C17:RCT.YELLO-34 has fired a toolgun with the name: remover
[00:37:05	]C17:RCT.YELLO-34 has fired a toolgun with the name: remover
[00:37:06	]C17:RCT.YELLO-34 has fired a toolgun with the name: remover
[00:37:07	]C24:i1.TEST-51 entered observer.
[00:37:16	]C17:RCT.YELLO-34 has fired a toolgun with the name: remover
[00:37:16	]C17:RCT.YELLO-34 has fired a toolgun with the name: remover
[00:37:21	]C17:RCT.YELLO-34 entered observer.
[00:37:24	]C24:i1.TEST-51 exited observer at their location.
[00:37:27	]C24:i1.TEST-51 entered observer.
[00:37:29	]C24:i1.TEST-51 exited observer at their location.
[00:37:31	]C24:i1.TEST-51 entered observer.
[00:37:40	]C17:RCT.YELLO-34 ran 'drop' on item 'M4A1' (#1649581)
[00:37:40	]C17:RCT.YELLO-34 has lost a 'M4A1' #1649581.
[00:37:41	]C17:RCT.YELLO-34 ran 'drop' on item 'Combat Helmet' (#1649580)
[00:37:41	]C17:RCT.YELLO-34 has lost a 'Combat Helmet' #1649580.
[00:37:42	]C17:RCT.YELLO-34 ran 'drop' on item 'Medium Kevlar Uniform' (#1649579)
[00:37:42	]C17:RCT.YELLO-34 has lost a 'Medium Kevlar Uniform' #1649579.
[00:37:43	]C17:RCT.YELLO-34 ran 'drop' on item 'Green Padded Pants' (#1649578)
[00:37:43	]C17:RCT.YELLO-34 has lost a 'Green Padded Pants' #1649578.
[00:37:56	]C24:i1.TEST-51 exited observer at their location.
[00:38:46	]C17:RCT.YELLO-34 has spawned a bullets_assaultrifle.
[00:38:47	]C17:RCT.YELLO-34 has spawned a bullets_assaultrifle.
[00:38:47	]C17:RCT.YELLO-34 has spawned a bullets_assaultrifle.
[00:38:59	]C17:RCT.YELLO-34 exited observer at their location.
[00:39:06	]C17:RCT.YELLO-34 used command '/PlaySong https://www.youtube.com/watch?v=MK6TXMsvgQg&t=7s 0'.
[00:39:27	]C17:RCT.YELLO-34 ran 'take' on item 'Medium Kevlar Uniform' (#1649579)
[00:39:27	]C17:RCT.YELLO-34 has gained a 'Medium Kevlar Uniform' #1649579.
[00:39:28	]C17:RCT.YELLO-34 ran 'take' on item 'Green Padded Pants' (#1649578)
[00:39:28	]C17:RCT.YELLO-34 has gained a 'Green Padded Pants' #1649578.
[00:39:29	]C17:RCT.YELLO-34 ran 'take' on item 'Assault Rifle Bullets' (#1649583)
