[23:05:28	]Taliazure has connected.
[23:06:00	]Taliazure loaded the character 'C24:i3.UNION-41'
[23:06:14	]C24:i3.UNION-41 used command '/ToggleRaise'.
[23:06:44	]C24:i3.UNION-41 ran 'Equip' on item 'MP7A1' (#2690983)
[23:06:45	]C24:i3.UNION-41 ran 'combine' on item '30rnd MP Magazine' (#2690979)
[23:06:46	]C24:i3.UNION-41 used command '/ToggleRaise'.
[23:06:47	]C24:i3.UNION-41 has lost a '30rnd MP Magazine' #2690979.
[23:08:17	]C24:i3.UNION-41 ran 'take' on item '30rnd MP Magazine' (#2690981)
[23:08:17	]C24:i3.UNION-41 has gained a '30rnd MP Magazine' #2690981.
[23:08:29	]C24:i3.UNION-41 has spawned a crossbowammo.
[23:08:32	]C24:i3.UNION-41 ran 'take' on item 'Crossbow Bolts' (#2690992)
[23:08:32	]C24:i3.UNION-41 has gained a 'Crossbow Bolts' #2690992.
[23:08:33	]C24:i3.UNION-41 ran 'drop' on item 'Crossbow Bolts' (#2690992)
[23:08:33	]C24:i3.UNION-41 has lost a 'Crossbow Bolts' #2690992.
[23:08:40	]C24:i3.UNION-41 ran 'EquipUn' on item 'MP7A1' (#2690983)
[23:08:40	]C24:i3.UNION-41 has gained a '30rnd MP Magazine' #2690979.
[23:08:41	]C24:i3.UNION-41 ran 'EquipUn' on item 'Glock 17' (#2690985)
[23:08:41	]C24:i3.UNION-41 has gained a '20rnd Glock Magazine' #2690987.
[23:08:45	]C24:i3.UNION-41 ran 'drop' on item '30rnd MP Magazine' (#2690979)
[23:08:45	]C24:i3.UNION-41 has lost a '30rnd MP Magazine' #2690979.
[23:08:46	]C24:i3.UNION-41 ran 'drop' on item 'MP7A1' (#2690983)
[23:08:46	]C24:i3.UNION-41 has lost a 'MP7A1' #2690983.
[23:08:46	]C24:i3.UNION-41 ran 'drop' on item '30rnd MP Magazine' (#2690981)
[23:08:46	]C24:i3.UNION-41 has lost a '30rnd MP Magazine' #2690981.
[23:08:46	]C24:i3.UNION-41 ran 'drop' on item '20rnd Glock Magazine' (#2690986)
[23:08:46	]C24:i3.UNION-41 has lost a '20rnd Glock Magazine' #2690986.
[23:08:46	]C24:i3.UNION-41 ran 'drop' on item '30rnd MP Magazine' (#2690980)
[23:08:46	]C24:i3.UNION-41 has lost a '30rnd MP Magazine' #2690980.
[23:09:01	]C24:i3.UNION-41 used command '/CharGiveFlag union-41 pet'.
[23:09:06	]C24:i3.UNION-41 has fired a toolgun with the name: rope
[23:09:06	]C24:i3.UNION-41 has fired a toolgun with the name: remover
[23:09:06	]C24:i3.UNION-41 has fired a toolgun with the name: remover
[23:09:06	]C24:i3.UNION-41 has fired a toolgun with the name: remover
[23:09:07	]C24:i3.UNION-41 has fired a toolgun with the name: remover
[23:09:07	]C24:i3.UNION-41 has fired a toolgun with the name: remover
[23:09:07	]C24:i3.UNION-41 has fired a toolgun with the name: remover
[23:09:07	]C24:i3.UNION-41 has fired a toolgun with the name: remover
[23:09:08	]C24:i3.UNION-41 has fired a toolgun with the name: remover
[23:09:08	]C24:i3.UNION-41 has fired a toolgun with the name: remover
[23:09:09	]C24:i3.UNION-41 has fired a toolgun with the name: remover
[23:09:13	]C24:i3.UNION-41 ran 'Equip' on item 'Glock 17' (#2690985)
